"","Model","Phylogeny","CICc","delta_CICc","Relative likelihood","CICc weight","n of independence claims","n of parameters","C statistic","p-value"
"1","agreement patterns ~ semantic rules, semantic rules ~ phonological rules + unpredictable","Bantu",17.29,0,1,0.9,3,7,1.4,"0.97"
"2","semantic rules ~ agreement patterns, semantic rules ~ phonological rules + unpredictable","Bantu",22.21,4.91,0.09,0.08,3,7,6.31,"0.39"
"3","agreement patterns ~ semantic rules, semantic rules ~ phonological rules","Bantu",25.22,7.93,0.02,0.02,4,6,11.82,"0.16"
"4","semantic rules ~ agreement patterns, semantic rules ~ phonological rules","Bantu",28.52,11.23,0,0,4,6,15.12,"0.06"
"5","agreement patterns ~ semantic rules","Bantu",32.82,15.53,0,0,5,5,21.84,"0.02"
"6","semantic rules ~ agreement patterns, phonological rules ~ agreement patterns, unpredictable ~ agreement patterns","Bantu",34.15,16.86,0,0,3,7,18.25,"<0.01"
"7","semantic rules ~ agreement patterns, phonological rules ~ agreement patterns","Bantu",34.7,17.4,0,0,4,6,21.3,"<0.01"
"8","semantic rules ~ agreement patterns","Bantu",34.8,17.51,0,0,5,5,23.82,"<0.01"
"9","agreement patterns ~ semantic rules + phonological rules","Bantu",34.94,17.65,0,0,4,6,21.54,"<0.01"
"10","agreement patterns ~ semantic rules + phonological rules + unpredictable","Bantu",37.4,20.11,0,0,3,7,21.5,"<0.01"
"11","agreement patterns ~ phonological rules, phonological rules ~ semantic rules","Bantu",42.77,25.47,0,0,4,6,29.37,"<0.001"
"12","phonological rules ~ agreement patterns, phonological rules ~ semantic rules","Bantu",44.08,26.78,0,0,4,6,30.68,"<0.001"
"13","agreement patterns ~ phonological rules, phonological rules  ~ semantic rules + unpredictable","Bantu",44.98,27.69,0,0,3,7,29.09,"<0.001"
"14","phonological rules ~ agreement patterns, phonological rules  ~ semantic rules + unpredictable","Bantu",46.41,29.12,0,0,3,7,30.51,"<0.001"
"15","unpredictable ~ agreement patterns","Bantu",49.17,31.87,0,0,5,5,38.18,"<0.001"
"16","agreement patterns ~ unpredictable","Bantu",49.2,31.91,0,0,5,5,38.22,"<0.001"
"17","phonological rules ~ agreement patterns","Bantu",50.67,33.38,0,0,5,5,39.69,"<0.001"
"18","agreement patterns ~ phonological rules","Bantu",50.69,33.4,0,0,5,5,39.71,"<0.001"
"19","null","Bantu",51.98,34.69,0,0,6,4,43.34,"<0.001"
