"","Model","Phylogeny","CICc","delta_CICc","Relative likelihood","CICc weight","n of independence claims","n of parameters","C statistic","p-value"
"1","agreement patterns ~ semantic rules + phonological rules + unpredictable","Indo-European",25.2,0,1,0.75,3,7,7.47,"0.28"
"2","semantic rules ~ agreement patterns, phonological rules ~ agreement patterns, unpredictable ~ agreement patterns","Indo-European",28.86,3.66,0.16,0.12,3,7,11.13,"0.08"
"3","unpredictable ~ agreement patterns","Indo-European",30.89,5.7,0.06,0.04,5,5,19.02,"0.04"
"4","semantic rules ~ agreement patterns","Indo-European",32.3,7.1,0.03,0.02,5,5,20.43,"0.03"
"5","agreement patterns ~ semantic rules","Indo-European",32.66,7.47,0.02,0.02,5,5,20.79,"0.02"
"6","phonological rules ~ agreement patterns, phonological rules  ~ semantic rules + unpredictable","Indo-European",33.84,8.64,0.01,0.01,3,7,16.11,"0.01"
"7","agreement patterns ~ unpredictable","Indo-European",34.33,9.13,0.01,0.01,5,5,22.46,"0.01"
"8","semantic rules ~ agreement patterns, semantic rules ~ phonological rules","Indo-European",34.44,9.24,0.01,0.01,4,6,19.73,"0.01"
"9","null","Indo-European",35.07,9.87,0.01,0.01,6,4,25.85,"0.01"
"10","agreement patterns ~ semantic rules, semantic rules ~ phonological rules","Indo-European",35.36,10.16,0.01,0,4,6,20.65,"<0.01"
"11","semantic rules ~ agreement patterns, phonological rules ~ agreement patterns","Indo-European",36.08,10.88,0,0,4,6,21.37,"<0.01"
"12","agreement patterns ~ semantic rules, semantic rules ~ phonological rules + unpredictable","Indo-European",36.53,11.33,0,0,3,7,18.8,"<0.01"
"13","semantic rules ~ agreement patterns, semantic rules ~ phonological rules + unpredictable","Indo-European",37.28,12.08,0,0,3,7,19.55,"<0.01"
"14","agreement patterns ~ semantic rules + phonological rules","Indo-European",38.36,13.16,0,0,4,6,23.65,"<0.01"
"15","phonological rules ~ agreement patterns","Indo-European",38.93,13.73,0,0,5,5,27.06,"<0.01"
"16","phonological rules ~ agreement patterns, phonological rules ~ semantic rules","Indo-European",40.96,15.76,0,0,4,6,26.25,"<0.001"
"17","agreement patterns ~ phonological rules, phonological rules  ~ semantic rules + unpredictable","Indo-European",41.4,16.2,0,0,3,7,23.66,"<0.001"
"18","agreement patterns ~ phonological rules","Indo-European",41.44,16.24,0,0,5,5,29.57,"<0.01"
"19","agreement patterns ~ phonological rules, phonological rules ~ semantic rules","Indo-European",45.14,19.94,0,0,4,6,30.43,"<0.001"
