"","Model","Phylogeny","CICc","delta_CICc","Relative likelihood","CICc weight","n of independence claims","n of parameters","C statistic","p-value"
"1","agreement patterns ~ semantic rules + phonological rules + unpredictable","World",20.1,0,1,0.65,3,7,5.86,"0.44"
"2","semantic rules ~ agreement patterns, phonological rules ~ agreement patterns, unpredictable ~ agreement patterns","World",21.79,1.7,0.43,0.28,3,7,7.56,"0.27"
"3","semantic rules ~ agreement patterns","World",27.64,7.54,0.02,0.01,5,5,17.51,"0.06"
"4","agreement patterns ~ semantic rules","World",27.8,7.7,0.02,0.01,5,5,17.67,"0.06"
"5","agreement patterns ~ semantic rules + phonological rules","World",28.3,8.2,0.02,0.01,4,6,16.13,"0.04"
"6","semantic rules ~ agreement patterns, semantic rules ~ phonological rules","World",28.47,8.37,0.02,0.01,4,6,16.29,"0.04"
"7","agreement patterns ~ semantic rules, semantic rules ~ phonological rules","World",28.96,8.86,0.01,0.01,4,6,16.78,"0.03"
"8","semantic rules ~ agreement patterns, phonological rules ~ agreement patterns","World",29.2,9.1,0.01,0.01,4,6,17.02,"0.03"
"9","semantic rules ~ agreement patterns, semantic rules ~ phonological rules + unpredictable","World",29.81,9.71,0.01,0.01,3,7,15.58,"0.02"
"10","agreement patterns ~ semantic rules, semantic rules ~ phonological rules + unpredictable","World",30.61,10.51,0.01,0,3,7,16.37,"0.01"
"11","agreement patterns ~ unpredictable","World",51.79,31.69,0,0,5,5,41.66,"<0.001"
"12","unpredictable ~ agreement patterns","World",52.01,31.91,0,0,5,5,41.88,"<0.001"
"13","phonological rules ~ agreement patterns, phonological rules  ~ semantic rules + unpredictable","World",57.46,37.36,0,0,3,7,43.22,"<0.001"
"14","null","World",58.24,38.14,0,0,6,4,50.15,"<0.001"
"15","agreement patterns ~ phonological rules, phonological rules  ~ semantic rules + unpredictable","World",58.33,38.23,0,0,3,7,44.09,"<0.001"
"16","agreement patterns ~ phonological rules","World",59.6,39.5,0,0,5,5,49.47,"<0.001"
"17","phonological rules ~ agreement patterns, phonological rules ~ semantic rules","World",59.64,39.55,0,0,4,6,47.47,"<0.001"
"18","phonological rules ~ agreement patterns","World",60.29,40.19,0,0,5,5,50.17,"<0.001"
"19","agreement patterns ~ phonological rules, phonological rules ~ semantic rules","World",60.92,40.82,0,0,4,6,48.74,"<0.001"
