Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_Semantic_classes_Agreement_patterns.txt
Log File Name:                   features_Semantic_classes_Agreement_patterns.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2000069286
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_Semantic_classes_Agreement_patterns.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Scale Tree:                      0.000079
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       38
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-238.059597	603	85.270453119409	70.350696675146	726.760868534288	476.348185803955	0.968760877605	
3000	-226.415979	603	60.785913922269	68.901181079117	363.688881420275	456.679119308156	0.964646116246	
4000	-155.830798	971	3.181937961103	8.625870680225	10.282896425209	29.981120908451	0.233434803942	
5000	-154.225607	256	3.197350100146	7.392437390917	9.599675317031	31.590784412593	0.276303181286	
6000	-161.381324	140	5.128193337157	12.235893343821	11.482553274619	41.572123467466	0.372823069096	
7000	-155.216518	922	0.878021578528	6.181032095556	11.596920278618	28.586253207423	0.198841856307	
8000	-155.154079	895	2.813486905469	4.861816906576	10.723141133913	31.010337296874	0.237536187553	
9000	-152.659277	445	2.907474023973	5.988599489487	9.645601441874	30.142514359701	0.270071485779	
10000	-153.362057	794	2.730264650585	7.960561778213	9.756210974325	28.321004556725	0.194901773036	
11000	-156.777250	247	4.012789487032	7.768965195954	10.312057102157	31.052659477263	0.280531154053	
12000	-154.417532	164	3.600631507432	7.647284975340	9.549585461588	29.525818652211	0.279078074094	
13000	-154.355634	675	1.963820655234	6.255528934364	10.441274330573	31.909935118640	0.299633223058	
14000	-154.048465	34	2.883935413682	7.349986404230	10.609748958884	29.717091534200	0.215536590369	
15000	-155.818227	475	2.446521864827	7.634676178545	10.638473941643	31.599963292039	0.227689395138	
16000	-153.670101	607	3.373964040311	5.421521710169	9.868999996911	28.342835630160	0.243403946603	
17000	-156.208028	154	2.128634191110	7.675694515764	9.603035923725	31.670369411829	0.284064198191	
18000	-154.311677	57	3.238743651018	6.583900046615	10.286603641124	29.122592950963	0.226372765677	
19000	-156.649781	170	1.844490564665	4.432839749943	11.870579744635	29.922492563284	0.221387640438	
20000	-156.440632	310	5.572872886170	7.208344174394	12.565473803511	27.454479812172	0.268925200156	
21000	-155.482920	706	2.429523576807	6.206043907982	10.850286951468	29.839046928339	0.244445363571	
22000	-156.044130	787	2.512111509528	7.313194708874	9.792593753914	31.195313951195	0.266806189475	
23000	-155.136191	429	2.563328326575	6.291531451565	10.945000682322	31.398484523585	0.286576552554	
24000	-154.328493	211	1.741806961850	6.370093424969	10.480587686063	29.205257267033	0.222208083749	
25000	-157.111845	466	2.251607184807	5.157704803070	11.391645944132	32.546959770802	0.256537765462	
26000	-155.938918	501	3.756013240527	5.284630225626	11.429437459968	30.625578839915	0.238489128569	
27000	-155.195631	888	5.380920863116	8.856454513017	11.227546193956	29.659364287939	0.332213192018	
28000	-157.718121	210	1.581533066751	7.426601258074	12.103911885285	33.806641460403	0.224118262145	
29000	-154.558319	251	2.716216092979	5.362604744454	10.328187848159	28.308392976077	0.239399916087	
30000	-154.460176	112	3.143023498589	6.397714697076	10.290620479874	28.703857612269	0.217975602416	
31000	-155.502920	516	4.514331573530	6.476915109007	10.070932194127	30.957478497559	0.310060151687	
32000	-151.635936	873	2.389013623039	5.266271729003	9.520390604228	29.127659588498	0.294080933528	
