Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
820	0.876829	180	0.027778	1.128515	404	0.930693	6.809730	416	0.824519	0.724000	0.745127	
840	0.926190	160	0.000000	2.123421	429	0.895105	7.899168	411	0.958637	0.778000	0.756081	
800	0.771250	200	0.100000	2.435620	434	0.788018	9.397103	366	0.751366	0.637000	0.726318	
809	0.558714	191	0.183246	2.500373	387	0.751938	12.477277	422	0.381517	0.487000	0.678464	
825	0.546667	175	0.377143	3.960896	419	0.639618	12.477277	406	0.450739	0.517000	0.651558	
818	0.454768	182	0.318681	6.435256	410	0.480488	12.660699	408	0.428922	0.430000	0.619911	
830	0.393976	170	0.376471	7.624688	417	0.470024	15.756955	413	0.317191	0.391000	0.591301	
837	0.285544	163	0.214724	14.476267	432	0.247685	15.756955	405	0.325926	0.274000	0.556049	
832	0.307692	168	0.172619	14.476267	389	0.213368	15.756955	443	0.390519	0.285000	0.528947	
807	0.286245	193	0.269430	14.476267	395	0.212658	15.756955	412	0.356796	0.283000	0.506590	
832	0.300481	168	0.285714	14.476267	399	0.263158	15.756955	433	0.334873	0.298000	0.489209	
830	0.265060	170	0.435294	14.476267	422	0.232227	15.756955	408	0.299020	0.294000	0.474194	
851	0.252644	149	0.147651	14.476267	413	0.191283	15.756955	438	0.310502	0.237000	0.457253	
854	0.399297	146	0.232877	7.961450	408	0.436275	15.756955	446	0.365471	0.375000	0.451770	
824	0.283981	176	0.272727	15.796851	386	0.248705	15.756955	438	0.315068	0.282000	0.441160	
818	0.256724	182	0.313187	15.796851	394	0.220812	15.756955	424	0.290094	0.267000	0.430916	
865	0.299422	135	0.266667	15.796851	426	0.204225	15.756955	439	0.391800	0.295000	0.423365	
829	0.250905	171	0.333333	15.796851	416	0.177885	15.756955	413	0.324455	0.265000	0.415031	
839	0.252682	161	0.329193	14.163500	448	0.216518	15.756955	391	0.294118	0.265000	0.407530	
818	0.287286	182	0.269231	14.163500	420	0.230952	15.756955	398	0.346734	0.284000	0.401648	
848	0.304245	152	0.217105	14.163500	412	0.216019	15.756955	436	0.387615	0.291000	0.396618	
830	0.265060	170	0.282353	14.163500	438	0.216895	15.756955	392	0.318878	0.268000	0.391026	
856	0.293224	144	0.298611	14.163500	430	0.227907	15.756955	426	0.359155	0.294000	0.386984	
836	0.290670	164	0.341463	14.163500	372	0.233871	15.756955	464	0.336207	0.299000	0.383465	
809	0.336218	191	0.246073	14.163500	381	0.265092	15.756955	428	0.399533	0.319000	0.380985	
830	0.320482	170	0.176471	14.163500	429	0.251748	15.756955	401	0.394015	0.296000	0.377838	
809	0.274413	191	0.298429	14.163500	381	0.207349	15.756955	428	0.334112	0.279000	0.374308	
829	0.277443	171	0.292398	14.163500	428	0.207944	15.756955	401	0.351621	0.280000	0.371056	
809	0.291718	191	0.261780	14.163500	438	0.248858	15.756955	371	0.342318	0.286000	0.368221	
827	0.282950	173	0.231214	14.163500	422	0.251185	15.756955	405	0.316049	0.274000	0.365182	
855	0.292398	145	0.365517	14.163500	422	0.225118	15.756955	433	0.357968	0.303000	0.363239	
847	0.296340	153	0.084967	14.163500	418	0.227273	15.756955	429	0.363636	0.264000	0.360232	
826	0.330508	174	0.287356	14.163500	411	0.267640	15.756955	415	0.392771	0.323000	0.359136	
842	0.298100	158	0.113924	14.163500	414	0.270531	15.756955	428	0.324766	0.269000	0.356561	
840	0.292857	160	0.337500	14.163500	415	0.284337	15.756955	425	0.301176	0.300000	0.354990	
833	0.283313	167	0.383234	14.163500	403	0.230769	15.756955	430	0.332558	0.300000	0.353504	
837	0.310633	163	0.226994	14.163500	435	0.236782	15.756955	402	0.390547	0.297000	0.352017	
833	0.302521	167	0.329341	14.163500	438	0.239726	15.756955	395	0.372152	0.307000	0.350863	
851	0.262045	149	0.328859	14.163500	437	0.203661	15.756955	414	0.323671	0.272000	0.348891	
849	0.267373	151	0.271523	14.163500	456	0.230263	15.756955	393	0.310433	0.268000	0.346918	
849	0.236749	151	0.291391	14.163500	431	0.187935	15.756955	418	0.287081	0.245000	0.344492	
835	0.335329	165	0.218182	8.817595	427	0.348946	15.756955	408	0.321078	0.316000	0.343829	
836	0.387560	164	0.359756	8.817595	421	0.384798	15.756955	415	0.390361	0.383000	0.344719	
824	0.327670	176	0.221591	8.817595	410	0.353659	15.756955	414	0.301932	0.309000	0.343926	
828	0.353865	172	0.331395	8.817595	446	0.356502	15.756955	382	0.350785	0.350000	0.344058	
834	0.334532	166	0.457831	8.817595	430	0.376744	15.756955	404	0.289604	0.355000	0.344291	
857	0.355893	143	0.300699	8.817595	455	0.371429	15.756955	402	0.338308	0.348000	0.344368	
852	0.330986	148	0.371622	8.817595	458	0.327511	15.756955	394	0.335025	0.337000	0.344217	
827	0.376058	173	0.393064	8.817595	436	0.389908	15.756955	391	0.360614	0.379000	0.344913	
842	0.372922	158	0.329114	8.817595	412	0.368932	15.756955	430	0.376744	0.366000	0.345327	
842	0.328979	158	0.183544	8.817595	384	0.330729	15.756955	458	0.327511	0.306000	0.344570	
862	0.299304	138	0.166667	8.817595	415	0.291566	15.756955	447	0.306488	0.281000	0.343371	
844	0.373223	156	0.365385	8.817595	392	0.357143	15.756955	452	0.387168	0.372000	0.343901	
875	0.347429	125	0.376000	8.817595	417	0.323741	15.756955	458	0.368996	0.351000	0.344030	
