Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_Semantic_classes_Agreement_patterns.txt
Log File Name:                   features_Semantic_classes_Agreement_patterns.independent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1983291997
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_Semantic_classes_Agreement_patterns.independent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      False
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Scale Tree:                      0.000079
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       38
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-157.668859	13	1.880096477684	5.241246026166	10.379361749755	31.990076076296	0.000000000000	
3000	-156.613407	943	4.624972289028	6.029947213270	12.382483025949	29.448470567445	0.000000000000	
4000	-158.929219	65	2.067058204851	2.470167837075	9.885929275645	33.195603201013	0.000000000000	
5000	-163.437743	741	4.095642701260	-1.618865313316	10.509454193868	39.756051292073	0.000000000000	
6000	-156.329541	239	3.280297525061	5.259862242894	10.050616133651	30.311834489034	0.000000000000	
7000	-155.569674	73	2.022596192397	3.530410878666	10.103001764360	30.996563005588	0.000000000000	
8000	-157.191126	597	1.003989160721	5.072590929401	10.905362176392	29.723003470063	0.000000000000	
9000	-155.937909	644	3.774674882445	7.312495607428	9.929049829492	32.491964379712	0.000000000000	
10000	-157.263975	618	1.264292269580	7.800215549478	11.205986927224	30.046476919517	0.000000000000	
11000	-154.044634	617	2.649372203404	6.401680294070	10.013362105446	30.685517174341	0.000000000000	
12000	-154.156881	873	3.678074757104	3.739938002346	9.507664979947	30.424650269081	0.000000000000	
13000	-157.179556	985	2.334509416617	7.801242539856	11.493840191711	32.001229870695	0.000000000000	
14000	-153.942519	554	3.119955549031	4.452125600672	10.170343846668	27.967994252352	0.000000000000	
15000	-154.221670	815	4.257227742549	5.042783454718	10.917018860234	28.116551381368	0.000000000000	
16000	-157.447962	826	3.158949657897	7.915333284679	9.821404435474	32.529006205807	0.000000000000	
17000	-154.046020	440	3.030558527658	5.473127656543	9.409445803585	27.815645527464	0.000000000000	
18000	-155.363562	561	2.796080211390	3.201965964383	10.550240424199	30.956070946087	0.000000000000	
19000	-154.366581	888	1.553574166017	6.459095028180	10.365092463644	27.361189843290	0.000000000000	
20000	-157.118463	656	2.856045125816	6.496720838509	11.216512058707	33.048271346820	0.000000000000	
21000	-153.651070	815	3.888427847526	4.914217459628	10.531506384146	28.283495741931	0.000000000000	
22000	-157.412471	869	1.095203797741	4.924174966657	11.811548183079	30.784023139579	0.000000000000	
23000	-156.244000	254	4.843435345400	5.657596838927	10.991815407022	27.890931256833	0.000000000000	
24000	-154.360201	289	3.056102165042	7.070089511571	11.592041561919	29.608870435651	0.000000000000	
25000	-154.207586	885	3.303746985102	6.706017538758	10.033836517178	30.516967846000	0.000000000000	
26000	-154.134867	362	3.323846685951	6.948010058339	9.532054878847	30.911395719520	0.000000000000	
27000	-153.801038	888	3.007537746405	4.003892759556	9.799171268022	28.092595040092	0.000000000000	
28000	-155.436514	894	2.941004025487	4.086499029450	10.420323059962	32.382103466935	0.000000000000	
29000	-154.893287	310	1.876087397044	4.668475143337	10.974925570225	26.879411260855	0.000000000000	
30000	-156.822183	611	4.147706534817	6.446565889876	10.534767000538	26.455890942111	0.000000000000	
31000	-156.049543	238	2.211902135671	3.937248350522	12.011068760053	28.612645093069	0.000000000000	
32000	-157.429606	516	3.179688480806	8.709964224925	9.377450724706	33.257710896022	0.000000000000	
33000	-156.108259	30	3.937038589023	4.681975758682	10.372286638966	28.973127815453	0.000000000000	
34000	-154.482206	821	3.387861829108	6.391920634216	9.509843330643	30.615421609986	0.000000000000	
35000	-154.967830	522	3.456259298465	7.952785258763	9.374514882638	28.945338704021	0.000000000000	
36000	-155.495654	287	2.993499854171	3.040947922230	9.847453377926	30.034526106114	0.000000000000	
37000	-155.248711	206	3.116869234996	6.480895148526	9.851731605782	29.428505176447	0.000000000000	
38000	-154.328832	717	3.432171125232	4.367301437332	9.519962937352	29.290550274445	0.000000000000	
39000	-158.531000	345	5.503084377703	2.223663601394	11.787966810900	31.112217328092	0.000000000000	
40000	-154.111852	10	3.160734862558	4.504957078251	10.163088600497	29.521889065807	0.000000000000	
41000	-153.956987	254	2.741867071946	5.375391852340	9.684856567123	28.064907477499	0.000000000000	
42000	-156.038780	113	1.501415601699	5.267687645571	11.461960124516	28.701483585537	0.000000000000	
43000	-156.034058	531	5.179553813350	6.228065282842	10.706165430460	30.433348673527	0.000000000000	
44000	-153.660803	254	2.922416037263	6.365072743257	9.625406984192	27.801463163645	0.000000000000	
45000	-154.797761	537	2.949377606628	7.048469195186	10.620581301984	31.019292222467	0.000000000000	
46000	-154.063497	672	2.265342010396	7.732677536574	9.911902416348	29.419699561610	0.000000000000	
47000	-156.074568	306	1.863453011298	6.420654004977	11.631256660909	30.911504694960	0.000000000000	
48000	-154.305540	418	2.768972030124	5.497720094798	9.576115135954	26.383488920041	0.000000000000	
49000	-155.862124	897	4.140303697832	5.006454434086	10.752255379991	29.251959119372	0.000000000000	
50000	-155.157656	78	3.281471431439	4.910622798058	9.216199985553	31.324763037390	0.000000000000	
51000	-158.454462	869	1.375601089684	3.254341153652	11.321123148616	33.928145141460	0.000000000000	
52000	-159.199566	840	4.114625962590	1.845021153776	12.601615121357	34.255399035778	0.000000000000	
53000	-155.440086	448	3.358894979188	3.357852361082	9.626993284250	30.413881974303	0.000000000000	
54000	-157.281543	971	1.448561781334	7.919267630659	10.739447413335	29.295926965912	0.000000000000	
55000	-153.683313	10	3.229461027100	5.346479785423	10.169993117349	28.843889728612	0.000000000000	
56000	-155.093630	922	1.491914387954	6.440116644119	11.032400103191	28.674847353858	0.000000000000	
57000	-156.422023	628	4.142721934286	4.980058794954	10.749191826076	29.192709156327	0.000000000000	
58000	-157.899280	686	3.410765053536	7.791240274960	11.487205733224	33.827428155669	0.000000000000	
59000	-156.201272	206	4.526884007278	5.840426894414	10.402076566639	29.304476741048	0.000000000000	
60000	-154.657126	561	3.028204710642	5.613711056200	10.543129215208	29.846349939381	0.000000000000	
61000	-154.019630	385	2.686256195217	6.230195006049	10.794931947779	28.855960795910	0.000000000000	
