Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.289247	-0.289247
1	0.995007	75000	-0.288784	-0.578031
2	0.992517	75000	-0.288333	-0.866364
3	0.990030	75000	-0.287923	-1.154287
4	0.987547	75000	-0.287579	-1.441867
5	0.985067	75000	-0.287075	-1.728942
6	0.982592	75000	-0.286679	-2.015622
7	0.980120	75000	-0.286244	-2.301866
8	0.977652	75000	-0.285909	-2.587775
9	0.975187	75000	-0.285405	-2.873179
10	0.972726	75000	-0.284910	-3.158089
11	0.970269	75000	-0.284518	-3.442607
12	0.967816	75000	-0.284127	-3.726734
13	0.965367	75000	-0.283668	-4.010402
14	0.962921	75000	-0.283279	-4.293681
15	0.960479	75000	-0.282925	-4.576606
16	0.958040	75000	-0.282391	-4.858997
17	0.955606	75000	-0.281970	-5.140967
18	0.953175	75000	-0.281648	-5.422616
19	0.950747	75000	-0.281169	-5.703785
20	0.948324	75000	-0.280733	-5.984518
21	0.945904	75000	-0.280248	-6.264765
22	0.943488	75000	-0.279918	-6.544684
23	0.941076	75000	-0.279517	-6.824201
24	0.938667	75000	-0.278994	-7.103195
25	0.936262	75000	-0.278652	-7.381847
26	0.933861	75000	-0.278191	-7.660038
27	0.931463	75000	-0.277778	-7.937816
28	0.929069	75000	-0.277361	-8.215177
29	0.926679	75000	-0.276947	-8.492124
30	0.924293	75000	-0.276569	-8.768693
31	0.921910	75000	-0.276167	-9.044860
32	0.919531	75000	-0.275643	-9.320503
33	0.917155	75000	-0.275232	-9.595735
34	0.914783	75000	-0.274889	-9.870624
35	0.912415	75000	-0.274455	-10.145079
36	0.910051	75000	-0.273990	-10.419068
37	0.907690	75000	-0.273533	-10.692601
38	0.905333	75000	-0.273222	-10.965823
39	0.902980	75000	-0.272750	-11.238573
40	0.900630	75000	-0.272382	-11.510955
41	0.898284	75000	-0.271912	-11.782867
42	0.895942	75000	-0.271490	-12.054358
43	0.893603	75000	-0.271072	-12.325429
44	0.891268	75000	-0.270672	-12.596101
45	0.888937	75000	-0.270277	-12.866378
46	0.886609	75000	-0.269895	-13.136273
47	0.884285	75000	-0.269418	-13.405690
48	0.881965	75000	-0.268978	-13.674668
49	0.879648	75000	-0.268586	-13.943254
50	0.877335	75000	-0.268194	-14.211448
51	0.875026	75000	-0.267863	-14.479311
52	0.872720	75000	-0.267373	-14.746684
53	0.870418	75000	-0.266890	-15.013575
54	0.868120	75000	-0.266438	-15.280013
55	0.865825	75000	-0.266143	-15.546156
56	0.863534	75000	-0.265695	-15.811850
57	0.861246	75000	-0.265346	-16.077197
58	0.858962	75000	-0.264950	-16.342147
59	0.856682	75000	-0.264438	-16.606585
60	0.854405	75000	-0.263973	-16.870558
61	0.852132	75000	-0.263669	-17.134227
62	0.849863	75000	-0.263195	-17.397422
63	0.847597	75000	-0.262792	-17.660214
64	0.845335	75000	-0.262465	-17.922679
65	0.843077	75000	-0.261955	-18.184634
66	0.840822	75000	-0.261677	-18.446311
67	0.838571	75000	-0.261155	-18.707466
68	0.836323	75000	-0.260848	-18.968314
69	0.834079	75000	-0.260356	-19.228670
70	0.831839	75000	-0.259931	-19.488601
