Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
814	0.364865	186	0.838710	8.113284	407	0.530713	18.003487	407	0.199017	0.453000	0.509245	
846	0.329787	154	0.863636	13.943842	437	0.347826	11.801186	409	0.310513	0.412000	0.476841	
838	0.334129	162	0.858025	13.943842	453	0.342163	11.801186	385	0.324675	0.419000	0.462384	
831	0.312876	169	0.846154	13.943842	417	0.316547	11.801186	414	0.309179	0.403000	0.450510	
817	0.324357	183	0.797814	13.943842	408	0.321078	11.801186	409	0.327628	0.411000	0.443926	
850	0.329412	150	0.813333	13.943842	407	0.321867	11.801186	443	0.336343	0.402000	0.437937	
840	0.319048	160	0.800000	13.943842	442	0.328054	11.801186	398	0.309045	0.396000	0.432696	
836	0.295455	164	0.804878	13.943842	405	0.313580	11.801186	431	0.278422	0.379000	0.426730	
832	0.310096	168	0.761905	13.943842	396	0.300505	11.801186	436	0.318807	0.386000	0.422658	
818	0.315403	182	0.780220	13.943842	385	0.355844	11.801186	433	0.279446	0.400000	0.420598	
830	0.283133	170	0.870588	13.943842	411	0.313869	11.801186	419	0.252983	0.383000	0.417465	
842	0.344418	158	0.873418	13.943842	417	0.366906	11.801186	425	0.322353	0.428000	0.418276	
829	0.261761	171	0.853801	13.943842	416	0.274038	11.801186	413	0.249395	0.363000	0.414328	
833	0.310924	167	0.868263	13.943842	437	0.313501	11.801186	396	0.308081	0.404000	0.413639	
846	0.334515	154	0.863636	13.943842	369	0.395664	11.801186	477	0.287212	0.416000	0.413787	
829	0.355850	171	0.859649	13.943842	391	0.424552	11.801186	438	0.294521	0.442000	0.415446	
805	0.237267	195	0.805128	27.670355	392	0.193878	11.801186	413	0.278450	0.348000	0.411699	
828	0.282609	172	0.750000	16.387843	400	0.257500	11.801186	428	0.306075	0.363000	0.409136	
858	0.325175	142	0.788732	16.387843	438	0.280822	11.801186	420	0.371429	0.391000	0.408230	
844	0.316351	156	0.878205	16.387843	414	0.301932	11.801186	430	0.330233	0.404000	0.408028	
818	0.257946	182	0.851648	16.387843	384	0.216146	11.801186	434	0.294931	0.366000	0.406118	
817	0.279070	183	0.814208	16.387843	410	0.270732	11.801186	407	0.287469	0.377000	0.404852	
827	0.305925	173	0.843931	16.387843	388	0.288660	11.801186	439	0.321185	0.399000	0.404608	
845	0.323077	155	0.812903	16.387843	442	0.319005	11.801186	403	0.327543	0.399000	0.404384	
822	0.284672	178	0.837079	16.387843	395	0.283544	11.801186	427	0.285714	0.383000	0.403561	
843	0.283511	157	0.789809	16.387843	432	0.254630	11.801186	411	0.313869	0.363000	0.402059	
825	0.307879	175	0.828571	16.387843	384	0.299479	11.801186	441	0.315193	0.399000	0.401950	
835	0.313772	165	0.830303	16.387843	436	0.309633	11.801186	399	0.318296	0.399000	0.401848	
841	0.311534	159	0.830189	16.387843	435	0.273563	11.801186	406	0.352217	0.394000	0.401587	
830	0.330120	170	0.805882	16.387843	410	0.346341	11.801186	420	0.314286	0.411000	0.401890	
821	0.300853	179	0.837989	16.387843	399	0.293233	11.801186	422	0.308057	0.397000	0.401737	
838	0.331742	162	0.845679	16.387843	431	0.334107	11.801186	407	0.329238	0.415000	0.402139	
841	0.305589	159	0.830189	16.387843	434	0.276498	11.801186	407	0.336609	0.389000	0.401753	
860	0.295349	140	0.764286	16.387843	429	0.298368	11.801186	431	0.292343	0.361000	0.400589	
846	0.301418	154	0.805195	16.387843	418	0.325359	11.801186	428	0.278037	0.379000	0.399989	
845	0.312426	155	0.703226	16.387843	402	0.325871	11.801186	443	0.300226	0.373000	0.399259	
830	0.332530	170	0.829412	16.387843	420	0.323810	11.801186	410	0.341463	0.417000	0.399726	
822	0.279805	178	0.842697	16.387843	428	0.273364	11.801186	394	0.286802	0.380000	0.399221	
837	0.295102	163	0.834356	16.387843	426	0.288732	11.801186	411	0.301703	0.383000	0.398815	
826	0.311138	174	0.833333	16.387843	437	0.306636	11.801186	389	0.316195	0.402000	0.398893	
842	0.304038	158	0.810127	16.387843	418	0.296651	11.801186	424	0.311321	0.384000	0.398538	
845	0.310059	155	0.909677	16.387843	454	0.312775	11.801186	391	0.306905	0.403000	0.398642	
854	0.283372	146	0.842466	16.387843	441	0.301587	11.801186	413	0.263923	0.365000	0.397877	
831	0.292419	169	0.804734	16.387843	446	0.284753	11.801186	385	0.301299	0.379000	0.397458	
844	0.315166	156	0.833333	16.387843	456	0.300439	11.801186	388	0.332474	0.396000	0.397426	
842	0.302850	158	0.835443	16.387843	394	0.274112	11.801186	448	0.328125	0.387000	0.397204	
