Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_Semantic_classes_Agreement_patterns.txt
Log File Name:                   features_Semantic_classes_Agreement_patterns.independent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            841720925
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_Semantic_classes_Agreement_patterns.independent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      False
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Scale Tree:                      0.000090
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      100
     Taxa:                       67
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-267.447892	87	6.106805162790	8.192856274287	19.787364938021	9.196064948830	0.000000000000	
3000	-266.261832	87	4.177668158540	5.665808620748	19.268140706556	9.115365300097	0.000000000000	
4000	-266.840070	87	5.348520704218	5.449569032429	19.501512825034	9.163088226052	0.000000000000	
5000	-266.019373	87	4.509247066176	7.274264655025	19.308603111512	9.030666182005	0.000000000000	
6000	-266.926662	87	5.220941394733	5.287169942524	19.463826785574	9.204591501435	0.000000000000	
7000	-265.953214	87	2.760598914028	6.742466931334	19.323411134563	9.005942531012	0.000000000000	
8000	-268.435792	87	0.029158862935	8.023546622923	20.473454262329	9.153896990728	0.000000000000	
9000	-269.050176	87	8.023645591996	7.751931699004	20.982177791022	9.097277906933	0.000000000000	
10000	-266.498957	87	1.937634029918	7.516685108863	19.525274417828	9.059220493583	0.000000000000	
11000	-266.569538	87	1.977916431879	7.678330882891	19.512490193589	9.084275393425	0.000000000000	
12000	-266.700683	87	1.462631750208	7.305729821336	19.698563564934	9.033761143767	0.000000000000	
13000	-266.124746	87	3.557100531598	7.701114426635	19.246826433423	9.088193772655	0.000000000000	
14000	-266.647597	87	5.695722578296	7.492732947207	19.619254391643	9.055917320472	0.000000000000	
