Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
829	0.827503	171	0.023392	1.919836	434	0.817972	4.733544	395	0.837975	0.690000	0.703648	
834	0.623501	166	0.060241	3.454818	417	0.752998	6.209579	417	0.494005	0.530000	0.645785	
841	0.519620	159	0.050314	5.846871	447	0.666667	11.006088	394	0.352792	0.445000	0.595601	
824	0.447816	176	0.005682	8.933572	396	0.520202	11.006088	428	0.380841	0.370000	0.550490	
825	0.356364	175	0.000000	15.026145	411	0.386861	11.006088	414	0.326087	0.294000	0.507749	
816	0.340686	184	0.000000	15.026145	416	0.326923	11.006088	400	0.355000	0.278000	0.474932	
832	0.329327	168	0.000000	15.026145	428	0.303738	11.006088	404	0.356436	0.274000	0.449819	
844	0.370853	156	0.000000	15.026145	434	0.382488	11.006088	410	0.358537	0.313000	0.434618	
817	0.324357	183	0.010929	15.026145	427	0.327869	11.006088	390	0.320513	0.267000	0.417858	
823	0.290401	177	0.000000	15.026145	430	0.272093	11.006088	393	0.310433	0.239000	0.401600	
812	0.370690	188	0.010638	15.026145	435	0.406897	11.006088	377	0.328912	0.303000	0.393384	
857	0.271879	143	0.000000	25.286597	412	0.191748	11.006088	445	0.346067	0.233000	0.381048	
793	0.302648	207	0.009662	17.231065	414	0.287440	11.006088	379	0.319261	0.242000	0.371116	
840	0.315476	160	0.000000	17.231065	442	0.307692	11.006088	398	0.324121	0.265000	0.364042	
855	0.308772	145	0.000000	17.231065	415	0.313253	11.006088	440	0.304545	0.264000	0.357790	
821	0.330085	179	0.000000	17.231065	431	0.322506	11.006088	390	0.338462	0.271000	0.352685	
839	0.287247	161	0.000000	17.231065	426	0.237089	11.006088	413	0.338983	0.241000	0.346481	
859	0.321304	141	0.014184	17.231065	468	0.284188	11.006088	391	0.365729	0.278000	0.342877	
833	0.322929	167	0.000000	17.231065	462	0.316017	11.006088	371	0.331536	0.269000	0.339183	
853	0.308324	147	0.000000	17.231065	404	0.306931	11.006088	449	0.309577	0.263000	0.335555	
825	0.351515	175	0.011429	17.231065	398	0.356784	11.006088	427	0.346604	0.292000	0.333576	
826	0.288136	174	0.040230	17.231065	410	0.295122	11.006088	416	0.281250	0.245000	0.329725	
856	0.304907	144	0.027778	17.231065	431	0.290023	11.006088	425	0.320000	0.265000	0.327028	
839	0.321812	161	0.006211	17.231065	443	0.304740	11.006088	396	0.340909	0.271000	0.324787	
833	0.294118	167	0.005988	17.231065	429	0.289044	11.006088	404	0.299505	0.246000	0.321757	
825	0.333333	175	0.011429	17.231065	466	0.332618	11.006088	359	0.334262	0.277000	0.320099	
838	0.326969	162	0.024691	17.231065	435	0.303448	11.006088	403	0.352357	0.278000	0.318596	
851	0.310223	149	0.000000	17.231065	455	0.312088	11.006088	396	0.308081	0.264000	0.316713	
813	0.345633	187	0.042781	17.231065	394	0.342640	11.006088	419	0.348449	0.289000	0.315789	
832	0.312500	168	0.000000	17.231065	429	0.314685	11.006088	403	0.310174	0.260000	0.313990	
825	0.303030	175	0.011429	17.231065	409	0.303178	11.006088	416	0.302885	0.252000	0.312053	
827	0.320435	173	0.011561	17.231065	417	0.302158	11.006088	410	0.339024	0.267000	0.310688	
838	0.331742	162	0.012346	17.231065	425	0.315294	11.006088	413	0.348668	0.280000	0.309785	
836	0.309809	164	0.000000	17.231065	383	0.305483	11.006088	453	0.313466	0.259000	0.308334	
834	0.324940	166	0.000000	17.231065	420	0.297619	11.006088	414	0.352657	0.271000	0.307297	
833	0.319328	167	0.011976	17.231065	459	0.300654	11.006088	374	0.342246	0.268000	0.306235	
849	0.307420	151	0.013245	17.231065	427	0.320843	11.006088	422	0.293839	0.263000	0.305097	
