Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
860	0.343023	140	0.557143	10.728338	436	0.415138	10.542707	424	0.268868	0.373000	0.491254	
854	0.338407	146	0.595890	11.659090	444	0.369369	10.542707	410	0.304878	0.376000	0.452849	
842	0.333729	158	0.588608	11.659090	432	0.388889	10.542707	410	0.275610	0.374000	0.433142	
822	0.341849	178	0.556180	11.659090	408	0.382353	10.542707	414	0.301932	0.380000	0.422515	
820	0.302439	180	0.583333	11.659090	446	0.345291	10.542707	374	0.251337	0.353000	0.410932	
839	0.357569	161	0.627329	11.659090	423	0.385343	10.542707	416	0.329327	0.401000	0.409513	
833	0.354142	167	0.514970	11.659090	446	0.374439	10.542707	387	0.330749	0.381000	0.405949	
842	0.323040	158	0.430380	11.659090	410	0.339024	10.542707	432	0.307870	0.340000	0.398622	
818	0.298289	182	0.582418	11.659090	435	0.360920	10.542707	383	0.227154	0.350000	0.393761	
834	0.350120	166	0.614458	11.659090	427	0.386417	10.542707	407	0.312039	0.394000	0.393782	
852	0.362676	148	0.506757	11.659090	442	0.375566	10.542707	410	0.348780	0.384000	0.392967	
839	0.297974	161	0.453416	11.659090	374	0.299465	10.542707	465	0.296774	0.323000	0.387586	
851	0.360752	149	0.536913	11.659090	409	0.383863	10.542707	442	0.339367	0.387000	0.387544	
809	0.295426	191	0.596859	11.659090	380	0.336842	10.542707	429	0.258741	0.353000	0.385241	
818	0.360636	182	0.494505	11.659090	401	0.386534	10.542707	417	0.335731	0.385000	0.385226	
819	0.329670	181	0.558011	11.659090	409	0.359413	10.542707	410	0.300000	0.371000	0.384389	
850	0.385882	150	0.486667	11.659090	451	0.407982	10.542707	399	0.360902	0.401000	0.385312	
858	0.296037	142	0.626761	22.691899	415	0.245783	10.542707	443	0.343115	0.343000	0.383085	
809	0.234858	191	0.502618	22.691899	410	0.178049	10.542707	399	0.293233	0.286000	0.378231	
819	0.251526	181	0.535912	17.398774	424	0.214623	10.542707	395	0.291139	0.303000	0.374649	
817	0.270502	183	0.502732	17.398774	389	0.239075	10.542707	428	0.299065	0.313000	0.371847	
824	0.269417	176	0.534091	17.398774	420	0.240476	10.542707	404	0.299505	0.316000	0.369419	
816	0.265931	184	0.548913	17.398774	413	0.288136	10.542707	403	0.243176	0.318000	0.367276	
793	0.300126	207	0.516908	17.398774	405	0.281481	10.542707	388	0.319588	0.345000	0.366385	
836	0.253589	164	0.530488	17.398774	394	0.238579	10.542707	442	0.266968	0.299000	0.363794	
843	0.228944	157	0.560510	17.398774	403	0.188586	10.542707	440	0.265909	0.281000	0.360727	
844	0.327014	156	0.538462	13.567914	433	0.300231	10.542707	411	0.355231	0.360000	0.360701	
845	0.280473	155	0.554839	13.567914	453	0.286976	10.542707	392	0.272959	0.323000	0.359401	
841	0.367420	159	0.515723	13.567914	500	0.400000	10.542707	341	0.319648	0.391000	0.360455	
843	0.330961	157	0.471338	13.567914	422	0.372038	10.542707	421	0.289786	0.353000	0.360214	
826	0.317191	174	0.454023	13.567914	442	0.330317	10.542707	384	0.302083	0.341000	0.359614	
871	0.303100	129	0.449612	13.567914	427	0.306792	10.542707	444	0.299550	0.322000	0.358474	
828	0.307971	172	0.430233	13.567914	412	0.310680	10.542707	416	0.305288	0.329000	0.357607	
828	0.323671	172	0.546512	13.567914	418	0.344498	10.542707	410	0.302439	0.362000	0.357733	
824	0.304612	176	0.585227	13.567914	401	0.294264	10.542707	423	0.314421	0.354000	0.357629	
832	0.318510	168	0.607143	13.567914	433	0.341801	10.542707	399	0.293233	0.367000	0.357882	
838	0.294749	162	0.469136	13.567914	444	0.313063	10.542707	394	0.274112	0.323000	0.356964	
839	0.313468	161	0.403727	13.567914	472	0.300847	10.542707	367	0.329700	0.328000	0.356222	
829	0.347407	171	0.555556	13.567914	443	0.356659	10.542707	386	0.336788	0.383000	0.356891	
836	0.300239	164	0.500000	13.567914	434	0.285714	10.542707	402	0.315920	0.333000	0.356308	
838	0.329356	162	0.598765	13.567914	439	0.334852	10.542707	399	0.323308	0.373000	0.356706	
838	0.285203	162	0.543210	13.567914	423	0.286052	10.542707	415	0.284337	0.327000	0.356015	
822	0.322384	178	0.606742	13.567914	400	0.360000	10.542707	422	0.286730	0.373000	0.356401	
838	0.317422	162	0.629630	13.567914	421	0.296912	10.542707	417	0.338129	0.368000	0.356659	
825	0.311515	175	0.508571	13.567914	414	0.282609	10.542707	411	0.340633	0.346000	0.356427	
839	0.283671	161	0.453416	13.567914	408	0.281863	10.542707	431	0.285383	0.311000	0.355461	
859	0.291036	141	0.503546	13.567914	409	0.293399	10.542707	450	0.288889	0.321000	0.354743	
834	0.314149	166	0.451807	13.567914	413	0.297821	10.542707	421	0.330166	0.337000	0.354381	
823	0.319563	177	0.480226	13.567914	426	0.340376	10.542707	397	0.297229	0.348000	0.354253	
833	0.343337	167	0.520958	13.567914	426	0.356808	10.542707	407	0.329238	0.373000	0.354620	
830	0.296386	170	0.547059	13.567914	449	0.302895	10.542707	381	0.288714	0.339000	0.354320	
829	0.290712	171	0.532164	13.567914	413	0.280872	10.542707	416	0.300481	0.332000	0.353899	
835	0.312575	165	0.545455	13.567914	420	0.333333	10.542707	415	0.291566	0.351000	0.353845	
827	0.281741	173	0.543353	13.567914	401	0.269327	10.542707	426	0.293427	0.327000	0.353357	
829	0.346200	171	0.461988	13.567914	449	0.345212	10.542707	380	0.347368	0.366000	0.353583	
814	0.334152	186	0.478495	13.567914	408	0.316176	10.542707	406	0.352217	0.361000	0.353713	
827	0.309553	173	0.549133	13.567914	385	0.306494	10.542707	442	0.312217	0.351000	0.353666	
852	0.314554	148	0.527027	13.567914	403	0.327543	10.542707	449	0.302895	0.346000	0.353536	
836	0.308612	164	0.579268	13.567914	426	0.328638	10.542707	410	0.287805	0.353000	0.353527	
839	0.293206	161	0.478261	13.567914	429	0.307692	10.542707	410	0.278049	0.323000	0.353027	
831	0.310469	169	0.461538	13.567914	405	0.301235	10.542707	426	0.319249	0.336000	0.352752	
836	0.311005	164	0.481707	13.567914	432	0.305556	10.542707	404	0.316832	0.339000	0.352534	
838	0.335322	162	0.654321	13.567914	425	0.341176	10.542707	413	0.329298	0.387000	0.353073	
835	0.257485	165	0.418182	13.567914	403	0.260546	10.542707	432	0.254630	0.284000	0.352010	
861	0.270616	139	0.553957	13.567914	436	0.254587	10.542707	425	0.287059	0.310000	0.351373	
827	0.305925	173	0.583815	13.567914	432	0.312500	10.542707	395	0.298734	0.354000	0.351413	
824	0.300971	176	0.539773	13.567914	420	0.311905	10.542707	404	0.289604	0.343000	0.351289	
827	0.301088	173	0.583815	13.567914	368	0.293478	10.542707	459	0.307190	0.350000	0.351270	
846	0.299054	154	0.571429	13.567914	439	0.307517	10.542707	407	0.289926	0.341000	0.351124	
787	0.261753	213	0.530516	13.567914	386	0.303109	10.542707	401	0.221945	0.319000	0.350671	
820	0.275610	180	0.566667	13.567914	427	0.269321	10.542707	393	0.282443	0.328000	0.350356	
829	0.305187	171	0.473684	13.567914	441	0.303855	10.542707	388	0.306701	0.334000	0.350132	
828	0.276570	172	0.482558	13.567914	419	0.303103	10.542707	409	0.249389	0.312000	0.349617	
830	0.292771	170	0.517647	13.567914	382	0.295812	10.542707	448	0.290179	0.331000	0.349369	
821	0.278928	179	0.424581	13.567914	403	0.307692	10.542707	418	0.251196	0.305000	0.348785	
801	0.344569	199	0.557789	13.567914	358	0.365922	10.542707	443	0.327314	0.387000	0.349281	
837	0.311828	163	0.570552	13.567914	423	0.340426	10.542707	414	0.282609	0.354000	0.349342	
816	0.290441	184	0.494565	13.567914	406	0.295567	10.542707	410	0.285366	0.328000	0.349072	
840	0.308333	160	0.437500	13.567914	430	0.297674	10.542707	410	0.319512	0.329000	0.348821	
825	0.310303	175	0.537143	13.567914	431	0.322506	10.542707	394	0.296954	0.350000	0.348835	
833	0.313325	167	0.497006	13.567914	408	0.323529	10.542707	425	0.303529	0.344000	0.348776	
842	0.358670	158	0.392405	13.567914	450	0.368889	10.542707	392	0.346939	0.364000	0.348960	
851	0.269095	149	0.510067	13.567914	440	0.263636	10.542707	411	0.274939	0.305000	0.348436	
853	0.295428	147	0.653061	13.567914	440	0.265909	10.542707	413	0.326877	0.348000	0.348431	
833	0.368547	167	0.580838	13.567914	404	0.381188	10.542707	429	0.356643	0.404000	0.349077	
812	0.311576	188	0.579787	13.567914	396	0.330808	10.542707	416	0.293269	0.362000	0.349226	
821	0.291108	179	0.608939	13.567914	416	0.317308	10.542707	405	0.264198	0.348000	0.349212	
843	0.276394	157	0.375796	13.567914	438	0.283105	10.542707	405	0.269136	0.292000	0.348569	
844	0.290284	156	0.493590	13.567914	410	0.312195	10.542707	434	0.269585	0.322000	0.348274	
830	0.330120	170	0.552941	13.567914	408	0.365196	10.542707	422	0.296209	0.368000	0.348491	
830	0.333735	170	0.458824	13.567914	416	0.324519	10.542707	414	0.342995	0.355000	0.348561	
817	0.307222	183	0.617486	13.567914	406	0.312808	10.542707	411	0.301703	0.364000	0.348727	
827	0.303507	173	0.439306	13.567914	399	0.323308	10.542707	428	0.285047	0.327000	0.348496	
823	0.318348	177	0.519774	13.567914	427	0.325527	10.542707	396	0.310606	0.354000	0.348554	
