Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.120148	-0.120148
1	0.995007	75000	-0.119943	-0.240091
2	0.992517	75000	-0.119867	-0.359958
3	0.990030	75000	-0.119641	-0.479599
4	0.987547	75000	-0.119476	-0.599075
5	0.985067	75000	-0.119311	-0.718386
6	0.982592	75000	-0.119119	-0.837504
7	0.980120	75000	-0.119114	-0.956618
8	0.977652	75000	-0.118925	-1.075544
9	0.975187	75000	-0.118562	-1.194106
10	0.972726	75000	-0.118458	-1.312564
11	0.970269	75000	-0.118251	-1.430814
12	0.967816	75000	-0.118075	-1.548890
13	0.965367	75000	-0.117881	-1.666770
14	0.962921	75000	-0.117752	-1.784522
15	0.960479	75000	-0.117723	-1.902245
16	0.958040	75000	-0.117452	-2.019697
17	0.955606	75000	-0.117336	-2.137032
18	0.953175	75000	-0.117358	-2.254390
19	0.950747	75000	-0.116876	-2.371266
20	0.948324	75000	-0.116804	-2.488070
21	0.945904	75000	-0.116505	-2.604575
22	0.943488	75000	-0.116303	-2.720878
23	0.941076	75000	-0.116240	-2.837117
24	0.938667	75000	-0.116277	-2.953394
25	0.936262	75000	-0.116006	-3.069400
26	0.933861	75000	-0.115795	-3.185195
27	0.931463	75000	-0.115730	-3.300925
28	0.929069	75000	-0.115484	-3.416408
29	0.926679	75000	-0.115344	-3.531752
30	0.924293	75000	-0.115065	-3.646816
31	0.921910	75000	-0.115003	-3.761819
32	0.919531	75000	-0.114755	-3.876575
33	0.917155	75000	-0.114715	-3.991290
34	0.914783	75000	-0.114487	-4.105778
35	0.912415	75000	-0.114265	-4.220042
36	0.910051	75000	-0.114207	-4.334249
37	0.907690	75000	-0.114040	-4.448289
38	0.905333	75000	-0.113924	-4.562213
39	0.902980	75000	-0.113770	-4.675983
40	0.900630	75000	-0.113485	-4.789467
41	0.898284	75000	-0.113395	-4.902862
42	0.895942	75000	-0.113101	-5.015963
43	0.893603	75000	-0.113061	-5.129024
44	0.891268	75000	-0.112895	-5.241919
45	0.888937	75000	-0.112807	-5.354725
46	0.886609	75000	-0.112523	-5.467249
47	0.884285	75000	-0.112291	-5.579540
48	0.881965	75000	-0.112293	-5.691833
49	0.879648	75000	-0.111917	-5.803751
50	0.877335	75000	-0.111818	-5.915569
51	0.875026	75000	-0.111660	-6.027229
52	0.872720	75000	-0.111743	-6.138972
53	0.870418	75000	-0.111397	-6.250369
54	0.868120	75000	-0.111167	-6.361536
55	0.865825	75000	-0.111111	-6.472648
56	0.863534	75000	-0.110912	-6.583560
57	0.861246	75000	-0.110712	-6.694272
58	0.858962	75000	-0.110602	-6.804874
59	0.856682	75000	-0.110317	-6.915190
60	0.854405	75000	-0.110318	-7.025508
61	0.852132	75000	-0.110159	-7.135667
62	0.849863	75000	-0.109983	-7.245650
63	0.847597	75000	-0.109793	-7.355443
64	0.845335	75000	-0.109558	-7.465001
65	0.843077	75000	-0.109509	-7.574511
66	0.840822	75000	-0.109308	-7.683819
67	0.838571	75000	-0.109157	-7.792976
68	0.836323	75000	-0.108877	-7.901853
69	0.834079	75000	-0.108899	-8.010752
70	0.831839	75000	-0.108616	-8.119369
71	0.829602	75000	-0.108554	-8.227922
72	0.827369	75000	-0.108407	-8.336329
73	0.825140	75000	-0.108154	-8.444483
74	0.822914	75000	-0.108030	-8.552513
75	0.820691	75000	-0.107799	-8.660312
76	0.818473	75000	-0.107620	-8.767932
77	0.816258	75000	-0.107511	-8.875443
78	0.814046	75000	-0.107417	-8.982860
79	0.811838	75000	-0.107172	-9.090032
80	0.809634	75000	-0.107128	-9.197160
81	0.807433	75000	-0.106915	-9.304075
82	0.805236	75000	-0.106759	-9.410834
83	0.803043	75000	-0.106628	-9.517462
84	0.800853	75000	-0.106544	-9.624006
85	0.798667	75000	-0.106229	-9.730235
86	0.796484	75000	-0.106060	-9.836295
87	0.794305	75000	-0.106100	-9.942395
88	0.792129	75000	-0.105838	-10.048232
89	0.789957	75000	-0.105612	-10.153844
90	0.787789	75000	-0.105472	-10.259316
91	0.785624	75000	-0.105290	-10.364607
92	0.783463	75000	-0.105173	-10.469780
93	0.781305	75000	-0.105022	-10.574801
94	0.779151	75000	-0.104773	-10.679574
95	0.777000	75000	-0.104693	-10.784267
96	0.774853	75000	-0.104451	-10.888717
97	0.772710	75000	-0.104397	-10.993115
98	0.770570	75000	-0.104294	-11.097408
99	0.768433	75000	-0.104033	-11.201441
100	0.766301	75000	-0.103842	-11.305284
101	0.764172	75000	-0.103901	-11.409185
102	0.762046	75000	-0.103439	-11.512624
103	0.759924	75000	-0.103375	-11.616000
104	0.757805	75000	-0.103269	-11.719269
105	0.755690	75000	-0.103093	-11.822361
106	0.753579	75000	-0.102911	-11.925272
107	0.751471	75000	-0.102858	-12.028130
108	0.749366	75000	-0.102653	-12.130783
109	0.747266	75000	-0.102477	-12.233260
110	0.745168	75000	-0.102248	-12.335508
111	0.743075	75000	-0.102136	-12.437644
112	0.740984	75000	-0.102076	-12.539720
113	0.738898	75000	-0.101943	-12.641664
114	0.736815	75000	-0.101591	-12.743254
115	0.734735	75000	-0.101579	-12.844833
116	0.732659	75000	-0.101530	-12.946363
117	0.730586	75000	-0.101166	-13.047530
118	0.728517	75000	-0.101011	-13.148541
119	0.726452	75000	-0.100960	-13.249501
120	0.724390	75000	-0.100760	-13.350261
121	0.722331	75000	-0.100545	-13.450806
122	0.720276	75000	-0.100484	-13.551291
123	0.718225	75000	-0.100357	-13.651647
124	0.716177	75000	-0.100066	-13.751714
125	0.714132	75000	-0.100096	-13.851810
126	0.712091	75000	-0.099932	-13.951742
127	0.710054	75000	-0.099614	-14.051356
128	0.708020	75000	-0.099455	-14.150811
129	0.705989	75000	-0.099539	-14.250350
130	0.703962	75000	-0.099140	-14.349490
131	0.701939	75000	-0.099098	-14.448588
132	0.699919	75000	-0.098956	-14.547544
133	0.697902	75000	-0.098706	-14.646251
134	0.695889	75000	-0.098539	-14.744789
135	0.693880	75000	-0.098450	-14.843239
136	0.691874	75000	-0.098301	-14.941540
137	0.689871	75000	-0.098038	-15.039578
138	0.687872	75000	-0.097916	-15.137494
139	0.685877	75000	-0.097930	-15.235424
140	0.683885	75000	-0.097700	-15.333124
141	0.681896	75000	-0.097472	-15.430596
142	0.679911	75000	-0.097331	-15.527926
143	0.677929	75000	-0.097001	-15.624928
144	0.675951	75000	-0.097196	-15.722123
145	0.673976	75000	-0.096862	-15.818986
146	0.672005	75000	-0.096801	-15.915786
147	0.670037	75000	-0.096532	-16.012318
148	0.668073	75000	-0.096652	-16.108970
149	0.666112	75000	-0.096250	-16.205219
150	0.664155	75000	-0.096057	-16.301276
151	0.662201	75000	-0.096053	-16.397329
152	0.660250	75000	-0.095772	-16.493101
153	0.658303	75000	-0.095782	-16.588884
154	0.656359	75000	-0.095418	-16.684302
155	0.654419	75000	-0.095412	-16.779713
156	0.652483	75000	-0.095228	-16.874942
157	0.650549	75000	-0.095038	-16.969980
158	0.648619	75000	-0.094839	-17.064819
159	0.646693	75000	-0.094806	-17.159625
160	0.644770	75000	-0.094618	-17.254243
161	0.642851	75000	-0.094309	-17.348552
162	0.640934	75000	-0.094373	-17.442925
163	0.639022	75000	-0.094142	-17.537067
164	0.637113	75000	-0.094001	-17.631068
165	0.635207	75000	-0.093838	-17.724906
166	0.633304	75000	-0.093639	-17.818545
167	0.631405	75000	-0.093642	-17.912186
168	0.629510	75000	-0.093362	-18.005548
169	0.627618	75000	-0.093272	-18.098820
170	0.625729	75000	-0.093038	-18.191858
171	0.623844	75000	-0.092953	-18.284812
172	0.621962	75000	-0.092883	-18.377694
173	0.620083	75000	-0.092512	-18.470207
174	0.618208	75000	-0.092400	-18.562607
175	0.616337	75000	-0.092317	-18.654923
176	0.614468	75000	-0.092144	-18.747067
177	0.612604	75000	-0.092112	-18.839179
178	0.610742	75000	-0.091850	-18.931029
179	0.608884	75000	-0.091782	-19.022810
180	0.607029	75000	-0.091562	-19.114372
181	0.605178	75000	-0.091431	-19.205803
182	0.603330	75000	-0.091290	-19.297093
183	0.601486	75000	-0.091161	-19.388253
184	0.599645	75000	-0.090970	-19.479223
185	0.597807	75000	-0.090799	-19.570023
186	0.595973	75000	-0.090840	-19.660863
187	0.594142	75000	-0.090522	-19.751384
188	0.592314	75000	-0.090437	-19.841821
