Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_Semantic_classes_Agreement_patterns.txt
Log File Name:                   features_Semantic_classes_Agreement_patterns.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            24552404
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_Semantic_classes_Agreement_patterns.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Scale Tree:                      0.000068
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       12
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-47.789450	561	2.604473207845	2.602844988879	30.343808397060	14.443458353893	0.141047293792	
3000	-49.561216	704	4.642444810961	1.321379857763	19.992114794700	13.760939675569	0.047292741203	
4000	-52.704469	192	3.222796647283	-0.435858383328	27.920670185751	18.355658589199	0.114553272507	
5000	-48.080819	556	5.219456494497	3.525929278380	21.945580915844	9.183551126202	0.162709558787	
6000	-47.920473	204	1.702143978838	3.218721979020	28.049378551145	10.010968540851	0.012942546023	
7000	-47.316892	682	3.415191964714	3.268262302330	17.387745706257	11.386032964772	0.155097148498	
8000	-47.794740	425	2.220845629703	3.881384524663	18.515790527112	10.967106412858	-0.039862170248	
9000	-47.859776	762	2.401790379201	3.996998041883	17.504780134243	10.821981172172	0.016119911929	
10000	-46.754894	643	3.913773789761	2.053634487713	19.290605391514	11.428937984721	-0.008237690370	
11000	-49.678041	381	5.696146344663	4.879108586348	28.246866244880	15.653548314048	0.307066898897	
12000	-47.979506	528	4.661634163715	2.060949120393	27.488897494194	13.443389290226	-0.028133696730	
13000	-48.850631	946	5.086206229549	3.869354025766	21.752304732909	12.007031778469	0.229045625861	
14000	-47.314243	5	4.343971329389	3.002886889187	25.815614076261	11.104380222765	0.076004636529	
