Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.120163	-0.120163
1	0.995007	75000	-0.119927	-0.240090
2	0.992517	75000	-0.119830	-0.359920
3	0.990030	75000	-0.119647	-0.479567
4	0.987547	75000	-0.119569	-0.599136
5	0.985067	75000	-0.119314	-0.718450
6	0.982592	75000	-0.119274	-0.837725
7	0.980120	75000	-0.119010	-0.956735
8	0.977652	75000	-0.118835	-1.075570
9	0.975187	75000	-0.118791	-1.194361
10	0.972726	75000	-0.118558	-1.312919
11	0.970269	75000	-0.118424	-1.431342
12	0.967816	75000	-0.118275	-1.549618
13	0.965367	75000	-0.118044	-1.667662
14	0.962921	75000	-0.117760	-1.785422
15	0.960479	75000	-0.117744	-1.903166
16	0.958040	75000	-0.117613	-2.020779
17	0.955606	75000	-0.117410	-2.138189
18	0.953175	75000	-0.117307	-2.255496
19	0.950747	75000	-0.117142	-2.372638
20	0.948324	75000	-0.116715	-2.489352
21	0.945904	75000	-0.116808	-2.606160
22	0.943488	75000	-0.116694	-2.722854
23	0.941076	75000	-0.116490	-2.839344
24	0.938667	75000	-0.116182	-2.955526
25	0.936262	75000	-0.116046	-3.071572
26	0.933861	75000	-0.116010	-3.187583
27	0.931463	75000	-0.115705	-3.303288
28	0.929069	75000	-0.115431	-3.418719
29	0.926679	75000	-0.115376	-3.534095
30	0.924293	75000	-0.115183	-3.649278
31	0.921910	75000	-0.115061	-3.764339
32	0.919531	75000	-0.114789	-3.879128
33	0.917155	75000	-0.114857	-3.993985
34	0.914783	75000	-0.114684	-4.108669
35	0.912415	75000	-0.114374	-4.223043
36	0.910051	75000	-0.114335	-4.337378
37	0.907690	75000	-0.114042	-4.451420
38	0.905333	75000	-0.113858	-4.565278
39	0.902980	75000	-0.113801	-4.679079
40	0.900630	75000	-0.113535	-4.792614
41	0.898284	75000	-0.113428	-4.906042
42	0.895942	75000	-0.113279	-5.019321
43	0.893603	75000	-0.113087	-5.132408
44	0.891268	75000	-0.113017	-5.245425
45	0.888937	75000	-0.112712	-5.358137
46	0.886609	75000	-0.112693	-5.470830
47	0.884285	75000	-0.112509	-5.583339
48	0.881965	75000	-0.112349	-5.695688
49	0.879648	75000	-0.112158	-5.807847
50	0.877335	75000	-0.112074	-5.919921
51	0.875026	75000	-0.111831	-6.031752
52	0.872720	75000	-0.111667	-6.143420
53	0.870418	75000	-0.111443	-6.254863
54	0.868120	75000	-0.111394	-6.366257
55	0.865825	75000	-0.111167	-6.477424
56	0.863534	75000	-0.111113	-6.588537
57	0.861246	75000	-0.110869	-6.699405
58	0.858962	75000	-0.110722	-6.810128
59	0.856682	75000	-0.110678	-6.920805
60	0.854405	75000	-0.110416	-7.031222
61	0.852132	75000	-0.110226	-7.141447
62	0.849863	75000	-0.110100	-7.251547
63	0.847597	75000	-0.109834	-7.361381
64	0.845335	75000	-0.109733	-7.471114
65	0.843077	75000	-0.109389	-7.580504
66	0.840822	75000	-0.109351	-7.689854
67	0.838571	75000	-0.109206	-7.799060
68	0.836323	75000	-0.109185	-7.908245
69	0.834079	75000	-0.108830	-8.017075
70	0.831839	75000	-0.108794	-8.125870
71	0.829602	75000	-0.108582	-8.234451
72	0.827369	75000	-0.108512	-8.342964
73	0.825140	75000	-0.108227	-8.451190
74	0.822914	75000	-0.108011	-8.559201
75	0.820691	75000	-0.107984	-8.667185
76	0.818473	75000	-0.107797	-8.774983
77	0.816258	75000	-0.107731	-8.882714
78	0.814046	75000	-0.107609	-8.990322
79	0.811838	75000	-0.107271	-9.097594
80	0.809634	75000	-0.107211	-9.204805
81	0.807433	75000	-0.106972	-9.311777
82	0.805236	75000	-0.106828	-9.418604
83	0.803043	75000	-0.106685	-9.525289
84	0.800853	75000	-0.106532	-9.631822
85	0.798667	75000	-0.106340	-9.738161
86	0.796484	75000	-0.106347	-9.844508
87	0.794305	75000	-0.106009	-9.950517
88	0.792129	75000	-0.105964	-10.056481
89	0.789957	75000	-0.105912	-10.162392
90	0.787789	75000	-0.105554	-10.267946
91	0.785624	75000	-0.105483	-10.373429
92	0.783463	75000	-0.105342	-10.478772
93	0.781305	75000	-0.105162	-10.583933
94	0.779151	75000	-0.104861	-10.688794
95	0.777000	75000	-0.104690	-10.793484
96	0.774853	75000	-0.104465	-10.897949
97	0.772710	75000	-0.104565	-11.002514
98	0.770570	75000	-0.104268	-11.106782
99	0.768433	75000	-0.104067	-11.210850
100	0.766301	75000	-0.104011	-11.314861
101	0.764172	75000	-0.103760	-11.418620
102	0.762046	75000	-0.103647	-11.522267
103	0.759924	75000	-0.103478	-11.625745
104	0.757805	75000	-0.103338	-11.729083
105	0.755690	75000	-0.103319	-11.832402
106	0.753579	75000	-0.103001	-11.935403
107	0.751471	75000	-0.102900	-12.038303
108	0.749366	75000	-0.102887	-12.141191
109	0.747266	75000	-0.102519	-12.243710
110	0.745168	75000	-0.102497	-12.346207
111	0.743075	75000	-0.102330	-12.448537
112	0.740984	75000	-0.102248	-12.550785
113	0.738898	75000	-0.101879	-12.652664
114	0.736815	75000	-0.101739	-12.754403
115	0.734735	75000	-0.101506	-12.855908
116	0.732659	75000	-0.101447	-12.957355
117	0.730586	75000	-0.101498	-13.058853
118	0.728517	75000	-0.101085	-13.159938
119	0.726452	75000	-0.101213	-13.261151
120	0.724390	75000	-0.100786	-13.361937
121	0.722331	75000	-0.100704	-13.462641
122	0.720276	75000	-0.100538	-13.563179
123	0.718225	75000	-0.100575	-13.663754
124	0.716177	75000	-0.100269	-13.764023
125	0.714132	75000	-0.100174	-13.864197
126	0.712091	75000	-0.099854	-13.964051
127	0.710054	75000	-0.099817	-14.063867
128	0.708020	75000	-0.099674	-14.163541
129	0.705989	75000	-0.099296	-14.262838
130	0.703962	75000	-0.099319	-14.362156
131	0.701939	75000	-0.099209	-14.461366
132	0.699919	75000	-0.099060	-14.560426
133	0.697902	75000	-0.098858	-14.659283
134	0.695889	75000	-0.098770	-14.758053
135	0.693880	75000	-0.098700	-14.856753
136	0.691874	75000	-0.098502	-14.955255
137	0.689871	75000	-0.098324	-15.053580
138	0.687872	75000	-0.098257	-15.151837
139	0.685877	75000	-0.097941	-15.249778
140	0.683885	75000	-0.097948	-15.347725
141	0.681896	75000	-0.097674	-15.445399
142	0.679911	75000	-0.097428	-15.542827
143	0.677929	75000	-0.097306	-15.640133
144	0.675951	75000	-0.097318	-15.737451
145	0.673976	75000	-0.097094	-15.834545
146	0.672005	75000	-0.096800	-15.931345
147	0.670037	75000	-0.096849	-16.028194
148	0.668073	75000	-0.096548	-16.124742
149	0.666112	75000	-0.096439	-16.221181
150	0.664155	75000	-0.096388	-16.317569
151	0.662201	75000	-0.096058	-16.413627
152	0.660250	75000	-0.096031	-16.509658
153	0.658303	75000	-0.095694	-16.605352
154	0.656359	75000	-0.095695	-16.701047
155	0.654419	75000	-0.095544	-16.796591
156	0.652483	75000	-0.095357	-16.891947
157	0.650549	75000	-0.095271	-16.987219
158	0.648619	75000	-0.095152	-17.082370
159	0.646693	75000	-0.094867	-17.177238
160	0.644770	75000	-0.094856	-17.272094
161	0.642851	75000	-0.094728	-17.366822
162	0.640934	75000	-0.094528	-17.461350
163	0.639022	75000	-0.094286	-17.555636
164	0.637113	75000	-0.094137	-17.649774
165	0.635207	75000	-0.093983	-17.743757
166	0.633304	75000	-0.094000	-17.837757
167	0.631405	75000	-0.093787	-17.931544
168	0.629510	75000	-0.093610	-18.025155
169	0.627618	75000	-0.093485	-18.118640
170	0.625729	75000	-0.093308	-18.211947
171	0.623844	75000	-0.093246	-18.305193
172	0.621962	75000	-0.093017	-18.398210
173	0.620083	75000	-0.093017	-18.491227
174	0.618208	75000	-0.092643	-18.583870
175	0.616337	75000	-0.092680	-18.676550
176	0.614468	75000	-0.092617	-18.769167
177	0.612604	75000	-0.092268	-18.861435
178	0.610742	75000	-0.092155	-18.953590
179	0.608884	75000	-0.092095	-19.045686
180	0.607029	75000	-0.091853	-19.137539
181	0.605178	75000	-0.091636	-19.229175
182	0.603330	75000	-0.091415	-19.320590
183	0.601486	75000	-0.091362	-19.411952
184	0.599645	75000	-0.091105	-19.503058
185	0.597807	75000	-0.091023	-19.594081
186	0.595973	75000	-0.090983	-19.685064
187	0.594142	75000	-0.090770	-19.775833
188	0.592314	75000	-0.090634	-19.866468
189	0.590490	75000	-0.090526	-19.956994
190	0.588669	75000	-0.090433	-20.047427
191	0.586852	75000	-0.090335	-20.137762
192	0.585038	75000	-0.090171	-20.227933
193	0.583227	75000	-0.089989	-20.317923
194	0.581420	75000	-0.089894	-20.407816
195	0.579616	75000	-0.089743	-20.497559
196	0.577815	75000	-0.089519	-20.587078
197	0.576018	75000	-0.089333	-20.676411
198	0.574224	75000	-0.089145	-20.765555
199	0.572433	75000	-0.089031	-20.854587
200	0.570646	75000	-0.088840	-20.943427
201	0.568862	75000	-0.088786	-21.032212
202	0.567082	75000	-0.088733	-21.120945
203	0.565305	75000	-0.088407	-21.209352
204	0.563531	75000	-0.088330	-21.297682
205	0.561761	75000	-0.088121	-21.385803
206	0.559993	75000	-0.088042	-21.473846
207	0.558230	75000	-0.087950	-21.561795
208	0.556469	75000	-0.087740	-21.649535
209	0.554712	75000	-0.087556	-21.737091
210	0.552958	75000	-0.087561	-21.824652
211	0.551208	75000	-0.087370	-21.912022
212	0.549461	75000	-0.087237	-21.999259
213	0.547717	75000	-0.087021	-22.086281
214	0.545977	75000	-0.086769	-22.173050
215	0.544240	75000	-0.086875	-22.259925
216	0.542506	75000	-0.086603	-22.346527
217	0.540775	75000	-0.086452	-22.432980
218	0.539048	75000	-0.086461	-22.519440
219	0.537324	75000	-0.086323	-22.605764
220	0.535604	75000	-0.086235	-22.691998
221	0.533887	75000	-0.086007	-22.778006
222	0.532173	75000	-0.085751	-22.863757
223	0.530462	75000	-0.085732	-22.949489
224	0.528755	75000	-0.085416	-23.034904
225	0.527051	75000	-0.085253	-23.120158
226	0.525350	75000	-0.085121	-23.205279
227	0.523653	75000	-0.085006	-23.290285
228	0.521958	75000	-0.084890	-23.375175
229	0.520268	75000	-0.084769	-23.459944
230	0.518580	75000	-0.084650	-23.544594
231	0.516896	75000	-0.084331	-23.628925
232	0.515215	75000	-0.084355	-23.713280
233	0.513537	75000	-0.084243	-23.797523
234	0.511863	75000	-0.083941	-23.881464
235	0.510192	75000	-0.083961	-23.965425
236	0.508524	75000	-0.083789	-24.049214
237	0.506859	75000	-0.083663	-24.132876
238	0.505198	75000	-0.083350	-24.216226
239	0.503540	75000	-0.083479	-24.299705
240	0.501885	75000	-0.083193	-24.382898
241	0.500234	75000	-0.083094	-24.465992
242	0.498586	75000	-0.083033	-24.549025
243	0.496941	75000	-0.082804	-24.631828
244	0.495299	75000	-0.082597	-24.714426
245	0.493660	75000	-0.082621	-24.797047
246	0.492025	75000	-0.082608	-24.879655
247	0.490393	75000	-0.082505	-24.962159
248	0.488765	75000	-0.082035	-25.044194
249	0.487139	75000	-0.082038	-25.126232
250	0.485517	75000	-0.082005	-25.208238
251	0.483898	75000	-0.081858	-25.290096
252	0.482283	75000	-0.081637	-25.371733
253	0.480670	75000	-0.081690	-25.453423
254	0.479061	75000	-0.081560	-25.534982
255	0.477455	75000	-0.081399	-25.616382
256	0.475852	75000	-0.081236	-25.697618
257	0.474253	75000	-0.080992	-25.778610
258	0.472656	75000	-0.080980	-25.859590
259	0.471063	75000	-0.080638	-25.940229
260	0.469474	75000	-0.080740	-26.020969
261	0.467887	75000	-0.080764	-26.101733
262	0.466304	75000	-0.080408	-26.182141
263	0.464723	75000	-0.080260	-26.262401
264	0.463146	75000	-0.080210	-26.342612
265	0.461573	75000	-0.079931	-26.422543
266	0.460002	75000	-0.079677	-26.502219
267	0.458435	75000	-0.079622	-26.581841
268	0.456871	75000	-0.079493	-26.661335
269	0.455310	75000	-0.079354	-26.740689
270	0.453752	75000	-0.079299	-26.819988
271	0.452198	75000	-0.079205	-26.899192
272	0.450647	75000	-0.079125	-26.978318
273	0.449098	75000	-0.078902	-27.057219
274	0.447554	75000	-0.078678	-27.135898
275	0.446012	75000	-0.078599	-27.214497
276	0.444473	75000	-0.078321	-27.292818
277	0.442938	75000	-0.078495	-27.371313
278	0.441406	75000	-0.078247	-27.449560
279	0.439877	75000	-0.077948	-27.527508
280	0.438351	75000	-0.078180	-27.605688
281	0.436829	75000	-0.077886	-27.683574
282	0.435309	75000	-0.077605	-27.761179
283	0.433793	75000	-0.077559	-27.838738
284	0.432280	75000	-0.077546	-27.916284
285	0.430770	75000	-0.077265	-27.993549
286	0.429263	75000	-0.077314	-28.070863
287	0.427760	75000	-0.076904	-28.147767
288	0.426259	75000	-0.076988	-28.224755
289	0.424762	75000	-0.076837	-28.301591
290	0.423268	75000	-0.076732	-28.378324
291	0.421777	75000	-0.076670	-28.454994
292	0.420289	75000	-0.076417	-28.531411
293	0.418805	75000	-0.076521	-28.607932
294	0.417323	75000	-0.076259	-28.684191
295	0.415845	75000	-0.076026	-28.760217
296	0.414370	75000	-0.076060	-28.836277
297	0.412898	75000	-0.075999	-28.912276
298	0.411429	75000	-0.075479	-28.987755
299	0.409963	75000	-0.075365	-29.063120
300	0.408501	75000	-0.075746	-29.138866
301	0.407041	75000	-0.075269	-29.214135
302	0.405585	75000	-0.075655	-29.289790
303	0.404132	75000	-0.075245	-29.365034
304	0.402682	75000	-0.074859	-29.439894
305	0.401235	75000	-0.075134	-29.515028
306	0.399791	75000	-0.074739	-29.589767
307	0.398350	75000	-0.074836	-29.664603
308	0.396913	75000	-0.074504	-29.739106
309	0.395478	75000	-0.074405	-29.813511
310	0.394047	75000	-0.074040	-29.887551
311	0.392619	75000	-0.074429	-29.961980
312	0.391194	75000	-0.073961	-30.035941
313	0.389772	75000	-0.073964	-30.109904
314	0.388353	75000	-0.073512	-30.183417
315	0.386937	75000	-0.073584	-30.257001
316	0.385524	75000	-0.073531	-30.330531
317	0.384115	75000	-0.073449	-30.403980
318	0.382708	75000	-0.073466	-30.477446
319	0.381305	75000	-0.073309	-30.550755
320	0.379904	75000	-0.073140	-30.623895
321	0.378507	75000	-0.073144	-30.697039
322	0.377113	75000	-0.072878	-30.769917
323	0.375722	75000	-0.072808	-30.842725
324	0.374334	75000	-0.072487	-30.915212
325	0.372949	75000	-0.072438	-30.987650
326	0.371567	75000	-0.072182	-31.059832
327	0.370189	75000	-0.072122	-31.131953
328	0.368813	75000	-0.071926	-31.203879
329	0.367440	75000	-0.072053	-31.275932
330	0.366071	75000	-0.072053	-31.347985
331	0.364705	75000	-0.071888	-31.419873
332	0.363341	75000	-0.071619	-31.491491
333	0.361981	75000	-0.071360	-31.562851
334	0.360624	75000	-0.071736	-31.634587
335	0.359269	75000	-0.071297	-31.705884
336	0.357918	75000	-0.070864	-31.776748
337	0.356570	75000	-0.071229	-31.847977
338	0.355225	75000	-0.071189	-31.919166
339	0.353883	75000	-0.071029	-31.990195
340	0.352544	75000	-0.070826	-32.061021
341	0.351208	75000	-0.070994	-32.132015
342	0.349875	75000	-0.070296	-32.202311
343	0.348546	75000	-0.070394	-32.272705
344	0.347219	75000	-0.069855	-32.342560
345	0.345895	75000	-0.070223	-32.412784
346	0.344574	75000	-0.070128	-32.482911
347	0.343257	75000	-0.070123	-32.553035
