Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_Semantic_classes_Agreement_patterns.txt
Log File Name:                   features_Semantic_classes_Agreement_patterns.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            715120820
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_Semantic_classes_Agreement_patterns.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Scale Tree:                      2.610086
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       482
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-2134.929792	1	3.376586007028	2.827381061396	20.157439610671	26.901545191392	0.227951898138	
3000	-2135.915020	1	4.160466653430	3.394748420952	20.305703699185	26.800349650824	0.226849959717	
4000	-2134.372024	1	3.137233950221	2.977013650168	20.153422714373	26.864327781717	0.229465715049	
5000	-2135.504880	1	4.135402845707	4.106984499981	20.297759466950	26.826833016509	0.231599512854	
6000	-2133.914445	1	3.296096337836	4.018427944640	20.153934929134	26.814236792669	0.229584898568	
7000	-2134.823531	1	3.431575987055	4.501155473480	20.161088906283	26.914950929442	0.230268127188	
8000	-2134.427169	1	3.024671809338	4.236311486852	20.158206147080	26.849974888684	0.228377243835	
9000	-2134.187204	1	2.739025686792	3.342229583174	20.189505036304	26.805162266463	0.230188709837	
10000	-2134.941428	1	2.470546334405	3.135222569826	20.243982746692	26.833181060676	0.231439419772	
11000	-2134.118069	1	3.660556974794	3.824294990135	20.187237734625	26.795867624515	0.229834085167	
12000	-2135.239361	1	4.018551358170	3.484135649926	20.263515514622	26.794295223726	0.227888103142	
13000	-2133.855759	1	3.352191353638	3.947831601477	20.156146914856	26.806087803658	0.229686593693	
14000	-2134.818644	1	3.378588427122	4.501580700574	20.157554624499	26.915074253976	0.229958514503	
15000	-2134.415053	1	3.079459853132	2.952027608018	20.155344693248	26.870017832231	0.229731015200	
16000	-2134.550768	1	3.813080454867	4.068775068774	20.214456945573	26.821074088975	0.230845901824	
17000	-2136.107979	1	2.111084794708	3.390886983681	20.354943426284	26.800671848675	0.230236691103	
18000	-2133.906698	1	3.040476092143	3.905861139403	20.157276944728	26.802038938397	0.229053904969	
19000	-2134.194970	1	3.497512412872	3.264568114199	20.166807731294	26.813981833279	0.228478215132	
20000	-2134.401900	1	3.447497894645	3.097367193975	20.162335714184	26.839866238101	0.228238427599	
21000	-2135.722185	1	3.038076767534	4.707102689069	20.157412593749	26.981809556427	0.227306067059	
22000	-2133.885217	1	3.211516595800	3.299239775916	20.152603911928	26.809793299371	0.229356810457	
23000	-2134.987442	1	3.909572503340	4.258796407262	20.235724242362	26.854573342483	0.231843777773	
24000	-2136.766659	1	2.574105755448	2.278737732945	20.220092406631	27.102538817727	0.233946983309	
25000	-2133.932275	1	3.195834114211	3.254677204099	20.152621976135	26.815250956173	0.229375781099	
26000	-2134.315141	1	3.045784980630	3.003057494166	20.156983692753	26.858620705146	0.229878656690	
27000	-2133.911251	1	3.316339848919	4.013689077146	20.154610937303	26.813637211549	0.229635300342	
28000	-2135.295094	1	3.860533978047	3.132000585228	20.224523942193	26.833731259660	0.226454872433	
29000	-2134.302598	1	2.791756460236	3.128868720125	20.181658393639	26.834269421440	0.230636145659	
30000	-2135.488271	1	2.276573871176	3.212229605959	20.298452145463	26.821071719824	0.231371097175	
31000	-2134.060658	1	3.576086027551	3.973945674735	20.175535252375	26.808906502449	0.230132312745	
32000	-2134.546768	1	3.359080078434	4.389696348718	20.156491641498	26.884726111818	0.229849736317	
33000	-2134.074843	1	2.936841703953	3.189539235599	20.164903286395	26.824432172948	0.230117880792	
34000	-2134.698512	1	2.890777574299	4.264616165396	20.169454649365	26.855791304845	0.227646638542	
35000	-2133.787143	1	3.409351175567	3.760411518210	20.159491341068	26.792599351004	0.229577925844	
36000	-2134.747114	1	3.652732742836	4.396674321480	20.186052759952	26.886495548788	0.231287041138	
37000	-2135.739755	1	2.230155507037	3.665115809382	20.313366489752	26.790279192800	0.228367824395	
38000	-2134.423744	1	2.960702213068	2.960377212421	20.162826791044	26.868092985443	0.230273435598	
39000	-2135.581838	1	2.350441221071	3.922152270640	20.276215037079	26.803540065718	0.226950796390	
40000	-2135.148369	1	2.594473834477	4.139503389433	20.215818835596	26.832121690638	0.226702557627	
41000	-2134.197858	1	2.772382953269	3.251577791350	20.184432425679	26.815655430168	0.230385870771	
42000	-2134.180590	1	3.007682388789	4.089854419416	20.159298877470	26.824190345751	0.228619016458	
43000	-2133.940586	1	3.202879338476	4.029126607926	20.152603610803	26.815618252399	0.229330964815	
44000	-2134.160949	1	3.179519021028	4.170729084606	20.152728704807	26.837535332739	0.229142553005	
45000	-2134.799320	1	3.821067973511	3.338642137836	20.216098352548	26.805524909942	0.227684457609	
46000	-2133.786864	1	3.099346640809	3.409175012327	20.154556200437	26.799190339410	0.229582651900	
47000	-2134.155609	1	3.683937088980	3.780619450591	20.190901528387	26.793484518706	0.229703745855	
48000	-2136.553946	1	4.391954927145	3.785777862255	20.389080059961	26.793732513600	0.229342665943	
49000	-2134.742129	1	3.364698565022	2.892822297306	20.156784639605	26.884340236641	0.228173104127	
50000	-2134.721901	1	2.953424653645	2.824624850842	20.163439802633	26.902301480344	0.230408339041	
51000	-2134.698588	1	3.820987636078	4.193323791560	20.216081736484	26.841657447432	0.231325477269	
52000	-2135.233775	1	3.632350733074	4.610699623703	20.183062757473	26.948734452620	0.231582970615	
53000	-2134.946155	1	2.603751285827	2.911578067849	20.213918596124	26.879675219955	0.231899787225	
54000	-2134.842764	1	2.558757627952	3.035135143330	20.223405043893	26.851905469851	0.231623267608	
55000	-2134.564576	1	3.854903467179	3.691747431745	20.223289794812	26.790619565908	0.229288740010	
56000	-2134.424718	1	3.296872612879	2.997118282395	20.153958306389	26.859902071598	0.228727818111	
57000	-2134.102182	1	3.221663234361	3.141533823102	20.152636370245	26.832113460606	0.229219485925	
58000	-2134.012778	1	2.976645295082	3.940401596481	20.161546215297	26.805327806442	0.228835192512	
59000	-2134.029965	1	3.124925495239	3.172249121289	20.153737917448	26.827109286671	0.229565983479	
60000	-2133.946647	1	3.026459456147	3.931272431603	20.158096822869	26.804419470392	0.228978858764	
61000	-2134.962115	1	3.368531439312	4.554840917637	20.156990622007	26.931002439203	0.229893270256	
62000	-2133.918142	1	3.521655262780	3.838896068707	20.169268028746	26.796807646034	0.229780711230	
63000	-2134.343406	1	3.006420964048	2.992834967078	20.159383888106	26.860833559144	0.230051986271	
64000	-2134.635828	1	3.711028044905	4.291336264613	20.195377148575	26.861529760592	0.231275972400	
65000	-2133.831629	1	3.017322959350	3.786247784987	20.158666878642	26.793755551041	0.229201400385	
66000	-2136.066001	1	4.066999088852	3.121858658482	20.277155151791	26.835485966034	0.225332308562	
67000	-2134.983766	1	3.983636025702	4.062163839746	20.254175979994	26.820127557841	0.231114325972	
68000	-2137.515733	1	3.625515802034	5.229536177553	20.182091421149	27.215510751525	0.232264076838	
69000	-2135.223164	1	3.125176113126	4.592616828200	20.153730990433	26.942879112922	0.228230349148	
70000	-2133.949181	1	3.543962421429	3.849574232145	20.171715796152	26.797540578621	0.229821753340	
71000	-2134.298956	1	2.712244562369	3.248858742988	20.193848912334	26.816012931452	0.230509655092	
72000	-2134.771942	1	3.900969418601	4.082440006752	20.233700718178	26.823077172771	0.231068205517	
73000	-2134.507734	1	3.644723691404	3.240440668021	20.184861154976	26.817135534720	0.227885474102	
74000	-2136.209776	1	3.960682138834	2.910589462234	20.248259773430	26.879918151541	0.224555175883	
75000	-2135.653340	1	4.194260179334	3.920593795014	20.316749942827	26.803392594209	0.230462474880	
76000	-2134.057849	1	3.629764964479	3.770779147339	20.182693433947	26.793036299181	0.229667258168	
77000	-2134.283191	1	2.767757069294	3.875557007664	20.185113492109	26.799484449157	0.228479107987	
78000	-2134.961687	1	3.798813074988	3.204280086557	20.211578533822	26.822229308021	0.227112416414	
79000	-2134.073704	1	3.577793589950	3.987954905326	20.175748010279	26.810513312235	0.230165939040	
80000	-2134.258790	1	2.822371548498	3.132767808044	20.177532504260	26.833599928380	0.230538353323	
81000	-2135.493763	1	2.494088615779	4.149600334866	20.238234413453	26.833836276652	0.226155616213	
82000	-2135.950181	1	4.266968685240	3.909672884247	20.341820877032	26.802382154540	0.230388169366	
83000	-2137.374421	1	4.562835400368	3.960567187507	20.462208776892	26.807433756144	0.230756825392	
84000	-2133.981704	1	3.467876062586	3.406147426842	20.164056085471	26.799427820897	0.228904106826	
85000	-2133.764650	1	3.348620613403	3.548952144233	20.155974518417	26.791588637550	0.229332563767	
86000	-2134.610796	1	3.819205879027	4.118777999772	20.215713777376	26.828709867258	0.231046229620	
87000	-2133.921224	1	2.972894298052	3.312579154780	20.161839798403	26.808289705248	0.229878062335	
88000	-2134.391539	1	2.972623313350	4.182755465680	20.161861191426	26.839707982641	0.228266586542	
89000	-2135.283116	1	3.477633157023	2.762184235860	20.164929329996	26.920120569362	0.227109381922	
90000	-2134.755224	1	2.548916481287	3.124253736806	20.225570847357	26.835068455954	0.231302487240	
91000	-2137.157670	1	4.431738853726	3.425980684137	20.405227156150	26.797928260099	0.226101604864	
92000	-2134.844787	1	2.900731354479	2.784427646023	20.168410621779	26.913622210258	0.230731345449	
93000	-2134.894990	1	3.709191532611	3.115372012516	20.195065931063	26.836626422804	0.227104163750	
94000	-2134.436659	1	3.261599192746	4.332376499854	20.153101029232	26.870812063713	0.229377315659	
95000	-2134.973475	1	3.948153492774	3.507752667234	20.245105483078	26.793145133179	0.228202778671	
96000	-2134.044751	1	2.997846736342	3.987612760389	20.159975932736	26.810473281735	0.228796637104	
97000	-2135.269774	1	3.409519078635	4.660716267179	20.159502786462	26.965503945337	0.230157430042	
98000	-2134.975700	1	2.798264337676	2.763820150256	20.180754922698	26.919636962237	0.231329822474	
99000	-2134.171498	1	3.127372023642	3.082281408907	20.153671200965	26.842664885464	0.229543483460	
100000	-2134.399165	1	3.419575335259	3.078380238355	20.160205607054	26.843401090148	0.228316055446	
101000	-2134.458034	1	3.034862777556	2.932551864807	20.157597339911	26.874598888217	0.229945081619	
102000	-2135.571011	1	3.902308380997	3.071387933298	20.234014016011	26.844733465108	0.225897276196	
103000	-2134.447015	1	2.613540011257	3.323766706409	20.211945073292	26.807074882535	0.230402836467	
104000	-2134.394569	1	3.675815085946	4.164021560877	20.189607890568	26.836344738160	0.230819834927	
105000	-2135.689108	1	3.564968298509	4.778660146574	20.174174030097	27.008384850752	0.231340047458	
106000	-2135.372289	1	3.575685519779	2.800199827830	20.175485492350	26.909115402989	0.226575091838	
107000	-2133.753024	1	3.070238379800	3.499388240805	20.155755530445	26.793530970018	0.229559380746	
108000	-2134.321663	1	2.843304649923	4.017464356135	20.174893185914	26.814114262692	0.228229354103	
109000	-2140.053664	1	4.234176021862	5.554778716790	20.330293011046	27.407442563356	0.239889833605	
110000	-2137.807241	1	2.586104837467	4.927283272788	20.217557878852	27.069093293674	0.222145816785	
111000	-2133.905734	1	3.528113618940	3.743676184065	20.169959463409	26.791970436121	0.229585304927	
112000	-2134.118856	1	3.449802829225	4.139841597389	20.162523284972	26.832178566575	0.230093344733	
113000	-2134.743134	1	3.585501539695	4.429573398047	20.176720625889	26.895058906954	0.231026095102	
114000	-2133.814604	1	3.248620387510	3.385147436909	20.152891085251	26.801160037980	0.229326197822	
115000	-2135.584079	1	2.243814448845	3.509683022397	20.308902462905	26.793059436606	0.229464684183	
116000	-2133.810418	1	3.443637788867	3.698519659953	20.162025595408	26.790744225769	0.229495137378	
117000	-2134.195659	1	3.703985054472	3.745504325665	20.194189811968	26.792034547245	0.229585245642	
118000	-2134.248308	1	3.434889644403	3.172291641192	20.161341353607	26.827102579572	0.228471561970	
119000	-2136.024033	1	3.674534429380	2.674999550650	20.189405941429	26.947198411705	0.225314370577	
120000	-2134.076967	1	3.140242783860	4.104130579096	20.153353425336	26.826385876956	0.229067997311	
121000	-2133.701143	1	3.233150859504	3.683407078673	20.152714981372	26.790487272341	0.229457849776	
122000	-2134.640733	1	3.865930818415	4.024734931897	20.225716896177	26.815046513713	0.230761422078	
123000	-2134.073400	1	3.511231006179	4.065301448989	20.168181647382	26.820574934194	0.230168793090	
124000	-2133.987714	1	3.503071710630	3.452154996901	20.167356853874	26.796152106917	0.228938268804	
125000	-2136.606144	1	4.383016636295	4.248040104892	20.385525634047	26.852352290594	0.233016395900	
126000	-2134.816759	1	2.777102135660	2.842341458661	20.183745051593	26.897484787027	0.231297951099	
127000	-2134.602146	1	2.956785127507	2.875986499367	20.163154522120	26.888628643947	0.230355702780	
128000	-2134.488773	1	3.084276254250	4.298208785718	20.155141500772	26.863044603675	0.228541092649	
129000	-2134.098018	1	3.608328342843	3.965128790109	20.179718398639	26.807929137102	0.230164895908	
130000	-2138.642382	1	1.651874960661	2.951165114601	20.560020656815	26.870218002489	0.234511313713	
131000	-2134.519165	1	3.841640569609	3.894152954893	20.220424919673	26.801015321312	0.230184925476	
132000	-2137.886758	1	3.682172912392	2.230729033892	20.190618648566	27.124951672446	0.222995881287	
133000	-2133.738735	1	3.328623795767	3.756646286366	20.155088450171	26.792449627258	0.229530152892	
134000	-2133.915925	1	3.391420059632	3.383145376915	20.158323703010	26.801332938195	0.229027632785	
135000	-2136.628960	1	4.247319485274	3.222113144582	20.334869934914	26.819662193930	0.225156339082	
136000	-2134.006038	1	2.987138765392	3.945570872784	20.160750090347	26.805854590687	0.228852026746	
137000	-2135.381504	1	2.804392996402	4.457077319932	20.179917142912	26.902497792370	0.226439888730	
138000	-2133.762209	1	3.139261991749	3.808400738964	20.153375676491	26.794925993708	0.229344418476	
139000	-2134.133117	1	3.004659284644	3.116988268789	20.159503509278	26.836340932968	0.229982509996	
140000	-2134.293066	1	3.121325944445	3.014967680102	20.153839742593	26.856086929339	0.229551393968	
141000	-2134.496103	1	3.836989933772	3.824420002988	20.219434384098	26.795875368043	0.229886234970	
142000	-2134.427464	1	2.610779830186	3.578171649855	20.212498290596	26.790831333691	0.229377709790	
143000	-2133.739145	1	3.085458673801	3.693638290840	20.155092812114	26.790652817169	0.229388640807	
144000	-2134.858174	1	3.741285454469	4.388354186405	20.200668178143	26.884387654509	0.231664303261	
145000	-2134.458745	1	2.821336054846	4.076158757173	20.177666894759	26.822148619437	0.227955579688	
146000	-2134.916618	1	3.300125190438	4.532909604077	20.154058463974	26.924327848414	0.229471450339	
147000	-2134.097934	1	3.382378729492	4.147013461677	20.157776028072	26.833393721152	0.229880484251	
148000	-2135.366304	1	4.085591461699	3.599265462875	20.282599475237	26.790463400496	0.228452271684	
149000	-2135.917212	1	2.674241580065	2.481466928976	20.200427674953	27.016457114797	0.232671283237	
150000	-2135.547445	1	2.585398443289	2.654967277505	20.217705744535	26.953781827129	0.232806776768	
151000	-2133.975819	1	3.472917272195	3.419293530171	20.164503261181	26.798419057061	0.228922638381	
152000	-2133.755393	1	3.212051581765	3.831652613093	20.152604757144	26.796332333108	0.229432213771	
153000	-2134.004441	1	3.396347363380	3.307434973383	20.158633766158	26.808862448159	0.228880697682	
154000	-2136.122880	1	3.265430589175	4.888632505642	20.153173854536	27.052589543012	0.228858183666	
155000	-2133.884991	1	3.179489102331	3.292342612651	20.152728982899	26.810594247644	0.229433255248	
156000	-2134.254574	1	2.860023379070	3.104996577018	20.172891265087	26.838480061121	0.230475293300	
157000	-2134.225537	1	3.525711509011	3.274772931888	20.169700651129	26.812706975891	0.228414026778	
158000	-2135.229682	1	4.037982117565	3.558007033190	20.268890942342	26.791323199038	0.228292234760	
159000	-2133.723851	1	3.115426823162	3.692187325273	20.154016057295	26.790627194039	0.229407387524	
160000	-2134.417929	1	2.719518440046	3.900810770891	20.192645194177	26.801591733520	0.228256253522	
161000	-2133.810999	1	3.424890176502	3.592704570322	20.160590816530	26.790561779138	0.229329163110	
162000	-2134.008284	1	2.825574259840	3.644375902503	20.177119130035	26.790179614815	0.229301529487	
163000	-2134.182202	1	3.592020157709	4.083809669265	20.177558788740	26.823281414321	0.230403770117	
164000	-2133.851918	1	3.402104238143	3.471736335882	20.159006392825	26.794974263713	0.229156211159	
165000	-2133.884985	1	2.986995318820	3.819173091513	20.160760723351	26.795554891444	0.229097247425	
166000	-2133.963798	1	3.570143256159	3.758028508447	20.174802456501	26.792504036229	0.229624632823	
167000	-2134.847195	1	2.693445889932	4.127582842618	20.197042371960	26.830141644846	0.227217962605	
168000	-2135.905801	1	4.034819707132	4.583340973480	20.268007410407	26.939918271406	0.233786563145	
169000	-2133.719233	1	3.285834574772	3.736521633820	20.153644979437	26.791730358593	0.229493938487	
170000	-2135.089699	1	2.413319861013	3.712053204542	20.258734342727	26.791039634940	0.228435515708	
171000	-2134.189750	1	3.506349081359	4.161427990868	20.167685456255	26.835888439371	0.230299211649	
172000	-2134.301968	1	2.662941890196	3.423386676685	20.202477625718	26.798116856182	0.229989618460	
173000	-2134.856271	1	2.836675763384	2.798677619105	20.175713006862	26.909546711269	0.231065315988	
174000	-2133.985468	1	3.121654435630	3.204583746772	20.153830269141	26.822184698729	0.229577612203	
175000	-2133.826145	1	3.160234904560	3.906589133973	20.152970493585	26.802104110144	0.229308185685	
176000	-2135.340346	1	2.454565368111	2.878129265298	20.247991222393	26.888077536231	0.232635141387	
177000	-2134.285685	1	3.460279316001	4.243498073689	20.163398395272	26.851426118254	0.230233731238	
178000	-2137.227674	1	4.377138332105	3.243599217105	20.383202722037	26.816711524031	0.224691414036	
179000	-2134.038339	1	3.342231534983	3.240223231130	20.155676770604	26.817164847584	0.228926830792	
180000	-2135.623651	1	3.869645629002	3.005791648955	20.226543744505	26.858034814329	0.225703279514	
181000	-2135.801096	1	3.623984771309	4.800496692018	20.181875998474	27.016838122019	0.231809933847	
182000	-2134.342572	1	2.649955043986	3.606192919340	20.204886783153	26.790375264860	0.229292157263	
183000	-2134.069524	1	3.483294754625	4.083111221819	20.165450738369	26.823177184156	0.230122886402	
184000	-2133.791399	1	3.068068776463	3.418648454514	20.155856354089	26.798467198462	0.229621237663	
185000	-2133.984667	1	2.984567481082	3.923900007025	20.160941738835	26.803706419459	0.228889368663	
186000	-2135.286645	1	2.740223870202	2.667177324412	20.189316338974	26.949753023548	0.231844775525	
187000	-2134.666303	1	3.783881199501	3.359720933704	20.208639503684	26.803456226498	0.227904495815	
188000	-2134.447853	1	2.660012781571	3.800372099893	20.203016034916	26.794482702163	0.228513598791	
189000	-2134.111363	1	3.584869859640	3.459174483322	20.176640165387	26.795715022478	0.228795067038	
190000	-2134.642382	1	3.891157585443	3.870933431091	20.231423320711	26.799121906790	0.230106438117	
191000	-2135.142737	1	3.802263902903	3.119694160723	20.212268443179	26.835864943727	0.226675837662	
192000	-2135.471106	1	3.529373384056	2.734795988774	20.170095972255	26.928350952077	0.226653335873	
193000	-2134.167956	1	3.648162036498	3.979182958652	20.185370072587	26.809499462033	0.230264453256	
194000	-2133.897245	1	2.904028589076	3.464753830554	20.168072142594	26.795379452185	0.229727357041	
195000	-2134.416077	1	2.685939872287	3.174381577354	20.198350729171	26.826773663310	0.230793153281	
196000	-2135.189424	1	2.626578648724	4.201823402970	20.209366465436	26.843252610951	0.226545951301	
197000	-2134.277873	1	2.722474212148	3.771864486372	20.192161151223	26.793084135095	0.228753348291	
198000	-2134.311371	1	3.505346871096	4.241049993424	20.167584586533	26.850929809061	0.230403392099	
199000	-2134.323613	1	2.684019597968	3.719475822756	20.198688496949	26.791227856883	0.228886154486	
200000	-2136.409655	1	2.044040664496	3.294003712501	20.380455642600	26.810399883692	0.230983372001	
201000	-2135.559173	1	3.069970687497	4.674076057893	20.155767884615	26.970125814568	0.227643063019	
202000	-2135.909867	1	3.721320857525	4.804334259987	20.197142410120	27.018340301399	0.232544270639	
203000	-2137.135555	1	1.940672224299	3.686100223563	20.422757513714	26.790527428803	0.227511637982	
204000	-2135.658712	1	4.174717105542	3.668761993148	20.310314897708	26.790311676642	0.228756059965	
205000	-2136.582117	1	2.308398203575	2.509994571743	20.288646335044	27.005455141193	0.235079050159	
206000	-2134.362137	1	2.670886018984	3.266527299744	20.201031939022	26.813734356894	0.230527123071	
207000	-2136.374171	1	2.856449696536	4.783764390636	20.173311269225	27.010346397960	0.225504493165	
208000	-2136.626913	1	2.039764301545	2.976171109477	20.382134296006	26.864516226310	0.233422542050	
209000	-2134.140740	1	3.206046950859	4.166749685849	20.152600802801	26.836827155358	0.229248216166	
210000	-2135.078215	1	3.753568651543	4.484684061167	20.202904125385	26.910220764041	0.231986927772	
211000	-2133.943045	1	3.159180293718	3.239780343099	20.152987329602	26.817224602982	0.229472899762	
212000	-2134.576223	1	3.834563451000	3.573243123695	20.218920461910	26.790938903941	0.228766440528	
213000	-2135.552420	1	2.702466609529	4.425319202615	20.195495102772	26.893931048083	0.225902841784	
214000	-2136.267447	1	3.802307402230	2.716756134037	20.212277165419	26.933910113395	0.224531215751	
215000	-2133.948862	1	3.539049111410	3.863700764871	20.171162262439	26.798569225908	0.229847027615	
216000	-2133.959236	1	3.162335201240	3.227312170789	20.152938080191	26.818933951263	0.229460750706	
217000	-2134.057565	1	2.802850569308	3.672663143295	20.180126799147	26.790351391564	0.229200226724	
218000	-2134.499020	1	2.966566399598	4.231804305645	20.162345813622	26.849073605254	0.228114837344	
219000	-2133.880915	1	3.197067612424	3.299521602275	20.152617553136	26.809760912468	0.229392583295	
220000	-2133.738342	1	3.082609157999	3.684338778526	20.155210947216	26.790500888122	0.229395912999	
221000	-2134.843925	1	2.720987520375	2.863261749919	20.192404246846	26.891933247534	0.231522463001	
222000	-2135.727931	1	2.788418801834	4.556319641024	20.182127286974	26.931458305945	0.225911260455	
223000	-2136.648415	1	2.181999978856	4.099174754240	20.329606132618	26.825615939960	0.224908178317	
224000	-2133.909913	1	3.150127484588	3.984093332869	20.153147263283	26.810063802686	0.229221652213	
225000	-2134.183997	1	3.678219960541	3.922622656320	20.189988612731	26.803584736945	0.230144282237	
226000	-2134.585524	1	2.619183235247	3.832508093404	20.210822001807	26.796387548897	0.228277344303	
227000	-2133.823069	1	2.959065863778	3.605288854873	20.162963070945	26.790385849685	0.229455145356	
228000	-2133.867153	1	3.479584765936	3.824237078128	20.165107845020	26.795864039122	0.229719028265	
229000	-2134.270390	1	2.673799766521	3.482280582029	20.200507019183	26.794393520416	0.229772346723	
230000	-2135.741533	1	2.259709320137	2.998869191831	20.303786815582	26.859523083071	0.232685160436	
231000	-2134.567165	1	3.862754529920	3.757674601031	20.225013599887	26.792490043925	0.229586665558	
232000	-2135.159121	1	3.456324137546	2.790889528673	20.163063670982	26.911765631654	0.227342213224	
233000	-2135.751867	1	3.780626815667	4.727890172584	20.208008915142	26.989351921230	0.232788169401	
234000	-2134.046006	1	3.550247056021	3.995127673832	20.172435677689	26.811361596216	0.230129695704	
235000	-2137.214714	1	4.525673726254	3.830267879863	20.445468306471	26.796243479957	0.229577438340	
236000	-2136.868267	1	2.706419381682	4.804033496073	20.194825745886	27.018222391051	0.224041395547	
237000	-2133.848686	1	3.236521054618	3.953783766897	20.152746478691	26.806710053401	0.229446937514	
238000	-2135.105995	1	2.948305918774	4.465722107352	20.163881658099	26.904888555301	0.227353543733	
239000	-2133.716184	1	3.135937193120	3.549701679330	20.153453517274	26.791565616790	0.229487755297	
240000	-2134.730494	1	3.505881076304	2.988343639648	20.167638310713	26.861816921234	0.227649928346	
241000	-2134.056943	1	3.384509862981	3.257172725812	20.157902640008	26.814927641963	0.228822918956	
242000	-2134.343512	1	3.526052960145	3.199353992475	20.169737321827	26.822957316836	0.228195057865	
243000	-2137.710326	1	4.437325350958	4.755652431578	20.407537241374	26.999651997099	0.236972613297	
244000	-2134.219724	1	3.428425267324	4.213851773578	20.160852302982	26.845551626130	0.230086873645	
245000	-2133.698458	1	3.196294960260	3.655702870697	20.152620263684	26.790216039046	0.229450253838	
246000	-2133.793003	1	2.990017193995	3.598836139383	20.160538191455	26.790469394654	0.229470841171	
