Default schedule
Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.462000	2.047722	476	0.602941	4.704210	524	0.333969	0.462000	0.564218	
1000	0.392000	3.499290	485	0.422680	4.704210	515	0.363107	0.392000	0.506831	
1000	0.355000	4.578148	478	0.328452	4.704210	522	0.379310	0.355000	0.468883	
1000	0.362000	4.578148	494	0.354251	4.704210	506	0.369565	0.362000	0.447510	
1000	0.391000	4.578148	491	0.362525	4.704210	509	0.418468	0.391000	0.438094	
1000	0.281000	4.578148	513	0.302144	6.936277	487	0.258727	0.281000	0.415655	
1000	0.296000	4.578148	493	0.336714	6.936277	507	0.256410	0.296000	0.400700	
1000	0.304000	4.578148	509	0.339882	6.936277	491	0.266802	0.304000	0.389957	
1000	0.309000	4.578148	508	0.316929	6.936277	492	0.300813	0.309000	0.381862	
1000	0.304000	4.578148	488	0.317623	6.936277	512	0.291016	0.304000	0.374784	
1000	0.295000	4.578148	503	0.314115	6.936277	497	0.275654	0.295000	0.368136	
1000	0.319000	4.578148	491	0.372709	6.936277	509	0.267191	0.319000	0.364357	
1000	0.307000	4.578148	492	0.345528	6.936277	508	0.269685	0.307000	0.360260	
1000	0.307000	4.578148	504	0.361111	6.936277	496	0.252016	0.307000	0.356710	
1000	0.318000	4.578148	501	0.373253	6.936277	499	0.262525	0.318000	0.354290	
1000	0.310000	4.578148	499	0.336673	6.936277	501	0.283433	0.310000	0.351685	
1000	0.321000	4.578148	538	0.358736	6.936277	462	0.277056	0.321000	0.349981	
1000	0.294000	4.578148	476	0.369748	6.936277	524	0.225191	0.294000	0.347034	
1000	0.304000	4.578148	498	0.351406	6.936277	502	0.256972	0.304000	0.344883	
1000	0.293000	4.578148	495	0.337374	6.936277	505	0.249505	0.293000	0.342412	
1000	0.331000	4.578148	523	0.359465	6.936277	477	0.299790	0.331000	0.341894	
1000	0.328000	4.578148	520	0.357692	6.936277	480	0.295833	0.328000	0.341290	
1000	0.293000	4.578148	474	0.324895	6.936277	526	0.264259	0.293000	0.339278	
1000	0.295000	4.578148	507	0.341223	6.936277	493	0.247465	0.295000	0.337506	
1000	0.288000	4.578148	491	0.307536	6.936277	509	0.269155	0.288000	0.335602	
1000	0.328000	4.578148	542	0.354244	6.936277	458	0.296943	0.328000	0.335321	
1000	0.296000	4.578148	483	0.337474	6.936277	517	0.257253	0.296000	0.333917	
1000	0.292000	4.578148	492	0.313008	6.936277	508	0.271654	0.292000	0.332471	
1000	0.282000	4.578148	484	0.314050	6.936277	516	0.251938	0.282000	0.330789	
1000	0.292000	4.578148	500	0.364000	6.936277	500	0.220000	0.292000	0.329538	
1000	0.252000	4.578148	476	0.296218	6.936277	524	0.211832	0.252000	0.327115	
1000	0.289000	4.578148	490	0.359184	6.936277	510	0.221569	0.289000	0.325960	
1000	0.347000	4.578148	516	0.393411	6.936277	484	0.297521	0.347000	0.326579	
