Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_Semantic_classes_Agreement_patterns.txt
Log File Name:                   features_Semantic_classes_Agreement_patterns.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3672257579
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_Semantic_classes_Agreement_patterns.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Scale Tree:                      0.000082
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       40
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-165.184143	266	4.466264859245	8.194137191070	12.290654883923	33.895154616239	0.394325439574	
3000	-163.406506	897	3.511626839706	6.420972375289	11.393884800360	29.109245158410	0.331427885943	
4000	-165.088142	772	2.161253196045	6.493133472480	11.187593862544	33.293498142604	0.327744269190	
5000	-168.601964	180	1.449907960608	1.585039906250	11.813568349316	33.691820116005	0.369637546004	
6000	-164.758949	271	3.283898760554	3.296526355254	11.186986560644	32.484395107665	0.312912695525	
7000	-165.071921	365	1.478445242175	7.236624967683	11.380813994679	29.745318982782	0.255086738821	
8000	-163.771306	37	3.930178180244	4.211271345271	10.090670274000	27.625545335703	0.321340885017	
9000	-163.032445	699	1.513338156197	2.894482943196	9.994092379626	30.882319907413	0.391282153958	
10000	-165.342905	326	0.059823817021	4.249872422725	12.748006591067	27.723838093866	0.319497342287	
11000	-161.561505	282	3.123586751916	6.007589823744	10.572079979726	27.271477464399	0.322278659664	
12000	-164.887093	719	3.424412209723	4.770659635902	11.427246448470	31.171738048809	0.339778500326	
13000	-161.936706	15	3.249041528511	6.053112419030	10.204123402465	28.811570530011	0.348521673522	
14000	-164.139567	804	1.760693031723	4.722629727227	10.732524541879	29.862142903939	0.388328156964	
15000	-162.435886	522	1.886948263261	5.667099071443	10.068800133102	27.831735516569	0.317177575970	
16000	-165.482811	465	1.841991801523	4.259153853517	12.347567634687	34.007493629059	0.364989725103	
17000	-164.267789	282	0.350772910279	2.414661569326	11.832055585810	29.164272685462	0.377847222389	
18000	-162.683778	596	1.958577483354	7.274470474795	9.537789674539	27.202378193685	0.332018764855	
19000	-164.038467	79	1.697414927629	4.724474067352	11.464940654882	30.974052864197	0.369208102450	
20000	-168.960197	901	3.560299241324	1.561094477035	11.833886498020	32.551067738626	0.284821715588	
21000	-161.729502	282	2.428116102731	3.836427474170	10.505649551009	27.598098918117	0.318359655280	
22000	-165.132885	935	0.907455698120	6.041591442896	12.288958200663	28.445335877168	0.280468669839	
23000	-163.805066	51	1.743107860017	4.533397642147	11.723400456813	28.314162718138	0.335516284217	
24000	-163.272910	451	2.786698285402	4.217178594795	12.811609559223	32.727851253481	0.369807936191	
25000	-165.063509	374	2.970799894898	6.146855729745	10.867948333528	28.508323823942	0.320060036708	
26000	-167.957724	817	3.724875129464	9.280995068946	11.897484700357	32.616258963266	0.306297608497	
27000	-163.947526	266	1.955235385247	6.593721353171	11.599998710496	31.849697555511	0.323791961526	
28000	-164.972334	377	2.908378393477	6.972985451423	10.612134953914	31.665813203667	0.361905658124	
29000	-165.062121	998	1.987162890451	8.701833465127	10.656900340992	29.897307573091	0.298898190275	
30000	-167.724322	992	2.915257420109	7.220651307497	12.059487182717	33.206984614071	0.337825359705	
31000	-161.493106	282	2.491429885239	4.386458811076	10.501101834791	27.279307373600	0.318032601867	
32000	-163.638514	266	2.860708058896	3.775471406214	11.368689206309	32.362427092098	0.338940768644	
33000	-164.778694	726	3.146697408156	5.012664995363	11.747368518762	32.770794217419	0.353047051045	
34000	-165.523656	814	2.577451297407	6.741621636825	11.574404330564	31.882909636709	0.336535978402	
35000	-163.592061	445	2.786018362718	4.229365424567	10.906154990563	31.530935862117	0.347890305759	
36000	-163.697409	385	3.281754683920	4.173997045067	11.829516532201	30.009707946274	0.284974132845	
37000	-168.441440	295	4.634911747851	5.877324636498	13.235553427156	32.631528589754	0.366530930838	
38000	-165.753495	203	4.145177863097	6.760677900279	12.130907889160	30.604939338309	0.331830271297	
39000	-164.187886	385	2.276091617828	3.239592020660	11.871166194670	31.244601625937	0.314305159519	
40000	-163.767776	922	2.315757442966	4.552258367851	11.754615598621	29.679527771989	0.331518527345	
41000	-162.563724	873	4.012625698836	7.497831793876	10.808313578921	30.475529577816	0.392669825371	
42000	-163.106573	418	2.383181946629	5.515444482497	10.423436875670	26.377583235853	0.283368868232	
43000	-164.992425	282	3.036623028897	1.203361626471	10.549764666461	31.342921871016	0.269065577949	
44000	-162.586737	282	3.820759628560	7.360039138486	10.895696731656	28.329562382098	0.344860562258	
45000	-165.995958	322	4.345175568633	7.814414774168	12.386140560719	30.954817021489	0.397729632123	
46000	-164.728582	496	2.443560598384	5.435627036747	12.155980586069	34.174823855696	0.378688398105	
47000	-162.913175	310	2.824655892720	6.179687603545	11.301119550631	27.077632465242	0.295286686596	
48000	-165.430020	77	3.339066600559	8.993276422099	9.769703353624	33.301579636362	0.398304130962	
49000	-168.681692	630	6.055856208130	8.398672832227	13.362807386900	32.690043974260	0.371443445281	
50000	-164.367299	289	3.905316956617	3.953732280260	12.968471416965	30.693360798127	0.286807374954	
51000	-166.793309	176	3.305922133110	3.479226093332	10.415905468250	33.003535236136	0.352737333474	
52000	-163.166306	362	4.008819981268	5.899702678171	11.141073211777	30.412053441959	0.349957645642	
53000	-161.469265	815	2.786260548591	6.200484755332	11.281172355655	27.959514550816	0.304690056961	
54000	-164.596666	274	3.826742185766	8.358216900350	11.311284854801	33.406300080927	0.400613185311	
55000	-163.472017	821	3.185994371672	4.505541406875	10.651654010750	31.216935778194	0.341210191903	
56000	-162.814330	10	3.539501750239	5.552234004787	11.331410862480	29.166311154647	0.317717129509	
57000	-172.539929	450	2.605052675870	10.648920680520	12.463563560511	42.711955806584	0.322793820643	
58000	-166.449906	453	2.862244549878	4.959742366228	12.086667137121	30.605712661331	0.312319677833	
59000	-166.907947	263	3.667436817446	3.667105115840	11.281947912461	31.326742404015	0.309112083564	
60000	-161.450024	815	3.086873355998	5.850616436508	11.296987977428	27.908294262175	0.305476921291	
61000	-165.036744	571	2.394262922991	3.921706128966	10.917028787417	32.732748279703	0.384072611786	
62000	-161.365907	282	2.670582180956	5.133752471981	10.499732805081	27.102829989007	0.317663891744	
63000	-168.264543	56	2.005357383890	1.959695820202	12.339358378635	33.051217854451	0.324959883130	
