Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
823	0.532199	177	0.305085	2.745430	438	0.671233	11.490215	385	0.374026	0.492000	0.583708	
794	0.588161	206	0.441748	3.320522	405	0.708642	11.490215	389	0.462725	0.558000	0.575142	
846	0.508274	154	0.324675	4.126290	403	0.665012	14.626704	443	0.365688	0.480000	0.551362	
851	0.452409	149	0.208054	5.679578	443	0.525959	14.626704	408	0.372549	0.416000	0.524295	
825	0.421818	175	0.354286	6.658350	437	0.487414	14.626704	388	0.347938	0.410000	0.505249	
850	0.371765	150	0.313333	8.909018	381	0.375328	14.626704	469	0.368870	0.363000	0.484931	
837	0.382318	163	0.294479	8.909018	408	0.394608	14.626704	429	0.370629	0.368000	0.470316	
829	0.316043	171	0.245614	8.909018	429	0.324009	14.626704	400	0.307500	0.304000	0.451839	
828	0.371981	172	0.203488	8.909018	442	0.386878	14.626704	386	0.354922	0.343000	0.440956	
829	0.347407	171	0.292398	8.909018	388	0.350515	14.626704	441	0.344671	0.338000	0.431597	
837	0.362007	163	0.239264	8.909018	416	0.331731	14.626704	421	0.391924	0.342000	0.424131	
857	0.395566	143	0.244755	8.909018	458	0.382096	14.626704	399	0.411028	0.374000	0.420275	
808	0.269802	192	0.244792	8.909018	419	0.367542	23.132788	389	0.164524	0.265000	0.409185	
852	0.392019	148	0.216216	8.909018	418	0.416268	15.341137	434	0.368664	0.366000	0.406306	
812	0.310345	188	0.191489	15.873402	430	0.253488	15.341137	382	0.374346	0.288000	0.398913	
852	0.306338	148	0.317568	15.873402	424	0.226415	15.341137	428	0.385514	0.308000	0.393565	
832	0.295673	168	0.166667	15.873402	400	0.230000	15.341137	432	0.356481	0.274000	0.386923	
836	0.296651	164	0.176829	15.873402	431	0.220418	15.341137	405	0.377778	0.277000	0.381138	
817	0.233782	183	0.191257	15.873402	439	0.152620	15.341137	378	0.328042	0.226000	0.373381	
826	0.351090	174	0.258621	10.562995	457	0.328228	15.341137	369	0.379404	0.335000	0.371554	
833	0.326531	167	0.125749	10.562995	405	0.330864	15.341137	428	0.322430	0.293000	0.367983	
839	0.302741	161	0.149068	10.562995	398	0.293970	15.341137	441	0.310658	0.278000	0.364071	
825	0.326061	175	0.245714	10.562995	420	0.300000	15.341137	405	0.353086	0.312000	0.361902	
836	0.392344	164	0.298780	10.562995	395	0.349367	15.341137	441	0.430839	0.377000	0.362505	
840	0.294048	160	0.331250	10.562995	425	0.261176	16.353055	415	0.327711	0.300000	0.360102	
814	0.297297	186	0.268817	10.562995	399	0.278195	16.353055	415	0.315663	0.292000	0.357579	
774	0.341085	226	0.477876	10.562995	390	0.317949	16.353055	384	0.364583	0.372000	0.358094	
851	0.303173	149	0.375839	10.562995	448	0.281250	16.353055	403	0.327543	0.314000	0.356574	
857	0.332555	143	0.237762	10.562995	410	0.341463	16.353055	447	0.324385	0.319000	0.355321	
822	0.318735	178	0.359551	10.562995	412	0.317961	16.353055	410	0.319512	0.326000	0.354376	
840	0.316667	160	0.306250	10.562995	435	0.328736	16.353055	405	0.303704	0.315000	0.353145	
827	0.334946	173	0.254335	10.562995	391	0.329923	16.353055	436	0.339450	0.321000	0.352171	
807	0.319703	193	0.290155	10.562995	414	0.335749	16.353055	393	0.302799	0.314000	0.351048	
822	0.339416	178	0.303371	10.562995	401	0.331671	16.353055	421	0.346793	0.333000	0.350533	
839	0.275328	161	0.242236	10.562995	427	0.278689	16.353055	412	0.271845	0.270000	0.348296	
850	0.323529	150	0.213333	10.562995	424	0.316038	16.353055	426	0.330986	0.307000	0.347180	
801	0.304619	199	0.361809	10.562995	376	0.281915	16.353055	425	0.324706	0.316000	0.346359	
809	0.296663	191	0.256545	10.562995	380	0.276316	16.353055	429	0.314685	0.289000	0.344889	
824	0.367718	176	0.335227	10.562995	407	0.375921	16.353055	417	0.359712	0.362000	0.345316	
837	0.334528	163	0.386503	10.562995	440	0.325000	16.353055	397	0.345088	0.343000	0.345260	
