Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.411162	-0.411162
1	0.995007	75000	-0.410278	-0.821440
2	0.992517	75000	-0.409420	-1.230861
3	0.990030	75000	-0.409133	-1.639994
4	0.987547	75000	-0.408418	-2.048412
5	0.985067	75000	-0.408150	-2.456562
6	0.982592	75000	-0.407669	-2.864231
7	0.980120	75000	-0.406883	-3.271114
8	0.977652	75000	-0.406311	-3.677425
9	0.975187	75000	-0.405620	-4.083044
10	0.972726	75000	-0.405460	-4.488504
11	0.970269	75000	-0.404642	-4.893147
12	0.967816	75000	-0.403439	-5.296585
13	0.965367	75000	-0.403113	-5.699699
14	0.962921	75000	-0.402601	-6.102300
15	0.960479	75000	-0.402416	-6.504715
16	0.958040	75000	-0.401388	-6.906103
17	0.955606	75000	-0.401087	-7.307191
18	0.953175	75000	-0.400242	-7.707432
19	0.950747	75000	-0.400076	-8.107508
20	0.948324	75000	-0.399182	-8.506691
21	0.945904	75000	-0.398476	-8.905167
22	0.943488	75000	-0.397853	-9.303019
23	0.941076	75000	-0.397289	-9.700309
24	0.938667	75000	-0.396662	-10.096971
25	0.936262	75000	-0.396425	-10.493396
26	0.933861	75000	-0.395589	-10.888985
27	0.931463	75000	-0.394967	-11.283952
28	0.929069	75000	-0.394374	-11.678326
29	0.926679	75000	-0.394023	-12.072349
30	0.924293	75000	-0.393413	-12.465763
31	0.921910	75000	-0.392703	-12.858466
32	0.919531	75000	-0.391841	-13.250307
33	0.917155	75000	-0.391690	-13.641998
34	0.914783	75000	-0.391284	-14.033282
35	0.912415	75000	-0.390310	-14.423592
36	0.910051	75000	-0.390032	-14.813624
37	0.907690	75000	-0.389222	-15.202847
38	0.905333	75000	-0.388546	-15.591393
39	0.902980	75000	-0.388218	-15.979611
40	0.900630	75000	-0.387824	-16.367434
41	0.898284	75000	-0.386686	-16.754121
42	0.895942	75000	-0.386412	-17.140532
43	0.893603	75000	-0.385580	-17.526113
44	0.891268	75000	-0.385285	-17.911398
45	0.888937	75000	-0.384732	-18.296129
46	0.886609	75000	-0.383950	-18.680080
47	0.884285	75000	-0.383462	-19.063541
48	0.881965	75000	-0.382884	-19.446426
49	0.879648	75000	-0.382293	-19.828718
50	0.877335	75000	-0.381499	-20.210217
51	0.875026	75000	-0.380666	-20.590883
52	0.872720	75000	-0.380530	-20.971413
53	0.870418	75000	-0.379691	-21.351103
54	0.868120	75000	-0.379496	-21.730599
55	0.865825	75000	-0.379021	-22.109620
56	0.863534	75000	-0.377871	-22.487492
57	0.861246	75000	-0.377498	-22.864990
58	0.858962	75000	-0.377108	-23.242097
59	0.856682	75000	-0.376441	-23.618538
60	0.854405	75000	-0.375991	-23.994529
61	0.852132	75000	-0.375543	-24.370072
62	0.849863	75000	-0.374869	-24.744942
63	0.847597	75000	-0.374126	-25.119068
64	0.845335	75000	-0.373423	-25.492490
65	0.843077	75000	-0.372803	-25.865294
66	0.840822	75000	-0.371877	-26.237170
67	0.838571	75000	-0.371546	-26.608716
68	0.836323	75000	-0.371193	-26.979909
69	0.834079	75000	-0.370567	-27.350476
70	0.831839	75000	-0.370259	-27.720735
71	0.829602	75000	-0.369466	-28.090201
72	0.827369	75000	-0.368672	-28.458873
73	0.825140	75000	-0.368253	-28.827126
74	0.822914	75000	-0.367980	-29.195106
75	0.820691	75000	-0.366960	-29.562066
76	0.818473	75000	-0.366356	-29.928422
77	0.816258	75000	-0.365874	-30.294295
78	0.814046	75000	-0.365266	-30.659561
79	0.811838	75000	-0.364669	-31.024231
80	0.809634	75000	-0.364197	-31.388428
81	0.807433	75000	-0.363715	-31.752143
82	0.805236	75000	-0.363040	-32.115184
83	0.803043	75000	-0.362992	-32.478175
84	0.800853	75000	-0.361876	-32.840051
85	0.798667	75000	-0.361646	-33.201697
86	0.796484	75000	-0.361045	-33.562742
87	0.794305	75000	-0.360533	-33.923275
88	0.792129	75000	-0.359419	-34.282694
89	0.789957	75000	-0.359213	-34.641907
90	0.787789	75000	-0.358687	-35.000594
91	0.785624	75000	-0.358278	-35.358872
92	0.783463	75000	-0.357303	-35.716175
93	0.781305	75000	-0.357037	-36.073212
94	0.779151	75000	-0.356298	-36.429510
95	0.777000	75000	-0.355672	-36.785182
96	0.774853	75000	-0.354980	-37.140161
97	0.772710	75000	-0.354537	-37.494698
98	0.770570	75000	-0.354017	-37.848715
99	0.768433	75000	-0.353443	-38.202159
100	0.766301	75000	-0.352794	-38.554953
101	0.764172	75000	-0.352316	-38.907269
102	0.762046	75000	-0.351480	-39.258749
103	0.759924	75000	-0.351068	-39.609817
104	0.757805	75000	-0.350609	-39.960426
105	0.755690	75000	-0.349900	-40.310327
106	0.753579	75000	-0.349536	-40.659863
107	0.751471	75000	-0.349033	-41.008895
108	0.749366	75000	-0.348296	-41.357192
109	0.747266	75000	-0.347823	-41.705014
110	0.745168	75000	-0.347054	-42.052068
111	0.743075	75000	-0.346810	-42.398878
112	0.740984	75000	-0.346225	-42.745104
113	0.738898	75000	-0.345436	-43.090540
114	0.736815	75000	-0.345144	-43.435684
115	0.734735	75000	-0.344485	-43.780169
116	0.732659	75000	-0.343926	-44.124096
117	0.730586	75000	-0.343128	-44.467224
118	0.728517	75000	-0.342814	-44.810037
119	0.726452	75000	-0.342052	-45.152089
120	0.724390	75000	-0.341431	-45.493521
121	0.722331	75000	-0.341002	-45.834523
122	0.720276	75000	-0.340331	-46.174854
123	0.718225	75000	-0.339964	-46.514818
124	0.716177	75000	-0.339324	-46.854142
125	0.714132	75000	-0.338929	-47.193071
126	0.712091	75000	-0.338422	-47.531492
127	0.710054	75000	-0.337700	-47.869193
128	0.708020	75000	-0.337049	-48.206242
129	0.705989	75000	-0.336610	-48.542851
130	0.703962	75000	-0.336121	-48.878973
131	0.701939	75000	-0.335456	-49.214429
132	0.699919	75000	-0.334854	-49.549283
133	0.697902	75000	-0.334396	-49.883679
134	0.695889	75000	-0.333790	-50.217470
135	0.693880	75000	-0.333216	-50.550685
136	0.691874	75000	-0.332841	-50.883526
137	0.689871	75000	-0.332065	-51.215591
138	0.687872	75000	-0.331212	-51.546803
139	0.685877	75000	-0.330710	-51.877512
140	0.683885	75000	-0.330325	-52.207838
141	0.681896	75000	-0.329959	-52.537797
142	0.679911	75000	-0.329414	-52.867211
143	0.677929	75000	-0.328818	-53.196029
144	0.675951	75000	-0.328185	-53.524214
145	0.673976	75000	-0.327686	-53.851901
146	0.672005	75000	-0.327102	-54.179002
147	0.670037	75000	-0.326618	-54.505621
148	0.668073	75000	-0.325895	-54.831516
149	0.666112	75000	-0.325432	-55.156948
150	0.664155	75000	-0.324791	-55.481739
151	0.662201	75000	-0.324376	-55.806116
152	0.660250	75000	-0.324049	-56.130165
153	0.658303	75000	-0.322932	-56.453097
154	0.656359	75000	-0.322743	-56.775840
155	0.654419	75000	-0.322080	-57.097920
156	0.652483	75000	-0.321474	-57.419394
157	0.650549	75000	-0.320950	-57.740345
158	0.648619	75000	-0.320427	-58.060772
159	0.646693	75000	-0.320004	-58.380776
160	0.644770	75000	-0.319252	-58.700029
161	0.642851	75000	-0.318953	-59.018982
162	0.640934	75000	-0.318159	-59.337141
163	0.639022	75000	-0.317725	-59.654866
164	0.637113	75000	-0.317015	-59.971882
165	0.635207	75000	-0.316566	-60.288448
166	0.633304	75000	-0.316089	-60.604537
167	0.631405	75000	-0.315448	-60.919985
168	0.629510	75000	-0.314781	-61.234766
169	0.627618	75000	-0.314295	-61.549061
170	0.625729	75000	-0.313938	-61.862999
171	0.623844	75000	-0.313311	-62.176310
172	0.621962	75000	-0.312842	-62.489153
173	0.620083	75000	-0.312156	-62.801308
174	0.618208	75000	-0.311830	-63.113138
175	0.616337	75000	-0.311086	-63.424223
176	0.614468	75000	-0.310550	-63.734773
177	0.612604	75000	-0.310115	-64.044887
178	0.610742	75000	-0.309619	-64.354506
179	0.608884	75000	-0.309006	-64.663512
180	0.607029	75000	-0.308629	-64.972141
181	0.605178	75000	-0.307846	-65.279987
182	0.603330	75000	-0.307300	-65.587287
183	0.601486	75000	-0.306923	-65.894210
184	0.599645	75000	-0.305993	-66.200203
185	0.597807	75000	-0.305579	-66.505782
186	0.595973	75000	-0.305376	-66.811158
187	0.594142	75000	-0.304632	-67.115791
188	0.592314	75000	-0.304091	-67.419882
189	0.590490	75000	-0.303575	-67.723457
190	0.588669	75000	-0.302931	-68.026388
191	0.586852	75000	-0.302397	-68.328785
192	0.585038	75000	-0.301930	-68.630715
193	0.583227	75000	-0.301274	-68.931989
194	0.581420	75000	-0.300738	-69.232728
195	0.579616	75000	-0.300280	-69.533008
196	0.577815	75000	-0.299750	-69.832758
197	0.576018	75000	-0.299177	-70.131934
198	0.574224	75000	-0.298840	-70.430774
199	0.572433	75000	-0.298143	-70.728917
200	0.570646	75000	-0.297468	-71.026385
201	0.568862	75000	-0.297078	-71.323463
202	0.567082	75000	-0.296325	-71.619789
203	0.565305	75000	-0.295990	-71.915778
204	0.563531	75000	-0.295617	-72.211395
205	0.561761	75000	-0.294815	-72.506210
206	0.559993	75000	-0.294412	-72.800622
207	0.558230	75000	-0.293796	-73.094418
208	0.556469	75000	-0.293320	-73.387738
209	0.554712	75000	-0.292714	-73.680452
210	0.552958	75000	-0.292108	-73.972560
211	0.551208	75000	-0.291513	-74.264073
212	0.549461	75000	-0.291164	-74.555237
