Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
849	0.460542	151	0.105960	2.123705	434	0.686636	6.120389	415	0.224096	0.407000	0.421289	
850	0.309412	150	0.066667	3.998967	433	0.399538	6.120389	417	0.215827	0.273000	0.371876	
807	0.281289	193	0.036269	3.998967	402	0.340796	6.120389	405	0.222222	0.234000	0.337416	
839	0.358760	161	0.037267	3.998967	437	0.450801	6.120389	402	0.258706	0.307000	0.331334	
817	0.250918	183	0.103825	5.866167	386	0.303109	6.120389	431	0.204176	0.224000	0.313448	
816	0.225490	184	0.081522	5.866167	414	0.256039	6.120389	402	0.194030	0.199000	0.297100	
824	0.368932	176	0.022727	5.866167	428	0.310748	3.371186	396	0.431818	0.308000	0.298463	
814	0.296069	186	0.005376	5.866167	395	0.275949	4.444602	419	0.315036	0.242000	0.292190	
833	0.379352	167	0.029940	5.866167	394	0.365482	4.444602	439	0.391800	0.321000	0.295070	
815	0.347239	185	0.021622	5.866167	403	0.320099	4.444602	412	0.373786	0.287000	0.294337	
832	0.308894	168	0.047619	5.866167	429	0.251748	4.444602	403	0.369727	0.265000	0.291892	
826	0.300242	174	0.149425	5.866167	383	0.287206	4.444602	443	0.311512	0.274000	0.290516	
847	0.330579	153	0.000000	5.866167	426	0.338028	4.444602	421	0.323040	0.280000	0.289765	
819	0.341880	181	0.033149	5.866167	380	0.363158	4.444602	439	0.323462	0.286000	0.289514	
816	0.378676	184	0.000000	5.866167	399	0.403509	4.444602	417	0.354916	0.309000	0.290732	
844	0.283175	156	0.000000	7.547084	438	0.212329	4.444602	406	0.359606	0.239000	0.287689	
838	0.254177	162	0.012346	7.547084	428	0.212617	4.444602	410	0.297561	0.215000	0.283651	
831	0.320096	169	0.147929	7.547084	416	0.266827	4.444602	415	0.373494	0.291000	0.284038	
850	0.260000	150	0.113333	7.547084	447	0.219239	4.444602	403	0.305211	0.238000	0.281736	
839	0.303933	161	0.136646	7.547084	431	0.283063	4.444602	408	0.325980	0.277000	0.281510	
826	0.286925	174	0.074713	7.547084	397	0.272040	4.444602	429	0.300699	0.250000	0.280078	
833	0.295318	167	0.101796	7.547084	420	0.230952	4.444602	413	0.360775	0.263000	0.279336	
829	0.278649	171	0.076023	7.547084	404	0.212871	4.444602	425	0.341176	0.244000	0.277863	
837	0.278375	163	0.000000	7.547084	442	0.239819	4.444602	395	0.321519	0.233000	0.276069	
824	0.300971	176	0.147727	7.547084	437	0.267735	4.444602	387	0.338501	0.274000	0.275989	
852	0.271127	148	0.182432	7.547084	460	0.243478	4.444602	392	0.303571	0.258000	0.275323	
815	0.267485	185	0.054054	7.547084	392	0.255102	4.444602	423	0.278960	0.228000	0.273633	
831	0.229844	169	0.000000	7.547084	397	0.191436	4.444602	434	0.264977	0.191000	0.270784	
876	0.360731	124	0.024194	3.823272	424	0.417453	4.444602	452	0.307522	0.319000	0.272391	
831	0.411552	169	0.011834	3.838441	402	0.487562	4.444602	429	0.340326	0.344000	0.274701	
837	0.376344	163	0.073620	4.965601	416	0.377404	4.444602	421	0.375297	0.327000	0.276335	
840	0.375000	160	0.118750	4.965601	409	0.361858	4.444602	431	0.387471	0.334000	0.278082	
845	0.338462	155	0.116129	4.965601	405	0.343210	4.444602	440	0.334091	0.304000	0.278845	
840	0.361905	160	0.037500	4.965601	406	0.386700	4.444602	434	0.338710	0.310000	0.279735	
827	0.336155	173	0.127168	4.965601	424	0.365566	4.444602	403	0.305211	0.300000	0.280298	
821	0.330085	179	0.000000	4.965601	415	0.342169	4.444602	406	0.317734	0.271000	0.280046	
821	0.366626	179	0.000000	4.965601	420	0.380952	4.444602	401	0.351621	0.301000	0.280598	
828	0.379227	172	0.000000	4.965601	414	0.422705	4.444602	414	0.335749	0.314000	0.281454	
801	0.245943	199	0.075377	8.893757	366	0.185792	4.444602	435	0.296552	0.212000	0.279718	
825	0.317576	175	0.080000	6.438770	403	0.300248	4.444602	422	0.334123	0.276000	0.279627	
828	0.300725	172	0.000000	6.438770	391	0.286445	4.444602	437	0.313501	0.249000	0.278898	
841	0.321046	159	0.075472	6.438770	413	0.314770	4.444602	428	0.327103	0.282000	0.278970	
827	0.258767	173	0.011561	6.438770	411	0.248175	4.444602	416	0.269231	0.216000	0.277539	
844	0.290284	156	0.012821	6.438770	411	0.243309	4.444602	433	0.334873	0.247000	0.276861	
836	0.307416	164	0.097561	6.438770	408	0.264706	4.444602	428	0.348131	0.273000	0.276777	
830	0.261446	170	0.105882	6.438770	420	0.247619	4.444602	410	0.275610	0.235000	0.275888	
843	0.298932	157	0.146497	6.438770	409	0.298289	4.444602	434	0.299539	0.275000	0.275869	
853	0.321219	147	0.122449	6.438770	381	0.275591	4.444602	472	0.358051	0.292000	0.276198	
862	0.310905	138	0.036232	6.438770	415	0.245783	4.444602	447	0.371365	0.273000	0.276134	
837	0.267622	163	0.055215	6.438770	442	0.253394	4.444602	395	0.283544	0.233000	0.275289	
824	0.285194	176	0.034091	6.438770	430	0.255814	4.444602	394	0.317259	0.241000	0.274629	
822	0.346715	178	0.039326	6.438770	412	0.339806	4.444602	410	0.353659	0.292000	0.274957	
830	0.267470	170	0.100000	6.438770	426	0.244131	4.444602	404	0.292079	0.239000	0.274291	
839	0.284863	161	0.086957	6.438770	428	0.247664	4.444602	411	0.323601	0.253000	0.273904	
851	0.312573	149	0.087248	6.438770	429	0.300699	4.444602	422	0.324645	0.279000	0.273995	
841	0.299643	159	0.006289	6.438770	424	0.252358	4.444602	417	0.347722	0.253000	0.273627	
829	0.301568	171	0.005848	6.438770	420	0.285714	4.444602	409	0.317848	0.251000	0.273237	
840	0.347619	160	0.031250	6.438770	393	0.325700	4.444602	447	0.366890	0.297000	0.273639	
830	0.380723	170	0.005882	6.438770	413	0.351090	4.444602	417	0.410072	0.317000	0.274362	
846	0.288416	154	0.006494	6.438770	422	0.338863	6.994293	424	0.238208	0.245000	0.273881	
840	0.255952	160	0.031250	6.438770	419	0.284010	6.994293	421	0.228029	0.220000	0.273012	
817	0.259486	183	0.027322	6.438770	385	0.285714	6.994293	432	0.236111	0.217000	0.272123	
831	0.241877	169	0.017751	6.438770	399	0.295739	6.994293	432	0.192130	0.204000	0.271058	
830	0.228916	170	0.000000	6.438770	425	0.289412	6.921516	405	0.165432	0.190000	0.269811	
850	0.314118	150	0.006667	6.438770	425	0.310588	4.427700	425	0.317647	0.268000	0.269784	
850	0.316471	150	0.060000	6.438770	423	0.297872	4.427700	427	0.334895	0.278000	0.269906	
822	0.332117	178	0.011236	6.438770	392	0.280612	4.427700	430	0.379070	0.275000	0.269981	
827	0.299879	173	0.000000	6.438770	394	0.261421	4.427700	433	0.334873	0.248000	0.269663	
836	0.324163	164	0.000000	6.438770	404	0.311881	4.427700	432	0.335648	0.271000	0.269682	
814	0.293612	186	0.000000	6.438770	366	0.286885	4.427700	448	0.299107	0.239000	0.269250	
812	0.316502	188	0.015957	6.438770	400	0.287500	4.427700	412	0.344660	0.260000	0.269121	
829	0.322075	171	0.093567	6.438770	387	0.271318	4.427700	442	0.366516	0.283000	0.269311	
831	0.316486	169	0.165680	6.438770	407	0.309582	4.427700	424	0.323113	0.291000	0.269604	
826	0.315981	174	0.080460	6.438770	407	0.316953	4.427700	419	0.315036	0.275000	0.269676	
835	0.326946	165	0.024242	6.438770	383	0.321149	4.427700	452	0.331858	0.277000	0.269773	
831	0.368231	169	0.041420	6.438770	398	0.346734	4.427700	433	0.387991	0.313000	0.270334	
809	0.330037	191	0.031414	6.438770	383	0.295039	4.427700	426	0.361502	0.273000	0.270368	
798	0.364662	202	0.004950	6.438770	402	0.365672	4.427700	396	0.363636	0.292000	0.270642	
839	0.293206	161	0.024845	6.438770	412	0.257282	4.427700	427	0.327869	0.250000	0.270384	
825	0.310303	175	0.142857	6.438770	391	0.260870	4.427700	434	0.354839	0.281000	0.270515	
818	0.266504	182	0.087912	6.438770	416	0.242788	4.427700	402	0.291045	0.234000	0.270070	
812	0.322660	188	0.058511	6.438770	426	0.284038	4.427700	386	0.365285	0.273000	0.270105	
825	0.295758	175	0.034286	6.438770	429	0.286713	4.427700	396	0.305556	0.250000	0.269866	
806	0.331266	194	0.123711	6.438770	397	0.299748	4.427700	409	0.361858	0.291000	0.270114	
832	0.362981	168	0.005952	6.438770	425	0.360000	4.427700	407	0.366093	0.303000	0.270497	
832	0.313702	168	0.119048	6.438770	441	0.265306	4.427700	391	0.368286	0.281000	0.270618	
817	0.274174	183	0.081967	6.438770	414	0.248792	4.427700	403	0.300248	0.239000	0.270258	
851	0.301998	149	0.020134	6.438770	436	0.330275	4.427700	415	0.272289	0.260000	0.270143	
852	0.349765	148	0.006757	6.438770	472	0.296610	4.427700	380	0.415789	0.299000	0.270464	
826	0.292978	174	0.022989	6.438770	415	0.298795	4.898537	411	0.287105	0.246000	0.270195	
860	0.308140	140	0.150000	6.438770	452	0.318584	4.898537	408	0.296569	0.286000	0.270367	
816	0.338235	184	0.038043	6.438770	414	0.359903	4.898537	402	0.315920	0.283000	0.270502	
