Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.699734	-0.699734
1	0.995007	75000	-0.698140	-1.397874
2	0.992517	75000	-0.697466	-2.095340
3	0.990030	75000	-0.696428	-2.791768
4	0.987547	75000	-0.695214	-3.486982
5	0.985067	75000	-0.694306	-4.181289
6	0.982592	75000	-0.693229	-4.874518
7	0.980120	75000	-0.692428	-5.566946
8	0.977652	75000	-0.691370	-6.258317
9	0.975187	75000	-0.690181	-6.948497
10	0.972726	75000	-0.689291	-7.637788
11	0.970269	75000	-0.688267	-8.326054
12	0.967816	75000	-0.687283	-9.013338
13	0.965367	75000	-0.685840	-9.699178
14	0.962921	75000	-0.685349	-10.384527
15	0.960479	75000	-0.683977	-11.068504
16	0.958040	75000	-0.683129	-11.751632
17	0.955606	75000	-0.682390	-12.434023
18	0.953175	75000	-0.681124	-13.115147
19	0.950747	75000	-0.679978	-13.795125
20	0.948324	75000	-0.679070	-14.474195
21	0.945904	75000	-0.678162	-15.152357
22	0.943488	75000	-0.676746	-15.829104
23	0.941076	75000	-0.676290	-16.505394
24	0.938667	75000	-0.674715	-17.180109
25	0.936262	75000	-0.673607	-17.853716
26	0.933861	75000	-0.672682	-18.526398
27	0.931463	75000	-0.671919	-19.198317
28	0.929069	75000	-0.671172	-19.869490
29	0.926679	75000	-0.670128	-20.539618
30	0.924293	75000	-0.668855	-21.208473
31	0.921910	75000	-0.667614	-21.876087
32	0.919531	75000	-0.666960	-22.543047
33	0.917155	75000	-0.665863	-23.208911
34	0.914783	75000	-0.665147	-23.874058
35	0.912415	75000	-0.663840	-24.537898
36	0.910051	75000	-0.663039	-25.200938
37	0.907690	75000	-0.661530	-25.862468
38	0.905333	75000	-0.660581	-26.523048
39	0.902980	75000	-0.659805	-27.182854
40	0.900630	75000	-0.658594	-27.841448
41	0.898284	75000	-0.657595	-28.499043
42	0.895942	75000	-0.657138	-29.156182
43	0.893603	75000	-0.655897	-29.812078
44	0.891268	75000	-0.654662	-30.466741
45	0.888937	75000	-0.653701	-31.120441
46	0.886609	75000	-0.652782	-31.773224
47	0.884285	75000	-0.651500	-32.424724
48	0.881965	75000	-0.650675	-33.075399
49	0.879648	75000	-0.649165	-33.724563
50	0.877335	75000	-0.648698	-34.373261
51	0.875026	75000	-0.647445	-35.020706
52	0.872720	75000	-0.646324	-35.667030
53	0.870418	75000	-0.645774	-36.312804
54	0.868120	75000	-0.644704	-36.957508
55	0.865825	75000	-0.643732	-37.601240
56	0.863534	75000	-0.642775	-38.244015
57	0.861246	75000	-0.641709	-38.885724
58	0.858962	75000	-0.640931	-39.526655
59	0.856682	75000	-0.639613	-40.166267
60	0.854405	75000	-0.638552	-40.804819
61	0.852132	75000	-0.637677	-41.442496
62	0.849863	75000	-0.636807	-42.079303
63	0.847597	75000	-0.635283	-42.714586
64	0.845335	75000	-0.634737	-43.349324
65	0.843077	75000	-0.633336	-43.982659
66	0.840822	75000	-0.632694	-44.615354
67	0.838571	75000	-0.631781	-45.247134
68	0.836323	75000	-0.630392	-45.877526
69	0.834079	75000	-0.629397	-46.506924
70	0.831839	75000	-0.628516	-47.135440
71	0.829602	75000	-0.627817	-47.763257
72	0.827369	75000	-0.626705	-48.389962
73	0.825140	75000	-0.625784	-49.015746
74	0.822914	75000	-0.624649	-49.640395
75	0.820691	75000	-0.623681	-50.264075
76	0.818473	75000	-0.622698	-50.886774
77	0.816258	75000	-0.621406	-51.508180
78	0.814046	75000	-0.620860	-52.129040
79	0.811838	75000	-0.620085	-52.749125
80	0.809634	75000	-0.618655	-53.367780
81	0.807433	75000	-0.617414	-53.985193
82	0.805236	75000	-0.616925	-54.602118
83	0.803043	75000	-0.616098	-55.218217
84	0.800853	75000	-0.614758	-55.832975
85	0.798667	75000	-0.613939	-56.446914
86	0.796484	75000	-0.612519	-57.059432
87	0.794305	75000	-0.611611	-57.671043
88	0.792129	75000	-0.611068	-58.282111
89	0.789957	75000	-0.609772	-58.891883
90	0.787789	75000	-0.608292	-59.500176
91	0.785624	75000	-0.607842	-60.108017
92	0.783463	75000	-0.606799	-60.714816
93	0.781305	75000	-0.606275	-61.321091
94	0.779151	75000	-0.604875	-61.925966
95	0.777000	75000	-0.603523	-62.529488
96	0.774853	75000	-0.603014	-63.132502
97	0.772710	75000	-0.601653	-63.734155
98	0.770570	75000	-0.601062	-64.335217
99	0.768433	75000	-0.599946	-64.935163
100	0.766301	75000	-0.599107	-65.534269
101	0.764172	75000	-0.598542	-66.132811
102	0.762046	75000	-0.597210	-66.730021
103	0.759924	75000	-0.595944	-67.325965
104	0.757805	75000	-0.595142	-67.921107
105	0.755690	75000	-0.594297	-68.515404
106	0.753579	75000	-0.592960	-69.108364
107	0.751471	75000	-0.591951	-69.700315
108	0.749366	75000	-0.591396	-70.291712
109	0.747266	75000	-0.590416	-70.882127
110	0.745168	75000	-0.589333	-71.471460
111	0.743075	75000	-0.588488	-72.059948
112	0.740984	75000	-0.587172	-72.647120
113	0.738898	75000	-0.586585	-73.233705
114	0.736815	75000	-0.585186	-73.818891
115	0.734735	75000	-0.584373	-74.403264
116	0.732659	75000	-0.583420	-74.986683
117	0.730586	75000	-0.582445	-75.569128
118	0.728517	75000	-0.581366	-76.150494
119	0.726452	75000	-0.580527	-76.731020
120	0.724390	75000	-0.579853	-77.310873
121	0.722331	75000	-0.579113	-77.889986
122	0.720276	75000	-0.578059	-78.468045
123	0.718225	75000	-0.576694	-79.044739
124	0.716177	75000	-0.576065	-79.620804
125	0.714132	75000	-0.574771	-80.195576
126	0.712091	75000	-0.573876	-80.769452
127	0.710054	75000	-0.572462	-81.341914
128	0.708020	75000	-0.571889	-81.913803
129	0.705989	75000	-0.570938	-82.484741
130	0.703962	75000	-0.570018	-83.054759
131	0.701939	75000	-0.568997	-83.623756
132	0.699919	75000	-0.568027	-84.191783
133	0.697902	75000	-0.566871	-84.758654
134	0.695889	75000	-0.565861	-85.324515
135	0.693880	75000	-0.565391	-85.889906
136	0.691874	75000	-0.564136	-86.454042
137	0.689871	75000	-0.563169	-87.017211
138	0.687872	75000	-0.562549	-87.579760
139	0.685877	75000	-0.561107	-88.140867
140	0.683885	75000	-0.560787	-88.701654
141	0.681896	75000	-0.559008	-89.260661
142	0.679911	75000	-0.558315	-89.818977
143	0.677929	75000	-0.557342	-90.376318
144	0.675951	75000	-0.556898	-90.933216
145	0.673976	75000	-0.555463	-91.488679
146	0.672005	75000	-0.554633	-92.043312
147	0.670037	75000	-0.553729	-92.597041
148	0.668073	75000	-0.552692	-93.149733
149	0.666112	75000	-0.551884	-93.701617
150	0.664155	75000	-0.550410	-94.252027
151	0.662201	75000	-0.549813	-94.801840
152	0.660250	75000	-0.548841	-95.350681
153	0.658303	75000	-0.547929	-95.898609
154	0.656359	75000	-0.546913	-96.445523
155	0.654419	75000	-0.546010	-96.991533
156	0.652483	75000	-0.545089	-97.536622
157	0.650549	75000	-0.544182	-98.080804
158	0.648619	75000	-0.542961	-98.623765
159	0.646693	75000	-0.542255	-99.166020
160	0.644770	75000	-0.541338	-99.707358
161	0.642851	75000	-0.540085	-100.247443
162	0.640934	75000	-0.539595	-100.787038
163	0.639022	75000	-0.538638	-101.325677
164	0.637113	75000	-0.537486	-101.863162
165	0.635207	75000	-0.536540	-102.399702
166	0.633304	75000	-0.535913	-102.935615
167	0.631405	75000	-0.534877	-103.470492
168	0.629510	75000	-0.533678	-104.004169
169	0.627618	75000	-0.533091	-104.537261
170	0.625729	75000	-0.532204	-105.069465
171	0.623844	75000	-0.531035	-105.600500
172	0.621962	75000	-0.529903	-106.130403
173	0.620083	75000	-0.529199	-106.659603
174	0.618208	75000	-0.528218	-107.187820
175	0.616337	75000	-0.527302	-107.715122
176	0.614468	75000	-0.526326	-108.241448
177	0.612604	75000	-0.525360	-108.766809
178	0.610742	75000	-0.524143	-109.290952
179	0.608884	75000	-0.523423	-109.814375
180	0.607029	75000	-0.522200	-110.336576
181	0.605178	75000	-0.521913	-110.858489
182	0.603330	75000	-0.520352	-111.378841
183	0.601486	75000	-0.519702	-111.898542
184	0.599645	75000	-0.518700	-112.417243
185	0.597807	75000	-0.517773	-112.935016
186	0.595973	75000	-0.516941	-113.451957
187	0.594142	75000	-0.515924	-113.967880
188	0.592314	75000	-0.515143	-114.483024
189	0.590490	75000	-0.514274	-114.997298
190	0.588669	75000	-0.513160	-115.510458
191	0.586852	75000	-0.512380	-116.022837
192	0.585038	75000	-0.511568	-116.534405
193	0.583227	75000	-0.510472	-117.044878
194	0.581420	75000	-0.509506	-117.554384
195	0.579616	75000	-0.508770	-118.063154
196	0.577815	75000	-0.507937	-118.571091
197	0.576018	75000	-0.506928	-119.078019
198	0.574224	75000	-0.505872	-119.583891
199	0.572433	75000	-0.504922	-120.088813
200	0.570646	75000	-0.504216	-120.593029
201	0.568862	75000	-0.502980	-121.096008
202	0.567082	75000	-0.502245	-121.598253
203	0.565305	75000	-0.501188	-122.099441
204	0.563531	75000	-0.500130	-122.599571
205	0.561761	75000	-0.499369	-123.098940
206	0.559993	75000	-0.498601	-123.597541
207	0.558230	75000	-0.497638	-124.095179
208	0.556469	75000	-0.496584	-124.591763
209	0.554712	75000	-0.495740	-125.087503
210	0.552958	75000	-0.494521	-125.582024
211	0.551208	75000	-0.493962	-126.075986
212	0.549461	75000	-0.493145	-126.569132
213	0.547717	75000	-0.492398	-127.061529
214	0.545977	75000	-0.491045	-127.552574
215	0.544240	75000	-0.490239	-128.042814
216	0.542506	75000	-0.489244	-128.532058
217	0.540775	75000	-0.488271	-129.020329
218	0.539048	75000	-0.487426	-129.507755
219	0.537324	75000	-0.486505	-129.994260
220	0.535604	75000	-0.485530	-130.479790
221	0.533887	75000	-0.484773	-130.964563
222	0.532173	75000	-0.484015	-131.448578
223	0.530462	75000	-0.483172	-131.931750
224	0.528755	75000	-0.482090	-132.413841
