Options:
Model:                           Continuous: Random Walk
Tree File Name:                  posterior.trees
Data File Name:                  features_Semantic_classes_Agreement_patterns.txt
Log File Name:                   features_Semantic_classes_Agreement_patterns.dependent.log.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            941765769
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         1000
MCMC ML Start:                   False
Schedule File:                   features_Semantic_classes_Agreement_patterns.dependent.log.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Scale Tree:                      0.000091
Restrictions:
    alpha-1                      None
    alpha-2                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
        alpha-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      100
     Taxa:                       68
     Sites:                      2
Iteration	Lh	Tree No	Alpha 1	Alpha 2	Sigma^2 1 	Sigma^2 2 	R Trait 1 2	
2000	-278.853943	87	5.467633470666	7.754915988105	20.176741838577	14.067007209887	0.452659308971	
3000	-278.476087	87	3.620382251260	5.865659084410	19.876818603292	14.020052220170	0.446262095182	
4000	-279.024499	76	5.467822349758	9.038722507474	19.212299008915	15.478988086443	0.503338404256	
5000	-285.002193	76	-3.536626720517	4.081138793795	23.285981959858	15.543389348164	0.518267504943	
6000	-279.504626	64	5.408890232633	6.947078766873	20.420964684191	14.501209720720	0.467836463324	
7000	-278.572963	87	4.188397121411	7.785419155163	19.903551961644	14.073043217865	0.448289597598	
8000	-279.262795	41	3.486893382766	7.070243450623	20.310656629832	15.274387696946	0.479487922051	
9000	-280.442756	64	1.088731418208	4.236492262708	20.704988835353	15.013647166754	0.484833902915	
10000	-280.864328	90	3.141964575150	7.141899564524	23.529710377396	13.779639909211	0.493690969613	
11000	-278.365293	76	3.631110900050	5.267527524151	18.947248631860	15.155508108444	0.491521169283	
12000	-279.495656	64	4.975196345454	8.117252351937	20.295726315281	14.694223401498	0.473897860610	
13000	-281.997917	72	0.116432862734	6.299542432017	20.791828154259	13.973973519308	0.460955584915	
14000	-278.353754	87	3.443722210130	7.006960735292	19.880361148087	13.971479098728	0.446536274350	
15000	-278.257632	76	3.326469571893	7.624019121963	18.957594491223	15.080105867746	0.490535680667	
16000	-278.402170	87	3.712615833512	6.094959499709	19.877204365394	13.991445174062	0.446397497840	
17000	-284.033235	80	4.261880968607	9.751345336043	20.105934143112	16.084199194926	0.491258696025	
18000	-280.897999	74	4.201757460027	5.139165162942	20.320473255229	15.677414304548	0.449997085484	
19000	-279.707655	41	3.245226805373	5.245300536561	20.330139507898	15.487750193396	0.480887267537	
20000	-277.986500	76	4.349884460446	6.783102347807	18.984077581201	15.000913307871	0.493696487182	
21000	-278.146658	76	2.886185080829	5.544297185410	18.999851205338	15.098733042682	0.495696359526	
22000	-278.356608	87	3.186923193356	6.790038134512	19.895543231469	13.962638476562	0.446577918742	
23000	-281.051164	24	2.626093126583	7.337803694965	23.661337030326	14.011279776564	0.488219688764	
24000	-279.057983	76	6.177787701010	6.768091834762	19.465272523292	15.000569296198	0.488671800229	
25000	-278.552564	76	5.140143191634	8.422294092298	19.123847226738	15.264217565398	0.499827315207	
26000	-281.074733	64	0.109760997612	4.213072489849	21.242560567316	15.023915350033	0.490869350908	
27000	-281.720057	61	6.107637691262	5.899727121667	22.338025122542	15.864635740336	0.458012290964	
28000	-280.151554	74	4.193824820538	7.213541207792	20.319724549761	15.484638836183	0.458337412054	
29000	-280.727594	24	4.375173987733	7.194552883795	23.656388424822	13.993826192571	0.494442609828	
