Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
825	0.421818	175	0.085714	11.311538	396	0.436869	13.505744	429	0.407925	0.363000	0.445277	
870	0.372414	130	0.107692	14.174104	470	0.397872	13.650622	400	0.342500	0.338000	0.409530	
818	0.415648	182	0.038462	14.174104	403	0.459057	13.650622	415	0.373494	0.347000	0.393902	
843	0.411625	157	0.127389	14.494852	399	0.423559	13.650622	444	0.400901	0.367000	0.388522	
834	0.286571	166	0.072289	23.578946	411	0.260341	18.629929	423	0.312057	0.251000	0.365606	
847	0.256198	153	0.019608	23.578946	450	0.231111	18.629929	397	0.284635	0.220000	0.344808	
798	0.231830	202	0.009901	23.578946	397	0.246851	18.629929	401	0.216958	0.187000	0.325084	
816	0.241422	184	0.108696	23.578946	402	0.258706	18.629929	414	0.224638	0.217000	0.313076	
868	0.245392	132	0.000000	23.578946	418	0.229665	18.629929	450	0.260000	0.213000	0.303070	
834	0.267386	166	0.030120	23.578946	429	0.258741	18.629929	405	0.276543	0.228000	0.296246	
845	0.246154	155	0.045161	23.578946	411	0.248175	18.629929	434	0.244240	0.215000	0.289476	
815	0.292025	185	0.064865	23.578946	396	0.308081	18.629929	419	0.276850	0.250000	0.286440	
840	0.236905	160	0.037500	23.578946	427	0.245902	18.629929	413	0.227603	0.205000	0.280623	
840	0.240476	160	0.043750	23.578946	407	0.201474	18.629929	433	0.277136	0.209000	0.275848	
816	0.240196	184	0.027174	23.578946	418	0.241627	18.629929	398	0.238693	0.201000	0.271171	
817	0.250918	183	0.076503	23.578946	393	0.267176	18.629929	424	0.235849	0.219000	0.268102	
835	0.295808	165	0.012121	23.578946	447	0.295302	18.629929	388	0.296392	0.249000	0.267041	
846	0.267139	154	0.038961	23.578946	417	0.258993	18.629929	429	0.275058	0.232000	0.265197	
856	0.276869	144	0.027778	23.578946	441	0.256236	18.629929	415	0.298795	0.241000	0.263987	
841	0.284185	159	0.044025	23.578946	426	0.253521	18.629929	415	0.315663	0.246000	0.263130	
834	0.278177	166	0.090361	23.578946	417	0.285372	18.629929	417	0.270983	0.247000	0.262397	
811	0.265105	189	0.079365	23.578946	429	0.254079	18.629929	382	0.277487	0.230000	0.260989	
