Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.719773	-0.719773
1	0.995007	75000	-0.718018	-1.437792
2	0.992517	75000	-0.717230	-2.155022
3	0.990030	75000	-0.716422	-2.871445
4	0.987547	75000	-0.716012	-3.587456
5	0.985067	75000	-0.714297	-4.301753
6	0.982592	75000	-0.713297	-5.015050
7	0.980120	75000	-0.712561	-5.727612
8	0.977652	75000	-0.711475	-6.439087
9	0.975187	75000	-0.710021	-7.149108
10	0.972726	75000	-0.709320	-7.858428
11	0.970269	75000	-0.707794	-8.566222
12	0.967816	75000	-0.707007	-9.273228
13	0.965367	75000	-0.705672	-9.978901
14	0.962921	75000	-0.704989	-10.683890
15	0.960479	75000	-0.703906	-11.387795
16	0.958040	75000	-0.702696	-12.090491
17	0.955606	75000	-0.702029	-12.792520
18	0.953175	75000	-0.701014	-13.493535
19	0.950747	75000	-0.699359	-14.192893
20	0.948324	75000	-0.698497	-14.891391
21	0.945904	75000	-0.697911	-15.589302
22	0.943488	75000	-0.696550	-16.285852
23	0.941076	75000	-0.695582	-16.981434
24	0.938667	75000	-0.694149	-17.675583
25	0.936262	75000	-0.693377	-18.368960
26	0.933861	75000	-0.692237	-19.061197
27	0.931463	75000	-0.690840	-19.752037
28	0.929069	75000	-0.689885	-20.441922
29	0.926679	75000	-0.689127	-21.131050
30	0.924293	75000	-0.687734	-21.818784
31	0.921910	75000	-0.687211	-22.505995
32	0.919531	75000	-0.686250	-23.192244
33	0.917155	75000	-0.684980	-23.877224
34	0.914783	75000	-0.684326	-24.561550
35	0.912415	75000	-0.682926	-25.244476
36	0.910051	75000	-0.681408	-25.925884
37	0.907690	75000	-0.681225	-26.607109
38	0.905333	75000	-0.679353	-27.286463
39	0.902980	75000	-0.679082	-27.965545
40	0.900630	75000	-0.677581	-28.643126
41	0.898284	75000	-0.677418	-29.320544
42	0.895942	75000	-0.675585	-29.996128
43	0.893603	75000	-0.674437	-30.670566
44	0.891268	75000	-0.673104	-31.343670
45	0.888937	75000	-0.672479	-32.016149
46	0.886609	75000	-0.670869	-32.687018
47	0.884285	75000	-0.670908	-33.357926
48	0.881965	75000	-0.669535	-34.027461
49	0.879648	75000	-0.668141	-34.695602
50	0.877335	75000	-0.667144	-35.362746
51	0.875026	75000	-0.666130	-36.028876
52	0.872720	75000	-0.665012	-36.693889
53	0.870418	75000	-0.664565	-37.358454
54	0.868120	75000	-0.663009	-38.021463
55	0.865825	75000	-0.662115	-38.683578
56	0.863534	75000	-0.661255	-39.344832
57	0.861246	75000	-0.659687	-40.004519
58	0.858962	75000	-0.659388	-40.663907
59	0.856682	75000	-0.658066	-41.321972
60	0.854405	75000	-0.656838	-41.978810
61	0.852132	75000	-0.656058	-42.634868
62	0.849863	75000	-0.655195	-43.290063
63	0.847597	75000	-0.654035	-43.944098
64	0.845335	75000	-0.653266	-44.597364
65	0.843077	75000	-0.651550	-45.248914
66	0.840822	75000	-0.651162	-45.900076
67	0.838571	75000	-0.649685	-46.549761
68	0.836323	75000	-0.648952	-47.198712
69	0.834079	75000	-0.648234	-47.846946
70	0.831839	75000	-0.646920	-48.493866
71	0.829602	75000	-0.646090	-49.139955
72	0.827369	75000	-0.645044	-49.785000
73	0.825140	75000	-0.643743	-50.428743
74	0.822914	75000	-0.642833	-51.071575
75	0.820691	75000	-0.641602	-51.713177
76	0.818473	75000	-0.640334	-52.353511
77	0.816258	75000	-0.639913	-52.993425
78	0.814046	75000	-0.638881	-53.632305
79	0.811838	75000	-0.637746	-54.270051
80	0.809634	75000	-0.636569	-54.906620
81	0.807433	75000	-0.635426	-55.542046
82	0.805236	75000	-0.634698	-56.176744
83	0.803043	75000	-0.633555	-56.810299
84	0.800853	75000	-0.632400	-57.442700
85	0.798667	75000	-0.631313	-58.074013
86	0.796484	75000	-0.630266	-58.704279
87	0.794305	75000	-0.629191	-59.333471
88	0.792129	75000	-0.628564	-59.962034
89	0.789957	75000	-0.627785	-60.589820
90	0.787789	75000	-0.626320	-61.216139
91	0.785624	75000	-0.624999	-61.841138
92	0.783463	75000	-0.624498	-62.465637
93	0.781305	75000	-0.623164	-63.088800
94	0.779151	75000	-0.622339	-63.711139
95	0.777000	75000	-0.621493	-64.332632
96	0.774853	75000	-0.620178	-64.952810
97	0.772710	75000	-0.619704	-65.572514
98	0.770570	75000	-0.618390	-66.190904
99	0.768433	75000	-0.617410	-66.808314
100	0.766301	75000	-0.616014	-67.424328
101	0.764172	75000	-0.615302	-68.039630
102	0.762046	75000	-0.613913	-68.653543
103	0.759924	75000	-0.612537	-69.266081
104	0.757805	75000	-0.612317	-69.878397
105	0.755690	75000	-0.611620	-70.490017
106	0.753579	75000	-0.610685	-71.100702
107	0.751471	75000	-0.608677	-71.709379
108	0.749366	75000	-0.608188	-72.317567
109	0.747266	75000	-0.607636	-72.925203
110	0.745168	75000	-0.606219	-73.531422
111	0.743075	75000	-0.605692	-74.137114
112	0.740984	75000	-0.604327	-74.741442
113	0.738898	75000	-0.603312	-75.344754
114	0.736815	75000	-0.601909	-75.946663
115	0.734735	75000	-0.601607	-76.548269
116	0.732659	75000	-0.600438	-77.148708
117	0.730586	75000	-0.599411	-77.748119
118	0.728517	75000	-0.598131	-78.346250
119	0.726452	75000	-0.597249	-78.943499
120	0.724390	75000	-0.596537	-79.540036
121	0.722331	75000	-0.595842	-80.135877
122	0.720276	75000	-0.594668	-80.730546
123	0.718225	75000	-0.593481	-81.324026
124	0.716177	75000	-0.592341	-81.916367
125	0.714132	75000	-0.591799	-82.508167
126	0.712091	75000	-0.590637	-83.098804
127	0.710054	75000	-0.589729	-83.688533
128	0.708020	75000	-0.588193	-84.276726
129	0.705989	75000	-0.587530	-84.864256
130	0.703962	75000	-0.586246	-85.450502
131	0.701939	75000	-0.584688	-86.035190
132	0.699919	75000	-0.584021	-86.619211
133	0.697902	75000	-0.583565	-87.202776
134	0.695889	75000	-0.582113	-87.784889
135	0.693880	75000	-0.581664	-88.366553
136	0.691874	75000	-0.580737	-88.947290
137	0.689871	75000	-0.579640	-89.526930
138	0.687872	75000	-0.578566	-90.105496
139	0.685877	75000	-0.577044	-90.682540
140	0.683885	75000	-0.576242	-91.258782
141	0.681896	75000	-0.575913	-91.834695
142	0.679911	75000	-0.574817	-92.409512
143	0.677929	75000	-0.573243	-92.982755
144	0.675951	75000	-0.573090	-93.555845
145	0.673976	75000	-0.572064	-94.127909
146	0.672005	75000	-0.570903	-94.698812
147	0.670037	75000	-0.570238	-95.269049
148	0.668073	75000	-0.569183	-95.838233
149	0.666112	75000	-0.567790	-96.406022
150	0.664155	75000	-0.566788	-96.972811
151	0.662201	75000	-0.566034	-97.538844
152	0.660250	75000	-0.564650	-98.103494
153	0.658303	75000	-0.563725	-98.667219
154	0.656359	75000	-0.562934	-99.230153
155	0.654419	75000	-0.562111	-99.792264
156	0.652483	75000	-0.561361	-100.353625
157	0.650549	75000	-0.560293	-100.913918
158	0.648619	75000	-0.558919	-101.472836
159	0.646693	75000	-0.558175	-102.031012
160	0.644770	75000	-0.557040	-102.588051
161	0.642851	75000	-0.556215	-103.144266
162	0.640934	75000	-0.555346	-103.699613
163	0.639022	75000	-0.554195	-104.253807
164	0.637113	75000	-0.553091	-104.806898
165	0.635207	75000	-0.552420	-105.359318
166	0.633304	75000	-0.551686	-105.911004
167	0.631405	75000	-0.550257	-106.461261
168	0.629510	75000	-0.549573	-107.010834
169	0.627618	75000	-0.548701	-107.559535
170	0.625729	75000	-0.547598	-108.107132
171	0.623844	75000	-0.546715	-108.653848
172	0.621962	75000	-0.545840	-109.199688
173	0.620083	75000	-0.544954	-109.744642
174	0.618208	75000	-0.543327	-110.287969
175	0.616337	75000	-0.542616	-110.830585
176	0.614468	75000	-0.541728	-111.372313
177	0.612604	75000	-0.541133	-111.913446
178	0.610742	75000	-0.539694	-112.453140
179	0.608884	75000	-0.539123	-112.992263
180	0.607029	75000	-0.537900	-113.530164
181	0.605178	75000	-0.537022	-114.067185
182	0.603330	75000	-0.536060	-114.603245
183	0.601486	75000	-0.535094	-115.138340
184	0.599645	75000	-0.534011	-115.672350
185	0.597807	75000	-0.533000	-116.205350
186	0.595973	75000	-0.532521	-116.737871
187	0.594142	75000	-0.530901	-117.268772
188	0.592314	75000	-0.529825	-117.798597
189	0.590490	75000	-0.529341	-118.327938
190	0.588669	75000	-0.528074	-118.856012
191	0.586852	75000	-0.527461	-119.383473
192	0.585038	75000	-0.526355	-119.909828
193	0.583227	75000	-0.525552	-120.435380
194	0.581420	75000	-0.524743	-120.960123
195	0.579616	75000	-0.523657	-121.483780
196	0.577815	75000	-0.522445	-122.006226
197	0.576018	75000	-0.521412	-122.527637
198	0.574224	75000	-0.520616	-123.048254
199	0.572433	75000	-0.519875	-123.568129
200	0.570646	75000	-0.518594	-124.086723
201	0.568862	75000	-0.518019	-124.604742
202	0.567082	75000	-0.516667	-125.121409
203	0.565305	75000	-0.515507	-125.636916
204	0.563531	75000	-0.515037	-126.151954
205	0.561761	75000	-0.514102	-126.666056
206	0.559993	75000	-0.513439	-127.179495
207	0.558230	75000	-0.512250	-127.691745
208	0.556469	75000	-0.511080	-128.202825
209	0.554712	75000	-0.510255	-128.713080
210	0.552958	75000	-0.509339	-129.222419
211	0.551208	75000	-0.508095	-129.730514
212	0.549461	75000	-0.507723	-130.238237
213	0.547717	75000	-0.506238	-130.744475
214	0.545977	75000	-0.505654	-131.250129
215	0.544240	75000	-0.504417	-131.754546
216	0.542506	75000	-0.503724	-132.258270
217	0.540775	75000	-0.502704	-132.760974
218	0.539048	75000	-0.501796	-133.262770
219	0.537324	75000	-0.501052	-133.763822
220	0.535604	75000	-0.500013	-134.263835
221	0.533887	75000	-0.499040	-134.762875
222	0.532173	75000	-0.498156	-135.261031
223	0.530462	75000	-0.496858	-135.757889
224	0.528755	75000	-0.496675	-136.254564
225	0.527051	75000	-0.495423	-136.749987
226	0.525350	75000	-0.494622	-137.244609
227	0.523653	75000	-0.493520	-137.738129
228	0.521958	75000	-0.492561	-138.230690
229	0.520268	75000	-0.491785	-138.722475
230	0.518580	75000	-0.490773	-139.213248
231	0.516896	75000	-0.489713	-139.702960
232	0.515215	75000	-0.488672	-140.191632
233	0.513537	75000	-0.488239	-140.679871
234	0.511863	75000	-0.487259	-141.167130
235	0.510192	75000	-0.486006	-141.653135
236	0.508524	75000	-0.484878	-142.138014
237	0.506859	75000	-0.484393	-142.622407
238	0.505198	75000	-0.483279	-143.105686
239	0.503540	75000	-0.482443	-143.588129
240	0.501885	75000	-0.481624	-144.069753
241	0.500234	75000	-0.480419	-144.550172
242	0.498586	75000	-0.479767	-145.029940
243	0.496941	75000	-0.478619	-145.508559
244	0.495299	75000	-0.477543	-145.986102
245	0.493660	75000	-0.476683	-146.462785
246	0.492025	75000	-0.475818	-146.938603
247	0.490393	75000	-0.475160	-147.413763
248	0.488765	75000	-0.474036	-147.887799
249	0.487139	75000	-0.472651	-148.360450
250	0.485517	75000	-0.472196	-148.832646
251	0.483898	75000	-0.471698	-149.304344
252	0.482283	75000	-0.470311	-149.774655
253	0.480670	75000	-0.469189	-150.243845
254	0.479061	75000	-0.468496	-150.712341
255	0.477455	75000	-0.467740	-151.180081
256	0.475852	75000	-0.466592	-151.646673
257	0.474253	75000	-0.465614	-152.112287
258	0.472656	75000	-0.464827	-152.577114
259	0.471063	75000	-0.464396	-153.041510
260	0.469474	75000	-0.462798	-153.504308
261	0.467887	75000	-0.462204	-153.966512
262	0.466304	75000	-0.461506	-154.428018
263	0.464723	75000	-0.460142	-154.888161
264	0.463146	75000	-0.459592	-155.347753
265	0.461573	75000	-0.458485	-155.806238
266	0.460002	75000	-0.457562	-156.263800
267	0.458435	75000	-0.456840	-156.720639
268	0.456871	75000	-0.455747	-157.176386
269	0.455310	75000	-0.454810	-157.631196
270	0.453752	75000	-0.454106	-158.085302
271	0.452198	75000	-0.452887	-158.538190
272	0.450647	75000	-0.452432	-158.990621
273	0.449098	75000	-0.451602	-159.442223
274	0.447554	75000	-0.450924	-159.893147
275	0.446012	75000	-0.449965	-160.343112
276	0.444473	75000	-0.448883	-160.791995
277	0.442938	75000	-0.447899	-161.239894
278	0.441406	75000	-0.446754	-161.686648
279	0.439877	75000	-0.446137	-162.132784
280	0.438351	75000	-0.445197	-162.577981
281	0.436829	75000	-0.443905	-163.021886
282	0.435309	75000	-0.443453	-163.465340
283	0.433793	75000	-0.442457	-163.907797
284	0.432280	75000	-0.441390	-164.349187
285	0.430770	75000	-0.440892	-164.790079
286	0.429263	75000	-0.439777	-165.229856
287	0.427760	75000	-0.438795	-165.668652
288	0.426259	75000	-0.437925	-166.106576
289	0.424762	75000	-0.436905	-166.543482
290	0.423268	75000	-0.436478	-166.979960
291	0.421777	75000	-0.435274	-167.415234
292	0.420289	75000	-0.434487	-167.849721
