Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
846	0.382979	154	0.383117	9.440310	410	0.502439	13.590448	436	0.270642	0.383000	0.419290	
832	0.352163	168	0.428571	10.649587	396	0.444444	13.590448	436	0.268349	0.365000	0.401200	
821	0.345920	179	0.463687	11.267563	417	0.458034	13.590448	404	0.230198	0.367000	0.392652	
824	0.260922	176	0.352273	15.547953	413	0.307506	13.590448	411	0.214112	0.277000	0.369526	
845	0.294675	155	0.464516	15.547953	417	0.318945	13.590448	428	0.271028	0.321000	0.361440	
842	0.279097	158	0.354430	15.547953	426	0.326291	13.590448	416	0.230769	0.291000	0.351378	
812	0.259852	188	0.388298	15.547953	424	0.257075	13.590448	388	0.262887	0.284000	0.342957	
853	0.270809	147	0.353741	15.547953	430	0.297674	13.590448	423	0.243499	0.283000	0.336296	
826	0.220339	174	0.350575	15.547953	414	0.260870	13.590448	412	0.179612	0.243000	0.326967	
838	0.347255	162	0.438272	15.547953	380	0.331579	8.792982	458	0.360262	0.362000	0.330152	
839	0.300358	161	0.490683	15.547953	425	0.317647	8.792982	414	0.282609	0.331000	0.330222	
832	0.301683	168	0.398810	15.547953	449	0.291759	8.792982	383	0.313316	0.318000	0.329282	
841	0.343639	159	0.389937	15.547953	440	0.263636	8.792982	401	0.431421	0.351000	0.330834	
843	0.313167	157	0.477707	15.547953	443	0.390519	15.448817	400	0.227500	0.339000	0.331378	
838	0.264916	162	0.419753	15.547953	463	0.295896	15.448817	375	0.226667	0.290000	0.328792	
826	0.261501	174	0.379310	15.547953	448	0.312500	15.448817	378	0.201058	0.282000	0.326040	
838	0.284010	162	0.364198	15.547953	429	0.340326	15.448817	409	0.224939	0.297000	0.324426	
837	0.259259	163	0.423313	15.547953	422	0.317536	15.448817	415	0.200000	0.286000	0.322404	
853	0.232122	147	0.380952	15.547953	432	0.282407	15.448817	421	0.180523	0.254000	0.318984	
