Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
842	0.915677	158	0.265823	2.897863	440	0.975000	4.784886	402	0.850746	0.813000	0.827586	
815	0.900613	185	0.010811	3.656651	389	0.948586	6.290230	426	0.856808	0.736000	0.797068	
826	0.630751	174	0.344828	3.812067	419	0.778043	8.922110	407	0.479115	0.581000	0.743064	
862	0.399072	138	0.572464	6.370201	433	0.598152	15.561134	429	0.198135	0.423000	0.679064	
814	0.393120	186	0.521505	8.799147	382	0.547120	13.632005	432	0.256944	0.417000	0.635394	
862	0.272622	138	0.615942	16.352997	456	0.304825	13.632005	406	0.236453	0.320000	0.590344	
858	0.268065	142	0.591549	16.352997	416	0.269231	13.632005	442	0.266968	0.314000	0.555806	
856	0.214953	144	0.458333	16.352997	422	0.241706	13.632005	434	0.188940	0.250000	0.521831	
799	0.291615	201	0.577114	16.352997	404	0.299505	9.414932	395	0.283544	0.349000	0.504550	
822	0.262774	178	0.539326	16.352997	406	0.209360	9.414932	416	0.314904	0.312000	0.487047	
824	0.293689	176	0.505682	16.352997	425	0.256471	9.414932	399	0.333333	0.331000	0.474044	
807	0.330855	193	0.637306	16.352997	409	0.290954	9.414932	398	0.371859	0.390000	0.467579	
835	0.349701	165	0.484848	16.352997	410	0.343902	9.414932	425	0.355294	0.372000	0.460753	
824	0.320388	176	0.454545	16.352997	455	0.276923	9.414932	369	0.373984	0.344000	0.452970	
842	0.308789	158	0.392405	16.352997	402	0.278607	9.414932	440	0.336364	0.322000	0.444785	
828	0.299517	172	0.470930	16.352997	404	0.314356	9.414932	424	0.285377	0.329000	0.437974	
824	0.253641	176	0.414773	16.352997	393	0.241730	9.414932	431	0.264501	0.282000	0.429309	
831	0.276775	169	0.609467	16.352997	418	0.244019	9.414932	413	0.309927	0.333000	0.424241	
836	0.277512	164	0.518293	16.352997	400	0.245000	9.414932	436	0.307339	0.317000	0.418879	
851	0.333725	149	0.557047	16.352997	417	0.282974	9.414932	434	0.382488	0.367000	0.416409	
839	0.299166	161	0.472050	16.352997	395	0.255696	9.414932	444	0.337838	0.327000	0.412345	
840	0.307143	160	0.575000	16.352997	429	0.300699	9.414932	411	0.313869	0.350000	0.409634	
846	0.329787	154	0.512987	16.352997	437	0.304348	9.414932	409	0.356968	0.358000	0.407483	
845	0.285207	155	0.477419	16.352997	423	0.269504	9.414932	422	0.300948	0.315000	0.403784	
835	0.292216	165	0.478788	16.352997	423	0.288416	9.414932	412	0.296117	0.323000	0.400677	
822	0.287105	178	0.550562	16.352997	450	0.282222	9.414932	372	0.293011	0.334000	0.398207	
817	0.346389	183	0.415301	16.352997	416	0.322115	9.414932	401	0.371571	0.359000	0.396807	
814	0.339066	186	0.526882	16.352997	394	0.312183	9.414932	420	0.364286	0.374000	0.396021	
840	0.332143	160	0.487500	16.352997	403	0.290323	9.414932	437	0.370709	0.357000	0.394720	
842	0.281473	158	0.518987	16.352997	439	0.259681	9.414932	403	0.305211	0.319000	0.392278	
854	0.286885	146	0.500000	16.352997	434	0.267281	9.414932	420	0.307143	0.318000	0.389957	
838	0.294749	162	0.444444	16.352997	409	0.273839	9.414932	429	0.314685	0.319000	0.387806	
837	0.295102	163	0.484663	16.352997	444	0.263514	9.414932	393	0.330789	0.326000	0.385989	
837	0.324970	163	0.472393	16.352997	458	0.331878	9.414932	379	0.316623	0.349000	0.384932	
847	0.321133	153	0.516340	16.352997	393	0.305344	9.414932	454	0.334802	0.351000	0.383989	
839	0.303933	161	0.621118	16.352997	411	0.306569	9.414932	428	0.301402	0.355000	0.383206	
842	0.301663	158	0.525316	16.352997	447	0.299776	9.414932	395	0.303797	0.337000	0.381990	
853	0.297773	147	0.408163	16.352997	418	0.284689	9.414932	435	0.310345	0.314000	0.380247	
827	0.305925	173	0.416185	16.352997	409	0.290954	9.414932	418	0.320574	0.325000	0.378866	
823	0.287971	177	0.474576	16.352997	394	0.271574	9.414932	429	0.303030	0.321000	0.377454	
850	0.312941	150	0.486667	16.352997	415	0.277108	9.414932	435	0.347126	0.339000	0.376539	
852	0.302817	148	0.547297	16.352997	427	0.290398	9.414932	425	0.315294	0.339000	0.375666	
827	0.316808	173	0.473988	16.352997	418	0.308612	9.414932	409	0.325183	0.344000	0.374946	
818	0.326406	182	0.472527	16.352997	389	0.313625	9.414932	429	0.337995	0.353000	0.374458	
824	0.276699	176	0.392045	16.352997	406	0.256158	9.414932	418	0.296651	0.297000	0.372775	
806	0.301489	194	0.407216	16.352997	400	0.267500	9.414932	406	0.334975	0.322000	0.371694	
841	0.277051	159	0.522013	16.352997	398	0.221106	9.414932	443	0.327314	0.316000	0.370534	
829	0.311218	171	0.473684	16.352997	411	0.287105	9.414932	418	0.334928	0.339000	0.369890	
850	0.340000	150	0.526667	16.352997	442	0.312217	9.414932	408	0.370098	0.368000	0.369853	
819	0.297924	181	0.541436	16.352997	417	0.285372	9.414932	402	0.310945	0.342000	0.369306	
807	0.323420	193	0.564767	16.352997	400	0.272500	9.414932	407	0.373464	0.370000	0.369320	
832	0.324519	168	0.541667	16.352997	406	0.288177	9.414932	426	0.359155	0.361000	0.369163	
811	0.305795	189	0.518519	16.352997	440	0.277273	9.414932	371	0.339623	0.346000	0.368734	
803	0.348692	197	0.548223	16.352997	414	0.306763	9.414932	389	0.393316	0.388000	0.369084	
793	0.292560	207	0.492754	16.352997	436	0.298165	9.414932	357	0.285714	0.334000	0.368458	
827	0.290206	173	0.526012	16.352997	372	0.268817	9.414932	455	0.307692	0.331000	0.367801	
844	0.313981	156	0.416667	16.352997	422	0.303318	9.414932	422	0.324645	0.330000	0.367149	
838	0.324582	162	0.530864	16.352997	415	0.281928	9.414932	423	0.366430	0.358000	0.366994	
841	0.302021	159	0.534591	16.352997	415	0.296386	9.414932	426	0.307512	0.339000	0.366527	
824	0.296117	176	0.482955	16.352997	453	0.280353	9.414932	371	0.315364	0.329000	0.365912	
847	0.253837	153	0.398693	16.352997	393	0.208651	9.414932	454	0.292952	0.276000	0.364462	
842	0.324228	158	0.493671	16.352997	411	0.289538	9.414932	431	0.357309	0.351000	0.364248	
861	0.311266	139	0.589928	16.352997	454	0.262115	9.414932	407	0.366093	0.350000	0.364026	
844	0.297393	156	0.423077	16.352997	419	0.255370	9.414932	425	0.338824	0.317000	0.363302	
817	0.303550	183	0.382514	16.352997	400	0.272500	9.414932	417	0.333333	0.318000	0.362616	
874	0.287185	126	0.507937	16.352997	434	0.297235	9.414932	440	0.277273	0.315000	0.361905	
822	0.332117	178	0.550562	16.352997	394	0.302030	9.414932	428	0.359813	0.371000	0.362039	
836	0.348086	164	0.518293	16.352997	418	0.330144	9.414932	418	0.366029	0.376000	0.362241	
814	0.323096	186	0.430108	16.352997	395	0.296203	9.414932	419	0.348449	0.343000	0.361966	
841	0.278240	159	0.477987	16.352997	408	0.257353	9.414932	433	0.297921	0.310000	0.361234	
870	0.309195	130	0.553846	16.352997	430	0.300000	9.414932	440	0.318182	0.341000	0.360953	
840	0.323810	160	0.450000	16.352997	386	0.272021	9.414932	454	0.367841	0.344000	0.360721	
847	0.335301	153	0.549020	16.352997	367	0.329700	9.414932	480	0.339583	0.368000	0.360819	
841	0.363853	159	0.433962	16.352997	416	0.324519	9.414932	425	0.402353	0.375000	0.361009	
860	0.270930	140	0.557143	16.352997	431	0.264501	12.879913	429	0.277389	0.311000	0.360351	
829	0.291918	171	0.456140	16.352997	430	0.323256	12.879913	399	0.258145	0.320000	0.359826	
834	0.296163	166	0.506024	16.352997	459	0.302832	12.879913	375	0.288000	0.331000	0.359457	
834	0.215827	166	0.548193	16.352997	403	0.218362	12.879913	431	0.213457	0.271000	0.358337	
822	0.263990	178	0.488764	16.352997	388	0.286082	12.879913	434	0.244240	0.304000	0.357658	
