Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.147013	-0.147013
1	0.995007	75000	-0.146793	-0.293806
2	0.992517	75000	-0.146595	-0.440400
3	0.990030	75000	-0.146506	-0.586906
4	0.987547	75000	-0.146154	-0.733060
5	0.985067	75000	-0.146071	-0.879130
6	0.982592	75000	-0.145878	-1.025008
7	0.980120	75000	-0.145663	-1.170671
8	0.977652	75000	-0.145362	-1.316032
9	0.975187	75000	-0.145281	-1.461314
10	0.972726	75000	-0.145013	-1.606326
11	0.970269	75000	-0.144718	-1.751044
12	0.967816	75000	-0.144440	-1.895484
13	0.965367	75000	-0.144284	-2.039768
14	0.962921	75000	-0.144162	-2.183930
15	0.960479	75000	-0.143940	-2.327870
16	0.958040	75000	-0.143614	-2.471484
17	0.955606	75000	-0.143353	-2.614837
18	0.953175	75000	-0.143221	-2.758058
19	0.950747	75000	-0.143192	-2.901250
20	0.948324	75000	-0.142974	-3.044224
21	0.945904	75000	-0.142755	-3.186978
22	0.943488	75000	-0.142572	-3.329550
23	0.941076	75000	-0.142454	-3.472004
24	0.938667	75000	-0.142062	-3.614066
25	0.936262	75000	-0.141987	-3.756054
26	0.933861	75000	-0.141665	-3.897719
27	0.931463	75000	-0.141439	-4.039158
28	0.929069	75000	-0.141378	-4.180537
29	0.926679	75000	-0.141166	-4.321702
30	0.924293	75000	-0.140805	-4.462507
31	0.921910	75000	-0.140559	-4.603065
32	0.919531	75000	-0.140220	-4.743286
33	0.917155	75000	-0.140177	-4.883463
34	0.914783	75000	-0.140160	-5.023623
35	0.912415	75000	-0.139913	-5.163536
36	0.910051	75000	-0.139781	-5.303317
37	0.907690	75000	-0.139399	-5.442716
38	0.905333	75000	-0.139265	-5.581982
39	0.902980	75000	-0.138948	-5.720929
40	0.900630	75000	-0.138915	-5.859844
41	0.898284	75000	-0.138656	-5.998501
42	0.895942	75000	-0.138417	-6.136918
43	0.893603	75000	-0.138172	-6.275089
44	0.891268	75000	-0.137835	-6.412924
45	0.888937	75000	-0.137770	-6.550694
46	0.886609	75000	-0.137485	-6.688179
47	0.884285	75000	-0.137379	-6.825558
48	0.881965	75000	-0.137135	-6.962693
49	0.879648	75000	-0.137049	-7.099742
50	0.877335	75000	-0.136657	-7.236399
51	0.875026	75000	-0.136646	-7.373045
52	0.872720	75000	-0.136294	-7.509339
53	0.870418	75000	-0.136060	-7.645399
54	0.868120	75000	-0.135937	-7.781336
55	0.865825	75000	-0.135830	-7.917167
56	0.863534	75000	-0.135742	-8.052909
57	0.861246	75000	-0.135425	-8.188334
58	0.858962	75000	-0.135215	-8.323549
59	0.856682	75000	-0.135007	-8.458556
60	0.854405	75000	-0.134677	-8.593234
61	0.852132	75000	-0.134620	-8.727853
62	0.849863	75000	-0.134460	-8.862313
63	0.847597	75000	-0.134261	-8.996574
64	0.845335	75000	-0.133996	-9.130570
65	0.843077	75000	-0.133899	-9.264469
66	0.840822	75000	-0.133590	-9.398059
67	0.838571	75000	-0.133387	-9.531447
68	0.836323	75000	-0.133221	-9.664667
69	0.834079	75000	-0.132894	-9.797561
70	0.831839	75000	-0.132692	-9.930253
71	0.829602	75000	-0.132472	-10.062725
72	0.827369	75000	-0.132330	-10.195055
73	0.825140	75000	-0.132257	-10.327311
74	0.822914	75000	-0.132190	-10.459502
75	0.820691	75000	-0.131828	-10.591329
76	0.818473	75000	-0.131537	-10.722866
77	0.816258	75000	-0.131386	-10.854252
78	0.814046	75000	-0.131342	-10.985594
79	0.811838	75000	-0.131104	-11.116698
80	0.809634	75000	-0.130824	-11.247522
81	0.807433	75000	-0.130736	-11.378258
82	0.805236	75000	-0.130370	-11.508629
83	0.803043	75000	-0.130128	-11.638757
84	0.800853	75000	-0.129959	-11.768716
85	0.798667	75000	-0.129909	-11.898625
86	0.796484	75000	-0.129691	-12.028316
87	0.794305	75000	-0.129474	-12.157789
88	0.792129	75000	-0.129242	-12.287031
89	0.789957	75000	-0.129036	-12.416067
90	0.787789	75000	-0.128896	-12.544963
91	0.785624	75000	-0.128704	-12.673667
92	0.783463	75000	-0.128545	-12.802212
93	0.781305	75000	-0.128244	-12.930456
94	0.779151	75000	-0.128069	-13.058525
95	0.777000	75000	-0.127963	-13.186488
96	0.774853	75000	-0.127707	-13.314195
97	0.772710	75000	-0.127645	-13.441840
98	0.770570	75000	-0.127282	-13.569122
99	0.768433	75000	-0.127103	-13.696224
100	0.766301	75000	-0.127045	-13.823269
101	0.764172	75000	-0.126579	-13.949848
102	0.762046	75000	-0.126483	-14.076331
103	0.759924	75000	-0.126308	-14.202639
104	0.757805	75000	-0.126205	-14.328844
105	0.755690	75000	-0.126052	-14.454897
106	0.753579	75000	-0.125812	-14.580708
107	0.751471	75000	-0.125510	-14.706218
108	0.749366	75000	-0.125267	-14.831485
109	0.747266	75000	-0.125137	-14.956622
110	0.745168	75000	-0.125013	-15.081635
111	0.743075	75000	-0.124789	-15.206424
112	0.740984	75000	-0.124394	-15.330818
113	0.738898	75000	-0.124494	-15.455312
114	0.736815	75000	-0.124125	-15.579437
115	0.734735	75000	-0.123976	-15.703413
116	0.732659	75000	-0.123794	-15.827207
117	0.730586	75000	-0.123532	-15.950739
118	0.728517	75000	-0.123374	-16.074113
119	0.726452	75000	-0.123301	-16.197415
120	0.724390	75000	-0.122985	-16.320400
