Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               100000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	75000	-0.149894	-0.149894
1	0.995007	75000	-0.149584	-0.299478
2	0.992517	75000	-0.149631	-0.449109
3	0.990030	75000	-0.149430	-0.598540
4	0.987547	75000	-0.149178	-0.747717
5	0.985067	75000	-0.148728	-0.896445
6	0.982592	75000	-0.148671	-1.045117
7	0.980120	75000	-0.148478	-1.193595
8	0.977652	75000	-0.148462	-1.342057
9	0.975187	75000	-0.148073	-1.490130
10	0.972726	75000	-0.147909	-1.638039
11	0.970269	75000	-0.147702	-1.785742
12	0.967816	75000	-0.147351	-1.933092
13	0.965367	75000	-0.147111	-2.080204
14	0.962921	75000	-0.147070	-2.227274
15	0.960479	75000	-0.146748	-2.374022
16	0.958040	75000	-0.146611	-2.520634
17	0.955606	75000	-0.146477	-2.667110
18	0.953175	75000	-0.146233	-2.813343
19	0.950747	75000	-0.146044	-2.959387
20	0.948324	75000	-0.145831	-3.105218
21	0.945904	75000	-0.145617	-3.250835
22	0.943488	75000	-0.145416	-3.396251
23	0.941076	75000	-0.145175	-3.541426
24	0.938667	75000	-0.144910	-3.686336
25	0.936262	75000	-0.144779	-3.831115
26	0.933861	75000	-0.144696	-3.975811
27	0.931463	75000	-0.144302	-4.120113
28	0.929069	75000	-0.144185	-4.264297
29	0.926679	75000	-0.143854	-4.408152
30	0.924293	75000	-0.143839	-4.551991
31	0.921910	75000	-0.143501	-4.695492
32	0.919531	75000	-0.143468	-4.838960
33	0.917155	75000	-0.143067	-4.982027
34	0.914783	75000	-0.142949	-5.124976
35	0.912415	75000	-0.142589	-5.267565
36	0.910051	75000	-0.142404	-5.409969
37	0.907690	75000	-0.142270	-5.552239
38	0.905333	75000	-0.142113	-5.694352
39	0.902980	75000	-0.141763	-5.836115
40	0.900630	75000	-0.141739	-5.977854
41	0.898284	75000	-0.141363	-6.119217
42	0.895942	75000	-0.141334	-6.260551
43	0.893603	75000	-0.141098	-6.401649
44	0.891268	75000	-0.140906	-6.542555
45	0.888937	75000	-0.140709	-6.683264
46	0.886609	75000	-0.140357	-6.823621
47	0.884285	75000	-0.140357	-6.963977
48	0.881965	75000	-0.139984	-7.103961
49	0.879648	75000	-0.139821	-7.243782
50	0.877335	75000	-0.139708	-7.383490
51	0.875026	75000	-0.139432	-7.522922
52	0.872720	75000	-0.139193	-7.662115
53	0.870418	75000	-0.139037	-7.801153
54	0.868120	75000	-0.138768	-7.939920
55	0.865825	75000	-0.138564	-8.078484
56	0.863534	75000	-0.138431	-8.216915
57	0.861246	75000	-0.138243	-8.355158
58	0.858962	75000	-0.138040	-8.493198
59	0.856682	75000	-0.137874	-8.631072
60	0.854405	75000	-0.137708	-8.768780
61	0.852132	75000	-0.137326	-8.906106
62	0.849863	75000	-0.137210	-9.043316
63	0.847597	75000	-0.136853	-9.180169
64	0.845335	75000	-0.136735	-9.316905
65	0.843077	75000	-0.136487	-9.453392
66	0.840822	75000	-0.136217	-9.589610
67	0.838571	75000	-0.136242	-9.725851
68	0.836323	75000	-0.135798	-9.861650
69	0.834079	75000	-0.135722	-9.997371
70	0.831839	75000	-0.135512	-10.132883
71	0.829602	75000	-0.135327	-10.268210
72	0.827369	75000	-0.135145	-10.403354
73	0.825140	75000	-0.134861	-10.538215
74	0.822914	75000	-0.134711	-10.672926
75	0.820691	75000	-0.134616	-10.807541
76	0.818473	75000	-0.134281	-10.941822
77	0.816258	75000	-0.134063	-11.075885
78	0.814046	75000	-0.133967	-11.209852
79	0.811838	75000	-0.133621	-11.343473
80	0.809634	75000	-0.133531	-11.477004
81	0.807433	75000	-0.133321	-11.610325
82	0.805236	75000	-0.133077	-11.743402
83	0.803043	75000	-0.132937	-11.876340
84	0.800853	75000	-0.132829	-12.009168
85	0.798667	75000	-0.132412	-12.141580
86	0.796484	75000	-0.132375	-12.273955
87	0.794305	75000	-0.132198	-12.406154
88	0.792129	75000	-0.131760	-12.537913
89	0.789957	75000	-0.131561	-12.669474
90	0.787789	75000	-0.131497	-12.800971
91	0.785624	75000	-0.131298	-12.932270
92	0.783463	75000	-0.131090	-13.063360
93	0.781305	75000	-0.130872	-13.194233
94	0.779151	75000	-0.130803	-13.325035
95	0.777000	75000	-0.130596	-13.455632
96	0.774853	75000	-0.130157	-13.585789
97	0.772710	75000	-0.130192	-13.715981
98	0.770570	75000	-0.129912	-13.845893
99	0.768433	75000	-0.129700	-13.975593
100	0.766301	75000	-0.129437	-14.105031
101	0.764172	75000	-0.129145	-14.234175
102	0.762046	75000	-0.129076	-14.363251
103	0.759924	75000	-0.128957	-14.492208
104	0.757805	75000	-0.128778	-14.620987
105	0.755690	75000	-0.128447	-14.749433
106	0.753579	75000	-0.128270	-14.877704
107	0.751471	75000	-0.128096	-15.005800
108	0.749366	75000	-0.127777	-15.133577
109	0.747266	75000	-0.127628	-15.261206
110	0.745168	75000	-0.127328	-15.388533
111	0.743075	75000	-0.127258	-15.515791
112	0.740984	75000	-0.127154	-15.642945
113	0.738898	75000	-0.126855	-15.769801
114	0.736815	75000	-0.126707	-15.896508
115	0.734735	75000	-0.126624	-16.023132
116	0.732659	75000	-0.126401	-16.149532
117	0.730586	75000	-0.126054	-16.275586
118	0.728517	75000	-0.125998	-16.401584
119	0.726452	75000	-0.125784	-16.527368
120	0.724390	75000	-0.125471	-16.652839
121	0.722331	75000	-0.125359	-16.778198
122	0.720276	75000	-0.125052	-16.903250
123	0.718225	75000	-0.124929	-17.028179
124	0.716177	75000	-0.124823	-17.153002
125	0.714132	75000	-0.124697	-17.277699
126	0.712091	75000	-0.124325	-17.402024
127	0.710054	75000	-0.124304	-17.526328
128	0.708020	75000	-0.123825	-17.650153
129	0.705989	75000	-0.123806	-17.773959
130	0.703962	75000	-0.123392	-17.897351
131	0.701939	75000	-0.123361	-18.020712
132	0.699919	75000	-0.123043	-18.143754
133	0.697902	75000	-0.122907	-18.266661
134	0.695889	75000	-0.122789	-18.389450
135	0.693880	75000	-0.122669	-18.512119
136	0.691874	75000	-0.122410	-18.634529
137	0.689871	75000	-0.122235	-18.756764
138	0.687872	75000	-0.121988	-18.878753
139	0.685877	75000	-0.121689	-19.000442
140	0.683885	75000	-0.121640	-19.122082
141	0.681896	75000	-0.121386	-19.243468
142	0.679911	75000	-0.121169	-19.364637
143	0.677929	75000	-0.121007	-19.485645
